姓,名,家庭手机,工作手机
集贤居商务客栈,,08377423596,18090712899
新桃园客栈,,08377411510,18783751531
祥云商务客栈,,08377410790,
阿坝薛家大院,,18909044817,
丽景酒店,,13880474381,
雍忠藏家客栈,,13558571032,
红红客栈,,15884087926,
卓玛客栈,,15183708715,13548380790
一家客栈,,08377767111,18111299697
昌吉商务宾馆,,18990402186,
尔玛旅家,,18783762093,18111758974
逸家宾馆,,08377240000,
毕棚沟花园酒店,,08376821157,18108096477
有间客栈,,18508373733,
天籁客栈,,13558580889,13882497979
水墨记忆半山风情酒店,,18990421918,
松柏宾馆,,18990402928,
鑫嘉缘商务客栈,,13541576911,
鸿鑫宾馆,,18461378460,
彩林秘境客栈,,18990446503,13666277444
藏香客栈,,18090235210,
嘎庆山庄,,13990406057,
卓玛宜家,,15283703982,
南风客栈,,15692980388,13882485759
白云人间住宿,,13558591562,
名人酒店,,08376735588,15928937254
免费客栈,,18728205843,
银子客栈,,15196206190,
泽旺藏家,,15984724911,
杜他藏家-臧家乐,,08376736660,18783732791
古羌药沟苑,,13990441432,
达古客栈,,18728205843,
茂盛假日酒店,,13309045639,
九寨人家农家乐,,18015778133,
逸居藏家,,13558588505,
阳光客栈,,13568794683,15984724960
一湾酒店,,08372282228,18990405800
银吉客栈,,18783790739,
周瑞客栈,,15984705391,
安多人家客栈,,18783752891,
虫草商务酒店,,15281540001,
金叶宾馆,,13548380790,
印象宾馆,,08372286999,17381308899
德美客栈,,18728205843,
西部宾馆,,15984709351,
阿坝娜姆家园,,18990409708,
金富客栈,,15183708715,15281530051
卡龙沟口宾馆,,15387686606,15884080686
冰枫奇缘客栈,,18111320083,
松潘县利平商务宾馆,,08377230590,
罗布林卡,,13778699392,
岚云宾馆,,13688033369,
颐馨庄园,,08377762699,
桃坪羌寨古羌村落客栈,,13990415700,
黄河九曲大营酒店,,18081979151,
桃羌雅居,,15108162323,
杨家商务宾馆,,15882418166,
康萨人家,,15196217078,
幺媚子客栈,,13548386645,18782028112
山水驿栈,,13795797062,
