姓,名,家庭手机,工作手机
藏龙百瀑群英阁农家乐,,13567279938,
江南天池天丽农家乐,,13587257186,
江南天池旺盛酒家,,13757074505,
藏龙百瀑阿明山庄,,13505828315,
浙北大峡谷雅庄,,13868284483,
浙北大峡谷顶峰农家,,13666535265,
浙北大峡谷仙人居,,15167218109,
藏龙百瀑云雾山庄,,13587943001,
董岭翠溢山庄,,13868284899,
藏龙百瀑李氏山庄,,13567975538,
船村峡谷山庄,,13567269809,
藏龙百瀑高山农庄,,13511273266,
藏龙百瀑映山红酒家,,13567976599,
董岭俺家小院,,15968299422,18357271314
浙北大峡谷汪家小院农家乐,,13666548258,
董岭家缘农家,,13735143543,13587913866
董岭绿景山庄,,13819235006,
董岭茜茜农家,,05725505638,13567269635
湖州江南天池瑞雪饭店,,15067258378,
董岭顶高山庄,,15968296712,
董岭蓬莱仙居农家乐,,13967244447,
藏龙百瀑长龙山庄,,13868286863,
浙北大峡谷良云山庄,,17805820685,
深溪大石浪老魏农家,,15205725006,
深溪大石浪枫景湾农家乐,,05725507528,
浙北大峡谷锡田农家,,13868283547,
董岭峰上农家,,13587247094,
深溪大石浪观瀑轩山庄,,13511278858,
浙北大峡谷品竹民宿山庄,,15968238953,
彭祖农庄（客房部）,,05725607788,
董岭晨瑞山庄,,15857229959,
藏龙百瀑小梁山山庄,,13957271518,
董岭鑫悦山庄,,05725505129,15857236042
江南天池天文山庄,,13567278270,
董岭逸居农家,,05725505009,13967248331
浙北大峡谷云松山庄,,13567979685,13857260452
大竹海明泉山庄,,13967291245,
浙北大峡谷阿春农家乐,,18768238941,
藏龙百瀑龙峰雨酒家农,,05725112632,13738231044
董岭云顶小庄,,05725505805,13656727550
天下银坑姣姣农家乐,,05725041848,
董岭明秀农家,,13738220062,
井空里大峡谷玉珍人家,,05725113085,18858118908
江南天池天湖酒家,,15257222506,
浙北大峡谷梦雨客栈,,15088375112,
溪潭山庄农家乐,,13306721389,15257221648
井空里大峡谷老竹林农庄,,17805822990,
藏龙百瀑望岳阁农庄,,18768350576,
藏龙百瀑一福山庄,,13757219088,
石马湾漂流以马内利农庄,,15167251940,
安吉幸福山庄,,13757071735,
船村浒畔居民宿,,18267227769,
湖州董岭社新农家,,13666536462,
悦来居（客房部）,,18005827779,
董岭山里人家农家乐,,05725505072,15968296018
董岭山外山农家乐,,05725505029,13355820707
董岭阿土农家,,13587918999,
大竹海章氏农家,,05725209117,15257223500
藏龙百瀑三里山客栈,,13819264327,
井空里大峡谷山水农家乐,,13454291818,
双龙客栈,,05725112269,
董岭山庄,,13511229790,
浙北大峡谷富家园农家乐,,15372230778,
藏龙百瀑瀑源宾馆,,15868255720,
浙北大峡谷乡邻乡亲农家乐,,15868293086,
煜祺农庄,,15257213258,
浙北大峡谷锦城山庄,,13567971802,
浙北大峡谷听涛山庄,,13567268785,
董岭昂扬农家乐,,13587274912,15967215205
浙北大峡谷怡然庄农家乐,,13957273348,
九龙峡横坑坞农家饭店,,13666539777,
大真山庄,,15167210485,15088302696
浙北大峡谷比家美农家乐,,18158725068,13738225717
大竹海竹影农庄,,13757278325,13754238111
龙王庙幸福农家,,13567971965,
藏龙百瀑中平农家乐,,13567277059,
井空里大峡优悠农家,,15957230510,
藏龙百瀑鑫林山庄,,13857261452,
