姓,名,家庭手机,工作手机
利源宾馆,,02934966008,
軍豪酒店,,02937122999,
惠宾楼宾馆,,02934922564,13484869883
长禄宾馆,,02937123111,13992082206
华都商务宾馆,,13892929319,
九凤凰宾馆,,02934862382,
商贸宾馆,,02934922158,
秦兴招待所,,15388688718,
大巷宾馆,,13891026372,
翠湖宾馆,,02934920966,
锦鑫宾馆（东大街店）,,15291065561,
唯爱主题酒店,,02934798123,
雅居宾馆,,13992071107,13759832570
福上楼宾馆,,02934923317,
明华宾馆,,02934922858,
顺丰宾馆,,18392308777,
玉泉商务酒店,,02934862366,37123966
屯缘宾馆,,02937128816,18789434555
悦滨假日酒店,,02934965888,
韦特时尚宾馆,,02937126661,
天诺商务酒店,,02937128088,13892098923
彬州国际花园酒店,,02934968888,
云锦楼宾馆,,02934923382,
侍郎湖宾馆,,02937123888,
福客来宾馆,,02934923169,
永和酒店,,02937123777,
达伦开元大酒店,,02934928999,
凯莉娜快捷酒店,,02934927999,
天御精品酒店（彬县店）,,02934769666,
鸿福楼宾馆,,02934866429,18064310231
金福源宾馆,,18717206643,
港湾宾馆,,02937128000,15529107326
金芙蓉宾馆（彬县店）,,02934769888,
融辉商务酒店,,02937127777,
锦华宾馆（彬县店）,,13335308653,
旭琳商务酒店,,02934760666,
豪泰快捷酒店,,02934711234,
长安宾馆,,02937127616,
金海岸宾馆,,02934965188,
海鑫大酒店,,02934966666,
锦西商务酒店,,02934921651,
凯瑞宾馆,,02934969888,
金福轩宾馆,,02934928922,
咸阳市彬县捷达宾馆,,13279522569,
金福来宾馆,,15596709993,
恒丰快捷酒店,,02933120484,
鸿瑞宾馆,,02934925663,
馨园宾馆,,13038543561,
祥和,,13892919607,
东昇商务宾馆,,02934960123,
金潇宾馆,,18791076210,
丽源宾馆,,02934768688,
百姓人家,,13109630040,
云海湾宾馆,,02934928806,
雅星宾馆,,13759721609,
富贵招待所,,15353151261,
天悦酒店,,02934843000,
雅西亚宾馆,,02934866128,
泰盛宾馆,,18089137866,
怡家宾馆,,02934925346,
富士招待所,,15353768466,
紫薇旅馆,,15399499664,
聚仙德酒店,,02934921268,
丽豪宾馆,,02934866600,
衡悦宾馆,,15399233187,
乡亲招待所,,15249101869,
凯瑞祥宾馆,,02934843199,
战宏招待所,,13892907817,
人和宾馆,,02934928181,15829954000
利民宾馆,,02932958689,
君悦商务宾馆,,02934926600,
女皇商务宾馆,,02934925838,
碧富楼宾馆,,02934922940,
红阳宾馆,,02934866802,
德福轩宾馆,,15353774863,
彬州宾馆客房部,,02934924444,
天宇招待所,,13709106160,
红星招待所,,18089173622,
车站宾馆,,13092944913,
金都宾馆,,02937126168,
聚悦宾馆,,13636894513,
时代商务宾馆,,13700208119,
金瑞宾馆,,02934923371,
世贸商务酒店,,02934843000,
恒升宾馆,,15710400111,
潇湘宾馆,,02934843130,
平林招待所,,15829808337,
万福聚招待所,,02934866497,
鸿运宾馆,,15389682656,
宜鑫快捷酒店,,02934866999,13080934000
云都商务宾馆（彬县店）,,02937123333,
酒业商务宾馆,,02934922135,
秦莹宾馆,,18329774339,
金地快捷酒店,,02937128555,
悦客快捷宾馆,,18992082138,18992005488
彬州宾馆,,02934928888,
锦江商务酒店,,02934923492,
金山角宾馆,,02934866570,15891105904
