姓,名,家庭手机,工作手机
逸旅阳光宾馆,,13371320204,
鑫源商务宾馆,,05432278678,
雪花山旅游度假村,,05434550008,
悦家宾馆,,13455791101,
锦源宾馆,,13905430458,
如意宾馆,,15563078195,15269610198
富景商务宾馆,,05434160443,
永祥宾馆,,13405438751,
No.96青年旅舍,,18375436266,
友谊商务宾馆,,15553366702,13165436579
佳佳宾馆（会仙桥店）,,05434568608,13963080268
爱之家宾馆,,05438125208,
2599主题商务宾馆,,05437318101,15564071632
旭光宾馆,,15553363888,
星佳商务宾馆,,05432303321,15169903552
祥瑞宾馆,,15615279197,15554316380
瑞鑫宾馆,,15154338008,
东风宾馆,,15954323144,
四季花开电影主题酒店,,05432601266,
圣阳商务宾馆,,05432386858,13963096147
迎春商务宾馆,,05432301621,
泰丰宾馆,,13465073899,13563060667
雅悦宾馆,,05432319999,
德馨缘商务酒店,,05433089888,
金龙商务宾馆,,13695436885,
忠厚商务宾馆,,15006304835,
滨州尚客优品快捷酒店有限公司,,05433069555,
银座佳驿（滨州无棣通力国际商贸城店）,,05436686888,
丽都商务宾馆,,05432109199,
青苹果连锁酒店,,05432198777,
众康源宾馆,,18706618887,
利君商务宾馆,,15854356111,
鼎和宾馆,,05433078177,
鑫悦宾馆,,13954317407,
一路顺宾馆,,05434618555,13561553958
瑞阳商务宾馆,,13954373536,
帅骏商务宾馆,,13188901552,
如意阁商务精品酒店,,05433066661,
中立宾馆,,05436663777,
永顺商务宾馆,,13176499127,
阳光商务宾馆（阳城五路店）,,05438212267,
双龙宾馆,,13561500525,
滨州天天如家酒店,,05432194000,2196917
鸣航商务宾馆,,15553376677,
北源商务宾馆,,18954311862,13910788994
286快捷宾馆,,18054340286,15066970568
聚鑫商务宾馆,,18706495638,
32号公寓,,05436277777,
小城速8商务宾馆,,13605436660,18654372220
蓝海公馆,,05433156888,3156666
便宜居连锁酒店（黄河二路店）,,05433398988,
雅之家宾馆,,15552701077,15554393007
艾尚主题宾馆,,05432179678,
小城宾馆,,13210709588,
东兴商务宾馆,,05432305641,13854370079
影院宾馆,,13805432567,
丽景宾馆,,15169937133,
上客怡家宾馆,,13105432099,
博雅商务宾馆,,05432111609,
千禧大酒店,,05433280666,3279777
嘉乐商务宾馆,,05435336678,
7天连锁酒店（滨州渤海七路大润发店）,,05432193888,2193881
7天连锁酒店（滨州黄河四路银座中心店）,,05435087000,
派酒店（滨州学院黄河四路店）,,05432297555,
青年·都市迷你酒店（邹平汽车站店）,,05434568555,
爱家快捷酒店（黄河三路店）,,05433333330,
四海宾馆（济青高速店）,,15305439327,18654305307
小米公寓宾馆,,05432139222,
聚义家宾馆,,05432118881,13854368257
旭雨商务宾馆（魏桥店）,,13625431350,
东海商务宾馆,,05433202653,3357801
滨州名门商务宾馆,,05438281668,
富隆宾馆,,05434223666,
蓝天宾馆（济青高速店）,,05432107566,13793850166
友谊宾馆,,05432207799,13954315081
悦家快捷酒店（渤海五路店）,,05433290888,
贵都宾馆,,05434222788,
诺鑫商务宾馆,,05432193331,
爱家快捷酒店（渤海五路店）,,05433111117,
时光青年旅舍,,05437313111,
豪庭商务宾馆,,05438226789,
101宾馆,,05438214379,
67号公馆（博城五路店）,,05432600067,
都市118（邹平魏桥店）,,05432183118,
尚客优连锁酒店（滨州金海六路店）,,05437359999,
鹏龙快捷酒店,,18954377999,
海纳快捷酒店,,05432175888,
君源商务宾馆,,05433063789,
顺发快捷酒店,,15166092690,15806892566
云鼎快捷酒店（汽车总站店）,,05433802377,
春秋商务宾馆,,05434686066,
亭苑商务宾馆,,05432141668,
邮政宾馆,,05432103088,
速8酒店（滨州汽车总站店）,,05433415888,2195088
君乐商务宾馆,,13220704267,
尚客优骏怡连锁酒店（新兴市场店）,,05433313444,
108时尚主题宾馆,,15865433119,
宜家宾馆,,05436666669,
德鑫商务宾馆,,05435301956,
馨怡商务宾馆,,05434519999,
星期8商务宾馆,,05433076688,3076699
丽景商务宾馆,,05432308555,
福音宾馆,,18354370787,
怡然宾馆,,05433333030,
宏达商务宾馆,,05435563678,
阳光家园酒店,,05433526998,3526996
万鸿商务宾馆,,05438295166,13854303833
