姓,名,家庭手机,工作手机
乐家宾馆,,03178869166,
紫金城宾馆,,03177954777,
桔子精品酒店,,03175583888,5583999
365云盟酒店（沧海路店）,,03177875777,
雅客驿岸宾馆（二店）,,03178559688,
雅客宾馆（一店）,,03178889298,
365云盟酒店（开发区店）,,03178587777,
迎宾商务酒店,,03177929810,
北个体车站宾馆,,03173033268,13082179575
雅客自由时（三店）,,03178888644,
金帝宾馆,,03174190009,
名轩酒店,,03175236388,15833371598
天元宾馆,,03176228136,
胜家宾馆（红旗大街店）,,03175263333,5982115
好来登商务大酒店,,03178888881,
温馨园旅馆,,15831759650,
雅舒旅馆,,15343175719,
东升宾馆,,18230078196,
家航旅馆,,03172291404,13832773540
尚客优快捷酒店（泊头永安大街店）,,03178067770,
昆仑国际酒店（任丘二店）,,03173398777,
食品公司快捷酒店,,03173144098,
地源快捷宾馆,,03173163320,
观光假日酒店,,13315749888,
365云盟酒店（理工大学店）（原嘉诚宾馆）,,03175988866,
金色缘梦快捷宾馆,,03175558788,
喜达尔精品酒店（沧州黄河路荣盛广场店）,,03175208520,5206999
胜家快捷酒店（渤海路店）,,03177557888,7557889
常安商务宾馆,,03173333815,
金地宾馆,,15903278202,
燕春楼快捷酒店,,03172627777,
沧州黄骅港渤海新区鑫岛度假饭店,,03177559777,7559888
君悦宾馆,,03172088286,18531705288
鑫宜诚旅馆,,15127726779,
长泓快捷宾馆,,03177986666,7986668
鸿旭玖玖快捷酒店（北环店）,,03173555188,3555288
便宜居连锁酒店（沧州永济东路店）,,03172048819,
玖玖快捷酒店（浮阳大道店）,,03172101899,2102899
邂逅宾馆,,03175556515,18733713456
白金快捷酒店,,03173513722,
千乐快捷酒店,,03176080606,
长城商务宾馆,,03177805777,
有为青年宾馆,,03178805771,8805781
田园客栈,,03178888238,
金豪快捷酒店,,03178316166,
盛世宾馆,,03175161111,
海滨旅馆,,03174324866,
得月楼宾馆,,03176728629,
天一坊旅馆,,03172231015,13731739493
假日宾馆（京开路店）,,03173661199,
学院宾馆,,15131715268,13930790616
假日宾馆（城垣路店）,,03173661196,
晟发快捷酒店,,18732710078,
吕家宾馆,,03178888015,
鑫鑫旅馆,,18732796344,
东昊会馆,,03174585678,
瀛州宾馆,,03173228144,13932722399
赛家快捷酒店,,03173050888,3050007
金海公寓,,15630786201,18833788871
友佳宾馆,,03176263797,13833777884
时尚港湾快捷宾馆,,03175908999,8885581
物华宾馆,,13292720388,
家顺旅馆,,17083276888,15230750828
河间市丰银格林豪泰酒店,,03173292666,18830119919
杰建宾馆,,03172045428,
上宾招待所,,18932771522,18631709548
金楼快捷宾馆,,15028601451,13513488567
阿登商务宾馆,,03175045666,
鑫海旅馆,,03172316016,13930756382
名都快捷宾馆,,03174988158,
银海快捷宾馆,,03177810111,
莱客宾馆,,03172015777,
鑫佳宾馆,,03175985097,
华元快捷宾馆,,13784766789,
御园招待所,,03172223138,
易居宾馆,,13582711546,13931779092
鸿湖快捷宾馆（金刚西路店）,,03175578777,
万泉宾馆,,03173224107,
宏达宾馆,,18730789083,13832763364
爱尚快捷宾馆,,03175578955,
