姓,名,家庭手机,工作手机
时尚公寓,,18023937663,
如意住宿,,13060523087,
金湾住宿,,07686562210,13211208650
宜家主题公寓,,13903099951,15816556822
金园住宿,,17728686076,
华庭公寓,,15917188855,
阳光公寓（原池湖招待所）,,07682188582,
华悦住宿,,13923515591,
城兴旅社,,07682241611,
康华酒店,,07686663000,
广文公寓,,13727975468,
金丰住宿,,07685226066,
文星连锁酒店（潮州体育馆店）,,07682224008,
喜春公寓,,18923519073,13713257877
逍遥公寓,,13778333382,
友谊旅业,,07686888777,
潮州麒龙宾馆,,07682336999,
168商务住宿,,15089781583,
炎辉旅社,,07686594471,
湖滨旅社,,07682222423,
彩金商务酒店,,07685895666,
莱恩旅馆,,07686888899,
宏祥食府公寓（原顺成公寓）,,15820273082,
平安商务公寓（池湖店）,,15913082421,
虹景酒店,,07686899628,
华星住宿,,07682983430,
金丰住宿,,07682935398,18023915563
云和大酒店（后街店）（原后街旅社）,,07682286969,18924729351
云和大酒店（陈桥店）,,07682213388,18924729350
丹阳旅馆,,07686892734,
金都公寓,,15089780078,
福安住宿,,15876845203,
鸿运公寓,,18923527657,
广源宾馆,,18811862776,18927106097
金凤农家住宿,,15992377670,
潮汕南住宿,,07686532031,15994986097
裕安庭居公寓,,18125896969,
金丰住宿（金石店）,,18923525005,
金丰住宿（高铁站店）,,07686538111,
水木年华主题酒店,,07686663000,13727922455
佳宾住宿,,13828355251,
宜家酒店,,07682521888,
东丽湖時光公寓,,07682503116,18319828999
玉祥住宿,,07686530335,13318931522
金歌商务酒店,,07685882222,5882868
佳客隆住宿,,07685215111,
7天连锁酒店（潮州枫溪陶瓷城潮汕路店）,,07683297277,
大埕湾浴场住宿,,15914447029,
顺顺连锁酒店,,07686668966,
火凤凰酒店（潮州大道南店）,,07682393668,
利安宾馆（枫溪广场店）,,07686896669,
天泰公寓,,07686781279,
金通旅业,,07682200378,
赣丰住宿,,07686537111,
豪客快捷酒店,,07685387666,
派酒店（潮州庵埠店）,,07686639777,17728686084
豪峰商务宾馆,,07686852318,
饶平大酒店,,07687800000,
加州旅馆,,07688892222,
华明酒店,,07686834888,
格林豪泰快捷酒店（潮州潮安汽车站潮汕路店）,,07686999000,
索顿酒店（潮州汽车总站店）,,07682214888,17728675660
麗枫酒店（潮州广场店）,,07682383555,
潮州威尼斯酒店,,07682108888,
维也纳酒店（潮州古城店）,,07682318888,
心悦精品酒店,,07682219999,
乐居商务公寓,,07687500010,15770969117
维也纳酒店（潮州汽车总站店）,,15079257200,17728675859
如意商务住宿,,07682991866,18023918757
粤豪商务酒店,,07687500999,
松發酒店,,07686781882,15992381158
豪景城酒店,,07688667666,
6+1公寓,,18923512453,
聚英旅馆,,07682923628,
华侨大厦酒店,,07683938777,
速8酒店（潮州枫溪广场店）（原池湖大酒店）,,07682308866,
金豪公寓,,18126931544,
凤凰台宾馆,,07682685688,2685800
潮州安南酒店,,07686619888,
东方云天酒店,,07686897998,
三早十月民宿,,13118603892,15812662061
喜悦酒店,,07682220008,
潮州别问客栈,,17725899064,
李小姐的店青年旅社,,18676090956,
维也纳酒店（潮州广场店）,,07682939888,
湘子桥国际青年旅社,,18676090956,
顺顺公寓,,07686629301,6668966
泓雅酒店,,07682307888,2280381
鸿运住宿,,07682296948,
潮州老枪客栈,,18807681919,
假日酒店,,07688888178,
金丰住宿旅馆,,07686892320,
鑫胜住宿,,13413712740,
瓦岗寨生态旅游庄园（客房部）,,07688391588,
全能之星商务酒店,,07688888822,
利安宾馆,,07686625238,18023909236
凯旋酒店（福安路店）,,07682520888,
惠潮韩舍,,07682223233,
豪庭公寓,,15088162166,
格林联盟酒店（潮州金龙大厦店）,,07682375555,
金丰住宿（金山大桥店）,,07682328258,
和雅公寓,,15917186697,
龙泉居宾馆,,07688863366,
万达公寓,,18025728799,
潮州金丰商务住宿（崎头村店）,,07686831108,
悦庭公寓,,13217678996,
潮州宾馆分店,,07682130666,
嘉源酒店,,07682293333,
汉庭（潮州体育馆店）,,07683999988,
博莱雅酒店,,07682315999,
潮汕站公寓,,07686537882,18128177723
载阳客栈,,07682231272,
安顺住宿,,13426926676,13288753929
金圣住宿,,07686837163,
泰豪公寓,,18211218599,
怡景商务公寓,,18933066707,18259932334
顺兴公寓,,15816557350,
东方商务公寓,,13553755190,
阳光住宿,,07682332267,13163783781
金福住宿,,13727934503,
天一酒店,,07683290606,
红园住宿,,18218207993,
侨晖酒店,,07682290808,2269898
怡和宾馆,,07686888828,
温馨住宿,,15088163761,
圆梦住宿,,13828368921,
新泰安旅馆,,15992782091,
天丰旅业,,07686819888,
嘉心宾馆,,07682975522,
建发住宿,,18098113318,
宇豪旅馆,,18198812287,13160605233
缘友公寓,,18125812250,
临江主题公寓,,07682396613,13828396613
天华大酒店,,07682367222,
远信假日酒店,,07682290288,
潮州琴韵茶香艺术客栈,,07682231349,
府城客栈,,07682226633,
艺术家驿站,,07682225533,
惠潮侨舍,,07682229933,18125822230
金园住宿,,07686350029,
茹家商务公寓,,07687608662,17308683776
怡和公寓,,17876804042,
锦瓷住宿,,15347650120,
龙天住宿,,18023923194,
好来住宿,,15976390604,
鼎福大酒店,,07682300888,
豪华公寓（吉利街店）,,13615914605,13489864575
天悦住宿,,07682312666,
玉林商务公寓,,15220948115,
九九住宿,,07686980966,13623081797
好聚祥旅馆,,07686688099,
名悦公寓,,13828365616,
聚缘住宿（仙河店）,,13670713145,
如意住宿,,07682928206,18025726685
丰华住宿,,13128412849,
侨辉酒店（中国旅行社店）,,07688882118,
金丰商务住宿,,07682935188,
潮时光小舍青年公寓（城新西路店）,,18927115903,
双阳楼住宿,,15014576161,
蓝玥湾酒店,,07682377777,
乃兴石湖休闲避暑山庄,,07686780089,
潮州东山湖温泉度假村温泉酒店,,07686999999,6999998
平安公寓,,13076405481,
潮时光小舍青年公寓（绿榕北路店）,,18927115903,
武夷公寓,,18128173691,
e家枫溪车站旅馆,,07686894848,
如家快捷酒店（潮州开元路店）,,07682325666,
金龙大酒店,,07682383888,
金苑住宿,,13226129323,
新东旅社,,07682381988,
7天连锁酒店（潮州枫春南路滨江店）,,07683938666,
佰利商务公寓,,07682299831,
柏嘉商务酒店,,07682307777,2308211
绿洲酒店（绿榕路店）,,07682221888,
海悦酒店,,07682308888,
华苑酒店,,07686939000,
768商务公寓,,07682231768,
潮时光小舍青年公寓（凤园路店）,,18927115903,
聚贤园迎宾馆,,07688871234,
饶平力诚国际酒店,,07687618888,
浙商酒店,,07686885566,6886667
凤塘浮岗住宿,,18676090925,
瑞鑫公寓,,13828391586,
昆丽旅馆,,07686890567,
蓝天住宿,,18938806534,
金丰住宿（江东店）,,07686590111,
