姓,名,家庭手机,工作手机
隆滏滨河酒店,,03105168888,
豪庭商务酒店,,03105081188,
万家福商务酒店,,03105383333,
和家宾馆,,15031015552,
窝窝精品酒店,,03105151888,
利友宾馆,,03105235212,
雅绅宾馆,,03105356666,
彦霖连锁酒店（凤凰路店）,,03107381111,
成安宾馆,,03107298666,
温泉宾馆,,03105239808,
银海岸宾馆,,13653200068,
668商务宾馆,,13333001139,
枫和园快捷宾馆,,15227961331,
豪江宾馆,,03105256668,
锦域宾馆,,03107261116,4603180
馨鑫宾馆,,15075071898,
金鑫快捷酒店,,03107258818,
乾唐商务酒店,,03105129988,
新鹏商务宾馆,,13931099841,
尚金商务酒店,,03107351111,5239998
丽人堂宾馆,,03105020808,
朝阳宾馆,,17752985876,
尚客优精选酒店（峰峰宾悦国际店）,,03105156888,
金沙滩宾馆洗浴中心,,13903208238,
众信商务宾馆,,03107260666,
老站宾馆,,03107255668,
宜加谊旅馆,,15175783270,
万豪宾馆,,03105186666,
钱隆宾馆,,03105123222,
丽都宾馆,,03105235558,
广信宾馆,,03105150888,
大唐宾馆,,03105089888,
四季旅馆,,13513103869,
单身公寓,,13731721399,
华天宾馆,,15075068075,
美度主题宾馆,,03105239090,
豪庭商务宾馆,,03107336999,
广电商务宾馆,,03105238881,
凤凰宾馆,,13393104566,
昌宏大酒店,,03105238555,
天地源温泉休闲会馆,,03108339999,
峰峰电厂宾馆,,03105113344,
宏润宾馆,,03107262888,
益兴旅馆,,03107210668,
四通宾馆,,03107216488,
永泰旅馆,,03107366338,13623205683
东方红酒店,,13932062125,
裕隆大酒店,,15133001002,
高峰宾馆,,18636958292,
新舒旅馆,,031013663105,13663105169
润泽商务酒店,,03107366288,7356288
美团快捷宾馆,,15831060222,
永鑫宾馆,,13513205850,
有所为商务酒店,,03107388777,
祥和顺大酒店,,13231007550,
顺风饭店,,13931048536,
车站旅馆,,13373208447,
东风旅馆,,13633206366,13831034462
招商宾馆,,03105239463,
锦龙港宾馆,,18031094003,
乾候宾馆,,13832018970,
