姓,名,家庭手机,工作手机
君尚酒店,,09168609999,8606666
汉宗宾馆,,09167387631,7387621
汉府假日酒店,,09167288222,7205770
东旺宾馆,,09167217788,
馨源宾馆,,09167296566,13991614388
365时尚酒店,,09167232888,13992680230
鼎诚大酒店,,09167218666,
福员宾馆,,09167219082,
桃花园渡假村,,09167296689,
汉翔宾馆,,09167391968,13772803388
如傢宾馆,,15191602622,15991961306
鑫悦酒店,,09168602188,
金龙花园酒店,,09167366699,
金龙宾馆,,09167293555,
君悦便捷酒店,,09168608885,8608886
宏昌宾馆,,09167211235,
红芙蓉招待所,,13619164695,
粮食局招待所,,18091672123,
中航商务酒店,,09162709868,13891669779
半岛时尚酒店,,09168608180,8605835
云都商务宾馆,,09167385318,
汉方酒店,,09167280066,7280099
钟楼宾馆,,18091669690,
新华商务宾馆,,09168601666,
恒源宾馆（城固店）,,09167365110,
龙翔宾馆,,13335453210,
福缘宾馆,,09167390000,
东方大酒店,,09167237888,
保险宾馆,,09167235198,13038477652
天利宾馆,,09167218989,
博望商务酒店,,09167286699,
茂源宾馆,,09167235858,
丰源宾馆,,09167293788,
城固宾馆,,09167212256,
锦园宾馆,,09167213288,
宝嘉商务宾馆,,09168600888,
天运宾馆,,09167366588,
洗乐居旅馆,,09168600666,
景天宾馆,,09167215555,
铭都酒店,,09162705666,
86印象主题商务宾馆,,09167218880,
春都大酒店,,09167203759,7203099
地平线时尚酒店,,09167235555,13892603672
新汇圆宾馆,,09167238379,
燎原商务酒店,,09167206688,
奕丽宾馆,,09162903988,
白鹭园农家乐,,09162887900,
首都唯客乐饭店,,0088602-25070168,
尚印旅店,,0088602-25682270,
维多利亚商务酒店,,09167366888,
第一大饭店,,0088602-25418234,
看看住旅馆,,15191604919,
益丰鳟鱼馆农家乐,,09167398666,
春荣招待所,,09167571390,
利群快捷宾馆,,13572622666,
惠元招待所,,13488394938,
金利招待所,,18992658990,
和平旅社,,091613572622,13572622118
新恒旅社,,09167296613,13008458216
欣兴招待所,,09167365326,
满溢宾馆,,09162755189,
光明宾馆,,09167296513,
香丽苑宾馆,,15319354032,
城飞招待所,,15091799039,
天悦精品酒店,,09167280555,
梧桐宾馆,,09167391999,
庆丰宾馆,,09167391366,13093909063
凯旋宾馆,,09167233999,
晨光招待所,,09167212746,
胥宝佳林,,09167393498,
古月宾馆,,09167235353,
皇诚金地商务酒店,,09167387566,7387588
雅园宾馆,,09167211188,
堰水山庄,,09167292258,
春熙大酒店,,09167233998,
林源宾馆,,400833-6699,
星鸿招待所,,09167293603,
凯悦招待所,,13474336760,
金会缘招待所,,13759815663,
光明宾馆,,09167213564,
青年招待所,,09167293400,
四方招待所,,09167213518,
华丰招待所,,15877364168,
忠凯宾馆,,09167238879,13992685179
四方旅社,,09167213518,
万方招待所,,09167215640,
庆丰招待所,,09167211315,
沁园宾馆,,18591616323,
粮食局招待所,,13572624555,
陕飞宾馆,,09162882888,
核工酒店,,09167217844,
宏达宾馆,,09167293666,7293109
镇巴招待所,,18291644642,
博望招待所,,09167232445,
友谊宾馆,,09167285888,
鑫梦招待所,,18729677488,
海涯招待所,,09167293110,
玉苑宾馆,,400833-6699,
伏牛山庄（城固店）,,09167420888,7420188
豪盛宾馆,,09167214889,
昊风格大酒店,,09162881888,
鸿泰龙商务会所,,09167296555,
佳源宾馆,,15353370685,
迎宾招待所,,09167216998,18091611010
