姓,名,家庭手机,工作手机
福临商务宾馆,,04764275678,15661413330
龙口山庄,,15104802722,
巴林盛宴（客房部）,,04766181177,15703651112
格林豪泰快捷酒店（林西融林家园店）,,04765555998,5326998
龙泉宾馆,,04765103188,
迪鑫客栈,,18748069939,15049951399
宝鼎宾馆,,04765883288,
宝跃宾馆,,18248010452,18248010453
萍军旅店,,13948865356,
昭君宾馆,,04768236777,
福德源宾馆,,13904760887,15648845550
福红家庭旅馆,,13904760389,
微陌时尚主题宾馆（三道街店）,,04765952777,5952999
烽焱宾馆,,15204760351,
华泰旅店,,15904860787,
洁泰宾馆,,13150986927,
顺达商务宾馆,,15804865208,
富凯旅馆,,13354856762,
金骊都宾馆,,04765228881,
启运旅馆,,13947681351,
国宾浴都洗浴宾馆（火车道口店）,,04764256496,
微陌时尚主题宾馆（清河路店）,,04765994567,18147624567
金都旅馆,,04768866176,
晟盛招待所,,18647652337,
百方合宾馆,,18604766397,
昭君宾馆（云杉街店）,,04765221800,
尚洁时尚宾馆,,04768866819,
彩绘主题宾馆,,04765266555,
圣尊宾馆,,04765968777,
奥林宾馆（火花路店）,,15149061838,
玉宝宾馆,,04765235998,
竹园小宾馆,,15304761226,
银洲宾馆,,04768862800,
众诚旅馆,,04766509266,13948660368
赤城招待所,,04768235460,
新宇宾馆,,04768336533,
华通宾馆,,13704763949,
亿汇万嘉公寓,,15149082677,
京洲宾馆,,04768867988,
人从众旅馆,,15048684888,
华城宾馆,,04768867212,13948683814
金景宾馆,,04768280018,13039590613
清泽招待所,,04768357900,13190915008
米高酒店（赤峰哈达西街店）,,04768756555,
V5精品酒店,,04768234567,
城梓宾馆,,04768666566,
同福宾馆,,13171352040,
爱尚旅馆,,18647161351,
华亮宾馆,,04767886768,15344136333
恒泰宾馆,,04765229967,
君源宾馆,,04768285500,
九九宾馆,,04768363291,
赤驿宾馆,,04768436455,
京都酒店,,04762311111,2311168
宏大快捷宾馆,,15047662252,
兰庭主题宾馆,,04768462888,
金都宾馆,,13314763381,
长城宾馆（车站店）,,04768357866,
会宾阁宾馆,,15849997810,
华逸宾馆,,04765231639,
张雷旅店,,15304760329,
棋蕊快捷宾馆,,04762846700,
金源宾馆,,04764329982,
玉宝宾馆（一部）,,04765265068,
边海宾馆,,04768882735,
双宁宾馆,,04765661188,
宜家快捷宾馆,,13847610763,
祈福宾馆,,04768334567,
百益加宾馆,,13847692051,
君赫宾馆,,04768331977,
紫旌宾馆,,04768257022,
东兴宾馆,,04767893903,
保险宾馆,,04765224547,13500662409
连海旅馆,,15047250229,
禹城宾馆,,04768234880,
小立宾馆,,15924535550,15004766393
塞北招待所,,04768238731,
清雅旅馆,,04764338484,
中昊宾馆,,13848568996,
迎君宾馆,,15148123709,
和家宾馆,,15604766122,
凯冠快捷宾馆,,18904764851,
龙腾宾馆,,04766337934,15248694960
鑫港宾馆,,04768352111,
乐家快捷宾馆,,04765917777,
宝城宾馆,,04768355033,
赛佳宾馆酒店,,04766417777,
高莱酒店,,04768176778,
鑫廉祥旅馆,,04762889262,13614765636
兴港宾馆,,15847343866,
民宇宾馆,,04764579000,
华安宾馆（哈达街店）,,04762375523,13020423407
林伊商务宾馆,,04765208550,15849648486
聚缘宾馆,,15750402599,
常霖招待所,,04768449814,
天汇宾馆,,04768245386,15540672055
洋航宾馆,,04765988277,
银港大酒店（客房部）,,04768352007,
尚捷宾馆,,04768422081,
家庆宾馆,,04768869118,
瑞德嘉商务酒店,,04768459977,
达轩酒店,,04768666688,
盛达宾馆（步行街店）,,04768868203,13948641728
佳香宾馆,,04768476633,
亿龙宾馆,,04765971198,
天凯宾馆,,04768339234,
丽都宾馆,,04768862226,15647673736
万隆宾馆（购物城店）,,13604768125,
庆玉商务宾馆,,04765233996,15847494888
京西宾馆,,04767865995,
时尚快捷宾馆,,04768438582,
月亮湾时尚宾馆,,04767866799,
瑞泰快捷宾馆,,13739931667,
北宏宾馆,,04768175866,
新华宾馆,,04768246719,8221161
宝来宾馆,,18247668851,18947609096
盛尊商务宾馆,,04765665999,4265720
晋泰宾馆,,04768232166,8235166
赫伦时尚宾馆,,04768493077,
7天连锁酒店（赤峰客运总站店）,,04765633333,
中和宾馆,,15849659996,
7天连锁酒店（赤峰步行街店）,,04768380111,8281111
娜雅宾馆,,04768835057,
京泰宾馆,,04763555509,
同泽宾馆,,04765869777,5881177
168商务宾馆,,04765263666,5263777
舒安心日租房,,18747157456,13734863829
世纪家园宾馆,,04765351625,
盛鑫宾馆,,15049960421,15049902268
远古商务宾馆,,04762829511,
银航宾馆,,04765620999,
鹏盛快捷宾馆,,04764339188,
瑞尔宾馆,,04764311888,
