姓,名,家庭手机,工作手机
众昊大酒店（客房部）,,03102263333,
雅居快捷宾馆,,18131041196,
金马快捷酒店,,03104557918,15632001622
鸿鑫宾馆,,03102301668,
冀南春宾馆,,15933304531,
晓乔人家宾馆,,03105075352,
悦家商务宾馆,,03102131888,
都市迷你连锁酒店（邯郸码头镇店）,,03102171789,
尚御快捷宾馆,,03102185559,15030073338
蓝月湾主题宾馆,,03102168886,
金峰宾馆,,03106295678,
商业城旅馆,,03106012720,
欧尚快捷宾馆,,03102186656,2180777
盛家快捷宾馆,,03102180888,
鑫盛湾快捷宾馆,,03102155000,
途家宾馆,,03102133316,18031033019
邯马旅馆,,03106012786,
京发商务酒店,,03108322777,5071999
晶鑫快捷宾馆,,03102322205,
驿家365连锁酒店（马头镇店）,,03106011365,
金之湾快捷宾馆,,03102288668,
粮局洗浴休闲会所,,03102333835,
定意宾馆,,03102168881,15832040593
御景楼宾馆,,03102133666,
恒磊宾馆,,03102072678,
成龙宾馆,,13932036936,
速八酒店（邯郸冀南新区店）,,03106016161,
世君苑主题宾馆,,03102395111,
俊逸华庭宾馆,,03102306666,5078888
桃园快捷宾馆,,03102232999,
合家公寓,,13673102875,
嵩景楼酒店,,03102196601,2196602
尚客优快捷酒店（邯郸磁县童装城店）,,03102126688,
驿家快捷宾馆,,03102125666,
天沐商务会馆,,03108329959,
众昊快捷宾馆,,13343302860,
乐家快捷宾馆,,03102297777,
金鑫宾馆,,13931051578,
欢乐家园（磁县店）,,15632015591,
易家快捷宾馆,,03106093999,
家庭旅馆,,13903330896,
大别山旅馆,,03102330660,
友谊旅社,,13784263662,
白云旅馆,,03106011389,
朋来快捷宾馆,,03102328385,
富宽大酒店,,03108323101,15832037789
人和旅馆,,18348762686,13231004811
溢泉湖生态园,,03102269888,
唐僧旅馆,,18942600153,18132319111
状元坊学生公寓,,15832012316,15632025268
广场旅社,,03102455210,
田园风光生态园（客房部）,,15233203509,
中心旅社,,03102456006,13103107602
福林旅社,,15102659715,18303006826
岳城浴池,,03102466667,
成安宾馆,,03105232299,
白金玉招待所,,03102339901,
桂名园酒店,,03102313826,13722674084
双龙旅馆,,03108320008,
朝阳宾馆,,13283132867,
滏源楼酒店,,03102318188,
文体招待所,,03102323128,
同来顺旅馆,,15830319885,
华成生态大酒店,,03102287789,
农资快捷宾馆,,03105078822,
京阳快捷旅馆,,03102322555,13730407779
新桂圆宾馆,,03102391351,
云龙大酒店,,03106011079,
花都快捷宾馆,,03102330002,
华通宾馆,,15333102393,
和谐宾馆,,15033888392,
磁州旅社,,18231061523,
祥瑞旅馆,,03105078019,
马头镇金源快捷宾馆,,03106016085,
乐善宾馆,,031013400209,15713007021
同福客栈,,03108329290,
君悦宾馆,,03102111123,
安顺旅社,,03108326735,
福顺旅店,,03102323909,
