姓,名,家庭手机,工作手机
莫干山碧坞原乡民宿,,17757299188,
沐静轩客栈,,05728213996,13326186679
莫干山紫竹山居农家乐,,13511254398,18157296929
君御商务宾馆,,05728466696,
莫干山东山云居,,13706821785,
莫干兰泉山居（客房部）,,13587262702,
绿竹红坊,,13957261324,
府昌宾馆,,05728180628,
莫干山苗庄客栈,,13706825333,13738216868
丽杰山庄,,05728051234,13567267065
莫干山陈氏山庄,,05728036498,13655828563
莫干山清心山庄,,13905828097,
莫干山隐山居农家乐,,18757219790,
莫干山世外闲庭客栈,,05728035408,
湖州蒋家竹园山庄,,05728035807,18205827881
江南山庄,,13757213621,
莫干山碧云居（农家乐）,,13587260330,
沐心坊洋家乐,,05728035678,
瑞晶假日酒店,,05728019188,
莫干山丁家古桥山庄,,13757217869,13757217891
丽晶大酒店,,05728086666,8085055
莫干山新锦山庄,,05728035988,13665728988
湖州坤鑫客栈,,13906827953,
莫干山漫山居民宿,,05728035271,18967244058
秦吕缘客栈,,18357297853,
平月居客栈,,05728672899,15557265261
绿溪农庄,,05728672899,15557265261
天妤旅舍,,05728672899,15557265261
竹海听涛洋家乐,,05728672899,15557265261
丽庐旅舍,,18701797997,
后舍客栈,,15805824555,
不可言宣客栈,,05728672899,15557265261
云安居民宿,,05728672899,15557265261
山道弯弯精品民宿,,15557265261,
静山居民宿,,05728672899,15557265261
石廊花溪度假公寓,,05728035807,18205827881
半间屋民宿,,05728672899,15557265261
叶家民宿,,05728672899,15557265261
原舍.望山客栈,,18931867639,
万豪宾馆,,05728322111,
七彩假日宾馆（德清二店）（原黄金岛酒店）,,05728827778,
五洲宾馆,,05728811559,
金宇宾馆,,05728670111,
博澳港岛宾馆,,05728302777,
天龙宾馆（营盘店）,,05728812128,8812388
天池宾馆,,05728276799,
城外城宾馆,,05728379111,
云丰宾馆,,05728428000,
新五洋宾馆,,05728065222,
蓝梦宾馆,,05728065777,
新洲概念宾馆,,05728350588,
天诚宾馆,,05728078866,
新国贸大酒店,,05728280188,400833-6699
长虹宾馆（永安店）,,05728077266,
鸿林商务宾馆（原假日港湾宾馆）,,05728886888,
彩虹宾馆（贵和街店）,,05728270359,
乐居宾馆,,05728276333,
米兰风尚酒店（永安街店）,,05728661118,
平安宾馆,,05728182039,
七彩假日主题宾馆（德清三店）（原AITA主题1店）,,05728811922,
七彩假日主题宾馆（德清四店）（原AITA主题2店）,,05728811920,
蓝天宾馆（仙潭路店）,,05728450939,
华霆商务宾馆,,05728444058,
瑞克精品酒店,,05728365111,
耀都宾馆,,05728067998,
佳晨宾馆,,13732375396,
方圆宾馆,,05728448001,
古银杏山庄,,05728036155,13757236012
莫干山听水居,,13105821020,
天池山庄,,18767267246,
莫干山湘竹茗居客栈,,18757262160,
高老庄山庄,,05728041884,13655828370
港丽假日宾馆,,05728447788,
红房子宾馆,,05728076788,
澳尚酒店,,05728370333,
香格里湾宾馆,,05728390158,
莫干山山水人家,,13666543974,
悠乐山庄,,18757281008,13957268318
莫干山静宜居,,15888396760,13587266841
莫干山瑶南坞,,15157258771,
莫干山坎上人家,,15088383555,
莫干山朱湾里山庄,,15705729257,
莫干山大阳山庄,,13732360732,13705827415
西坞里66号,,13587263736,
小小农家（莫干山店）,,13967269543,
德清九都山庄,,05728232999,
兰卡精选酒店,,05728669777,
英才商务宾馆（原汉岛精品酒店）,,05728889977,
鸿海宾馆,,05728429767,
莫干山香樟树下,,13819220848,
莫干山月仙农家乐,,15857251057,
莫干山青漫・一屋,,13857283012,
莫干山徐家别苑农家乐,,15157257664,13587212110
风林居民宿,,13587211503,
零距离宾馆,,05728351777,
莫干山竹茗山庄农家乐,,13906827650,
莫干山闲步庭下山庄,,13819273270,15857290304
莫干山天然居民宿,,13738211841,
莫干山碧龙山庄,,18805827817,
莫干山蝶海别墅山庄,,13616723168,
繁荣旅馆,,05728320898,13735114899
山涧客栈,,05728045300,13306726322
莫干山官山小筑民宿,,18905823982,
莫干山增家缘农家乐,,13868299224,
莫干山又见炊烟,,15757209060,
莫干山大憩山庄,,18868874933,13666542153
莫干山碧海山庄,,13757231035,
莫干山仙潭无名居,,15257208165,13738216910
莫干山风格民宿,,18268861682,
莫干山九曲湾客栈,,17706829486,
莫干山忠缘居山庄,,13754230471,
莫干山角落时光农家乐,,13588404555,
莫干山丽景阁客栈,,15967227119,
莫干山竹里息山居客栈,,18257260897,
白色香墅VILLA BLANCHE,,18705820080,
悦来客栈,,05728036034,15857226116
缘来山居民宿,,13567260703,
莫干山后坞乡村80后民宿,,13515822272,
吉安民宿,,05728052878,13738212808
初见·云水化羽民宿,,15267430663,
莫干山二号楼农家乐,,18858244035,18815293477
蜜悦假日酒店,,05728361333,
红豆杉山庄,,13706829905,
熠灵山居客栈,,15757252859,
山氧·开态洋家乐,,05728696699,13567250247
