姓,名,家庭手机,工作手机
丰宁大滩海林农家院,,13031428573,
枫宸宾馆,,03145977773,
金凤凰宾馆,,03148019088,
義善宾馆,,03148086555,
悦然宾馆,,03148066939,
乐原快捷酒店,,03148033399,
纳福快捷宾馆,,03148068086,
青年▪都市迷你连锁酒店（滨河路店）,,03148223333,
尚客优快捷酒店（承德丰宁新丰北路店）,,03148086868,
草原风情俱乐部,,13731436989,
老董农家院,,13931423701,
和家宾馆,,03148061366,18233899939
丰宁坝上草原风农家院,,13785375201,
眷恋主题宾馆,,18703343953,
温三农家院,,13784451616,
丰宁坝上凤霞山庄,,13932467956,
钰国宾馆,,13191630108,
乡村驿站,,15176763006,
浪漫之旅主题宾馆,,03148089588,
东冬农家院,,18233826777,18732460966
吴老四马术俱乐部客房,,13253196456,
安子假日酒店,,18631439461,13832482804
缘天然假日庄园,,03148017771,18610956755
格桑花农庄,,13716196120,13552397104
坝上草原金诺假日酒店,,13910607990,15632477990
刘真骑士俱乐部宾馆,,13784453635,
绿途酒店,,18713442432,
坝上草原山东人之家农家院,,15028983410,
坝上草原龙悦山庄,,13832404279,18203247183
蓝舍世家主题宾馆,,03148085588,13731442275
坝上草原新佛农家院,,13403143928,13932445957
鑫胜宾馆,,13343398815,
顺航快捷宾馆,,03148061388,
丰宁坝上草原德锋庄园,,15176758499,13784459037
坝上草原牧野倾城休闲度假庄园,,03148285437,15831408526
坝上草原君兰庄园,,13691332999,18611125660
忠信旅馆,,13315896361,13315896360
炫靓国际酒店,,03148395555,
7天优品酒店（承德丰宁店）,,03148237777,
坝上金骑士农家院,,13833415179,
天马庄园,,18203245392,13931412637
天和顺假日庄园,,13653143181,
坝上草原东明农家院,,18730474413,
好日子坝上草原度假村,,13503346386,
东帝快捷宾馆,,03148269888,
老谭绿色庄园,,13831400401,13653143569
小时光家园客栈,,18831407959,
平安旅馆,,13831440816,
京丰酒店,,13633246288,
宝鑫宾馆,,18832463686,13731446509
景山农家院,,13703147951,
青年驿站,,15831413821,
大桦山庄,,13381416780,13231459939
草原宏顺假日酒店,,13832482644,
顺缘度假村,,15831413015,
隐客庄园,,13241121796,17346519202
喜龙农家院,,13643245256,
北京驿站,,18832416103,18832417125
坝上李全假日农庄,,18131891393,18730448022
坝上草原乐活度假村,,03148280208,15810582840
泽雅旅社,,13315888398,
枫叶家庭旅馆,,13703148707,13633246087
喜阳洋庄园,,13833439899,13911884911
金戈铁骑农家院,,15831482341,
草原红农家院,,18631492147,
坝上草原宏源山庄,,13283352191,
龙跃宾馆,,18232278066,
西部庄园度假村,,13601397406,
占岭农家院,,13932471218,
坝上草原强子农家院,,13833415917,
彩云山庄,,13932435981,13466666627
九龙山庄,,15176765336,
海泳农家院,,13832430495,13623248571
乐族庄园,,18611286308,
华冬乡情农家院,,15176788882,
晓夜商务酒店,,18515156386,18010032419
坝上长富山庄,,13643141830,
承德丰宁坝上东方之家农家院,,18631410797,
坝上草原秀义客栈,,18333125752,
乐巢主题宾馆,,03148083998,15028986686
坝上草原之家农家院,,13831469671,
坝上丽江假日酒店,,13716112709,15810094681
丰宁坝上鑫鑫假日酒店,,13091351137,
坝上如约假日酒店,,15097885968,
朋达度假酒店,,13718778607,
万锦旅馆,,18311018905,
坝上草原桂林农家院,,18510682908,15011583829
坝上民族风假日庄园,,13293232456,15612655040
旺玥快捷宾馆,,18713442112,
丰宁扎拉营老卢农家院,,13832480492,
坝上草原·草原风休闲俱乐部,,03148280094,
坝上草原月亮庄园,,03148285135,15632402445
丰宁坝上草原情骑士俱乐部,,13831463664,
丰宁扎拉营宝运农家院,,15369111221,
鑫宁快捷酒店,,03148036666,
坝上草原飚马牧民客栈,,03148284735,15210861608
鑫顺快捷宾馆,,13730141662,
云静山庄,,13932471640,15076984853
坝上草原鸿运庄园,,13832487165,13313288595
京源农家院,,13323149812,
鸿旭酒店,,03148087999,15076916532
天天假日快捷宾馆,,03148018999,
坝上草原双鹰农家院,,15176781380,
坝上草原欣欣茹苑农家院,,13832436779,13488868189
梦鑫宾馆,,13731447829,
思逸庄园,,03148285180,13716177183
坝上草原农庄农家院,,18231420287,
鑫磊快捷酒店,,03148038889,
清凉台山庄,,15831413304,
丰宁坝上草原玉文农家院,,13633247962,
扎拉营塞北大院农家院,,13613241087,
丰宁抬头沟云冉农家院,,13681248580,
梦幻主题宾馆,,18232405088,
滨河快捷宾馆（丰宁店）,,03148012212,13373144784
八旗牧场假日酒店,,03148285556,
日光倾城客栈,,15612696679,
梦溪快捷宾馆,,03145970088,18903245118
佳梦快捷宾馆,,03148335555,
四海宾馆,,03148085898,
速8酒店（丰宁新丰路店）,,03148278888,
小屈农家院,,18603341632,13091356742
大明农家院,,13931421659,
云月花影宾馆,,03148085678,
丰宁宾馆,,03148030695,8030999
嘉和快捷宾馆,,03148089098,
优淘假日民宿,,03148281116,13911048195
铭源宾馆,,03148018666,15133832654
今日风情度假村,,18611028350,13911288856
坝上草原焕龙农家院,,15176742922,13473146087
坝上乌力吉度假村,,03148284674,13811008051
丰宁坝上草原龙霞庄园,,15832436103,
丰宁坝上银湖庄园,,03148285098,8285146
丰宁京顺万豪酒店,,03148069005,18730446965
丰宁坝上牧场乐园农庄,,400101-0176,
芭比时尚主题宾馆,,03145978866,
纵马欢歌酒店（一店）,,13911881032,
丰宁坝上草原晓平农家院,,13832425764,13832471157
迈点主题宾馆,,03148081899,
驿捷度假连锁酒店（坝上大滩店）,,03148281033,
宇佳假日酒店,,18631482060,18731473459
梁下第一庄园客栈,,13633141423,
皇冠农家院,,13833414865,
富兴大酒店,,03148060222,
白云湖旅游山庄,,18903312523,
咱家小院,,13931405688,
坝上草原理想农家院,,03148284825,13315882973
坝上草原隆景庄园农家院,,13171625300,
水沐歌大酒店,,03148062366,
瑞庭酒店,,18632403189,13739705399
佳和农庄,,18730413652,
坝上磊子农家院,,15133881020,
快乐行度假村,,13623117507,
丰宁坝上丛徕山庄,,15076909080,
谷梵假日酒店,,03148282223,
小芳农家院,,13131483032,
丰宁印象.草原客栈,,03148281111,
坝上崛起农家院,,18231449511,
丰宁坝上广丰佳苑农家院,,15833143070,
驿捷度假连锁酒店（有才庄园店）,,01053579800,
丰宁塞北致家,,400101-0176,
坝上旅游-塞外度假院,,03148280095,13582867636
舒心客栈,,13663144387,
坝上占国农家院,,13832422550,
龙成贵宾山庄,,13911125031,
坝上草原万清农家院,,03148284931,
丰宁坝上骑马假日酒店,,031488714256,
万春休闲度假酒店,,13831405829,
孤石军马场度假村,,03148283333,
银河温泉度假村,,03148212020,8218888
坝上草原刘伟农家院,,03148284609,13513249225
丰宁坝上草原车马驿汽车主题酒店,,18903245560,
坝上草原满蒙民俗庄园,,13731429133,
丰宁扎拉营伯乐庄园农家院,,13643243490,
承德丰宁戚家大院农庄,,18701429469,
炫靓假日酒店,,03148285515,15076919497
丰宁坝上青青草原农家院,,13931417375,
草云居假日宾馆,,18244555585,
丰艳农家院,,13643242283,
兴旺餐厅宾馆,,15248288911,15732426866
桂芸农家院,,13671385677,
坝上草原良缘农家院,,13084599607,
芳馨园农家院,,15831413305,
福临邸宾馆,,03148335698,
腾龙家园农家院,,03148280118,13931405578
承德坝上春雨假日酒店,,13331089268,13381023570
志林农家院,,13473143454,
丰宁坝上草原马术俱乐部农家院,,13932462370,
坝上草原绿野乐原农家院,,13171603479,
榆树沟魅力草原农家院,,13833403193,
丽江假日农家乐,,13716112709,
春明度假村,,15930082928,
陈云农家院,,13831495794,
京北草原丰裕庄园,,15632482223,
北京之家度假村,,03148285578,
丰宁坝上大滩镇三九庄园,,18910538036,
湖畔仁家驿站,,15176748462,
草原风情农家院,,13931407076,
逍遥农庄农家乐,,15512488707,
意如格乐假日酒店,,13731432570,
壹號庭院精品酒店,,13810566978,13910386965
隆兴假日农家院,,18715907482,
天之蓝农家庄园,,15128625647,
坝上王家大院,,15612661104,
喜良农家院,,13932471520,
九号院度假村,,15732432525,
喜龙缘假日酒店,,15028956929,
丰宁坝上晓新农家院,,13931417613,
景林农家院,,13832432849,
大滩镇任家农家院,,15231461358,
友马镇酒馆特色精品酒店,,13381288262,
久阳假日酒店,,13473141851,
欣龍門假日酒店,,15731400068,15731400086
黑骏马农家院,,13121825800,
二利庄园,,13931407369,
二峰农家院,,13731432572,
丰宁坝上滦河农家院,,13785384698,
牧马人家,,18231420289,
福瑞假日酒店,,15612487719,
鱼儿山大酒店,,15831498751,
丰宁坝上方圆农家院,,18632413256,
丰宁坝上百鸿山庄,,13488694655,
热情蒙哥山庄,,13932493679,
亚明农家院,,13603147510,
津京客栈,,03148285520,18522592919
华泽酒店,,03148062555,
坝上存玉宾馆,,13832496011,
驴友驿站,,13832423110,
丰宁榆树沟爱马仕休闲俱乐部农家院,,18832434106,
丰宁坝上裕燕农家院,,15028941664,
贵宾山庄,,18611280062,
坝上和平饭店农家院,,13403343835,
福山宾馆,,03148068899,
丰宁坝上草原小慧农家院,,13693089304,
巴日庄园农家院,,13633245874,
丰宁扎拉营明亮庄园农家院,,13833422542,
丰宁坝上草原原野农家院,,15243358157,
坝上绿色家园,,13643245270,
晓峰农家院,,13483892922,
丰宁坝上福门大院,,15011369610,
女汉子农家院,,13633146595,
峻豪庄园,,18603141270,13701377120
玉龙湾庄园,,13081055578,15100200021
华成商务酒店,,03148016888,13931405232
丰宁扎拉营蒙满风情园农家院,,15903143965,
漠南农家院,,15028954056,
丰宁坝上新晨农家院,,13463671596,
戚家大院农家院,,13722416313,13832423110
心怡度假庄园,,15131483749,13730148399
大滩碧野农家院,,15231481680,18831415848
祁家大院,,13716003314,
承德市六九顺大酒店,,03148085678,
宏宇庄园客栈,,03148285082,
丰宁坝上诚信庄园农家院,,13784458546,
承德安有农家院,,13831424533,
丰宁塞北假日之家,,13932467926,
喜瑞乐园家庭旅馆,,13831400263,18131895250
鑫旭休闲度假酒店,,15097814124,
丰宁坝上草原小国农家院,,13623247675,13231495992
祥合农家院,,13403342981,
镇北壹号院,,03148060088,18511661009
亚东庄园,,13483868189,
丰宁坝上草原祎意农家院,,15028959479,
福蓝克庄园,,15324265823,18500229137
晓晨农家院,,13663342116,13191632620
驿捷度假连锁酒店（丰宁坝上扎拉营店）,,01053579800,15732456577
董三农家院,,15028976854,
坝上小勇农家院,,13832443124,
坝上老刘农家院,,03148285360,13832495751
云鑫农家院,,03148284609,
丰宁坝上扎拉营亿客缘农家,,13403248828,
聚仙山庄,,18631464591,
坝上万萍农家院,,15831414799,
福满旅馆,,13623146550,
海清农家院,,15128562702,
坝上草原战友憩息地农家院,,18631427003,
和顺家园农家院,,15803240653,
丰宁叁合隆庄,,400188-1234-8047,
草原逸屋假日酒店,,13502199195,
丰宁坝上草原老乡俱乐部农家院,,13832436770,
王东军农家院,,15176788882,
皇冠农家院,,15031653115,
杏林宾馆,,13091331410,
坝上草原盛源山庄,,03148284999,
丰宁坝上孙德林农家院,,13831408453,
雨芳宾馆,,18631454113,15076965280
土掉渣农家院,,13932422233,
长红宾馆,,03148066981,
英东农家院,,13131436891,
坝上草原源缘圆客栈,,13403149616,
义生源旅馆,,13932482008,
静雅宾馆,,03148418668,
坝上草原震宇农家院,,15632400629,
刘四假日宾馆,,13463342209,
坝上草原张德林农家院,,03148294857,
永宏超市旅馆,,13832489496,
坝上草原时光农家院,,13731427490,13633144737
坝上绿景庄园,,03148285553,
丰宁坝上志国农家院,,03148280103,
白桦林塞外避暑村,,15010356505,
新华园饭店旅馆,,03148416095,
缘客聚旅馆,,18931406333,
承德马和羊农庄,,03148285746,
商业宾馆,,03148016629,400833-6699
交通宾馆,,03146633955,
林和源宾馆,,03148033222,
百盛宾馆,,03148033040,
坝上草原宏伟农家院,,03148280106,
阳光驿站,,18710040581,
丰宁坝上草原金莲滩农家院,,13785554197,15932403720
牧野倾城山庄,,400101-0176,
美源假日酒店,,13463666828,
坝上草原魅力农家院,,03148280099,13633144737
小伟农家院,,03148285618,
驿捷度假连锁酒店（丰宁草原之家店）,,13731433364,
九龍宾馆,,400833-6699,
丰宁坝上草原金军农家院,,13932445839,
顺发旅馆,,13831495029,
丰宁德利庄园,,03148284854,
兰廷快捷宾馆,,03148060789,
丰宁坝上宏源山庄,,400101-0176,
吉普车演练中心度假村,,18631414449,
丰宁天之蓝旅游度假村,,18233875752,
隆安快捷宾馆,,03148037288,
馨悦旅馆,,15031669240,
参合龙庄,,13333390688,18331438935
丰顺旅社,,13293285859,
永强农家院,,13833414828,
香叶旅馆,,15097831545,
金帝宾馆,,03148065999,
隆宇商务宾馆,,03148068898,
金泽酒店,,03148081995,
新燕春大酒店,,03148019018,
红楼大酒店,,03148248888,
坝上娜桂花农家院,,18230145313,
坝上草原老魏农家院,,13483864229,
驿捷度假连锁酒店（丰宁草原超然店）,,03148285086,15831413319
福鑫旅馆,,15097803009,
九龙农家院,,13363142326,
顺馨旅馆,,15612469097,15128935697
顾家庄园,,13522953288,15010069473
五湖山庄,,13303149418,
丰裕庄园,,03148282009,
老庞农家院,,15028987824,
京北草原丰裕庄园,,15632482223,
