姓,名,家庭手机,工作手机
乐居时尚酒店（福清店）,,059186556111,
街鑫商务宾馆,,059185878688,
腾飞快捷酒店,,059186000638,
锦江招待所,,059185215248,
南方宾馆,,059185235130,85233888
君逸酒店,,059185595777,85598777
冠嘉商务酒店,,059186092888,
冠豪精品酒店,,059186087555,
嘉豪商务酒店（龙江路店）,,059186558999,
999商务快捷酒店,,059185523999,
万通商务酒店,,059185229286,85229186
纳威格精致酒店,,059162813188,
远东商务宾馆（一拂路店）,,059185501177,
华谊精品酒店,,059185201888,
新大泽酒店,,059185611222,
速8酒店（福州福清利桥店）,,059185538999,
乐行乐宿酒店,,059185351777,
京山大酒店,,059138777999,
景士兰大酒店,,059185785678,
鑫都商务酒店,,059185825777,
金海湾商务宾馆,,059162828555,
九天时尚酒店（玉屏店）,,059186007779,
冠元商务酒店,,059162828888,
裕嘉城商务快捷酒店,,059185582888,
融鑫假日酒店,,059186556555,
龙明宾馆,,059185765666,
长江商务酒店,,059185983777,
卡瑞登·城市酒店（福清西门店）,,059186076777,
上品旅店,,059185169288,
福清天河大酒店,,059185156666,
宜居精品酒店,,059185801999,85790333
悦馨大酒店,,059185611888,
馨泰商务宾馆,,059186057555,
时尚宾馆,,059185613323,
融城如意招待所,,059162160977,
南鹰旅社,,059185217848,22118805
冠发君悦酒店,,059185288888,
卡瑞登天悦酒店,,059185528777,
福清创元千禧大酒店,,059122162981,22162982
融佳招待所,,059185212425,15860250279
白玉旅社,,059185736001,
喜嘉乐酒店,,059185617633,
千穗祥瑞公馆（万达广场店）,,059185538766,
南加州精品公寓,,15777999995,
盛厚德宜住公寓,,13275048760,13110638806
东方假日酒店,,059186993366,
海洋城酒店,,059138777777,
盘昇花园酒店,,059185955888,
兰天大酒店,,059185781888,
福清融侨大酒店,,059185285018,
卓越大酒店,,059185287888,
友日久大酒店,,059185525666,85526666
石竹山庄,,059185861177,85860077
帝景住宿公寓,,13705922518,
侨联宾馆,,059186005888,
東昇公寓,,059185388333,
凯宾酒店（清昌大道店）,,059128078888,
京都旅馆,,059128387113,
卡瑞登酒店（宏路店）,,059186976777,
六鑫商务酒店,,059162161666,
凯斯顿精品酒店,,059185218888,
顺意旅馆,,059185277707,
锦馨商务酒店,,059185921555,
天城公寓,,059185215935,
冠达弘廷大酒店,,059188219999,
金诚商务宾馆,,059185128999,62837583
宏泰快捷酒店,,059138511777,85258333
新港快捷酒店,,059185966377,
佳宁娜假日酒店,,059186052222,
富邦商务宾馆,,059186071333,
福清瑞鑫大酒店,,059138766666,
福清金鹰戴斯酒店,,059185528999,
梦都宾馆,,059185575777,
鑫佰利海洋公寓酒店,,17758910123,
侨嘉快捷酒店,,059185915666,
天生海水温泉度假村,,059185601677,85601557
中州商务酒店（福夏路店）,,059185202777,
朗悦商务酒店,,059185778666,
康龙大酒店,,059185916633,
速8酒店（福州福清宏路宏翰店）,,059186970777,
腾辉招待所,,059186003169,
悦来馨商务宾馆,,059185903999,
冠辉大酒店,,059185397666,
君怡宾馆,,059185731166,
宏都宾馆,,059185285777,
君豪宾馆,,059185878587,
金鑫酒店,,059186931777,
成龙比尔佳大酒店,,059185383333,
速8酒店（福清上郑路口店）,,059138758888,
融侨新港大酒店,,059185655555,18950271230
神州大酒店,,059185897789,
卡瑞登酒店,,059185877999,
凯宴大酒店,,059186915555,
天虹招待所,,059185267317,
凯悦公寓,,059185730666,13685027972
花坛旅馆,,059185199665,
易佰连锁旅店（福清成龙步行街店）,,059186001008,
闽捷酒店,,059138515588,
馨园大酒店,,059185775111,85775222
佳和时尚公寓,,13705967179,
新金源宾馆,,059185375677,85375877
鑫龙旅馆,,059185157022,
龙丰旅馆,,059185931228,
都市港湾,,13290724190,
海景园宾馆,,059186893555,
多福大酒店,,059185286788,
花园假日酒店,,059185685999,
亿康大酒店,,059185775701,400833-6699
冠榕,,059185673033,85673055
清金鹰大酒店,,059185287388,
华钦招待所,,059185159696,
侨联大酒店,,059185175333,
金泉宾馆,,059185697555,
金榕大酒店,,059185257888,
海景宾馆,,059185965995,
皇家壹号公馆,,059185783051,
清元意旅社,,059185380965,
福鑫源,,059185693116,
好再来住宿部,,13950326830,
雅阁宾馆,,15860802873,
东壁岛度假村,,059185785666,
欧卡连锁酒店鑫泰商务公寓,,059138779666,
海汀主题酒店,,059163110999,
东方度假村,,059188883556,
麻辣驿站（步行街店）,,059185237308,
呼和浩特秀丽酒店式公寓,,15949476826,
呈祥旅馆,,059185281676,
牛顿客栈,,059128078989,
山村酒店,,059185398508,13509308223
博雅美居,,18060899317,
新凤凰招待所,,059122110158,
蛋挞小屋,,18650365679,
千禧房产,,059185220338,85220339
祥鑫宾馆,,059185890977,
佳缘招待所,,059162115686,
东璧岛旅游度假村,,059186016666,
新侨大酒店,,059185165777,85165566
清润之堂公寓,,13599377077,
冠明商务酒店,,059186557888,
融钦旅社,,059185237986,
月星旅社,,059122110780,
三隆大酒店,,059186076999,
佳宏招待所,,059185225225,
银江招待所,,059186009620,
英遂旅社,,059185380651,
星华楼宾馆,,059185968669,
芭比时尚欢乐酒店,,059185906666,
宏乙小宾馆,,059185389788,
侨乡酒店,,059185350666,
商务宾馆（商业大厦店）,,059186093222,
桥南旅社,,059162161968,
好运来宾馆,,059185613188,
明凤招待所,,059122118183,
旺佳商务酒店,,059185190688,
凯帝酒店,,059185802333,
站东招待所,,13655063076,
忠平旅馆,,059185378999,
新港商务宾馆,,059185356888,
新悦客栈,,059185382965,
银桥招待所,,059185229778,400833-6699
兴旺旅社,,059185682306,
腾运招待所,,059185858326,
桥头族社,,059185256869,
天盛商务公寓,,059185227673,
你我他大酒店,,059185917933,
风光宾馆,,059185681501,
清東昇主题公寓,,059138777555,
大众旅社,,059122115655,85223456
清永松商务酒店,,059185755573,
大兴旅社,,15059196695,
侨联大酒店,,059185773392,
龙兴旅社,,059185225685,
金山宾馆,,059186067555,
君临盛世商务酒店,,059185108555,
兴业旅社,,059185683505,
