姓,名,家庭手机,工作手机
东方旅馆,,15950388817,
淮扬招待所,,13861582241,
驰骋宾馆,,13813329338,
众香国宾馆,,051784906051,18932319718
名都旅馆,,051787011158,13511558807
晨露大酒店,,051783645777,
唐人宾馆,,18018490906,13151322202
明亮宾馆,,13186653508,
二村旅馆,,18952317813,
世纪苑招待所,,051784934889,
新逸宾馆,,15312318690,
金榜大酒店,,051783600777,83181777
城西池旅社,,051784919606,
一点招待所,,13912082397,
师苑宾馆,,051783512999,
悦圆商务宾馆,,051783528133,
他乡居宾馆,,051783700333,
怡然之家宾馆,,051782116888,
六楼宾馆,,051783401018,
九号宾馆,,051785857799,
龙华宾馆,,13776718556,
爱尚家商务宾馆（万达广场钵池山公园店）,,051786298855,18705233379
东城旅馆,,13151887128,
旅悦商务宾馆（淮安汽车北站店）,,051789229988,
海南岛水城（客房部）,,18752423620,
福临宾馆,,051783506396,
文府宾馆,,051785751188,
吉佳宾馆,,051785387999,
丽都宾馆,,13770420206,
凤凰宾馆（纬一路店）,,13236263678,13016563258
罗曼蒂克商务酒店,,051787034999,87034979
世纪名门大酒店,,051787150645,87150666
锦江之星（淮安汽车总站店）,,051783998078,
朗廷快捷宾馆,,051783108988,
剑兰宾馆,,051783120620,83714433
辰季连锁酒店,,051786288886,
鼎鸿大酒店,,051784935858,
蓬莱招待所,,15950395808,
名流宾馆,,18915100016,
日日缘旅馆,,051785980487,
宇祥宾馆,,051785181111,
鑫达宾馆,,13196996227,13016580166
丽舍快捷酒店（新民东路店）,,051789900988,89900188
桃花坞休闲会所（客房部）,,051789086161,
瑞祥招待所,,13705235679,
利佳招待所,,15052612767,
士明招待所,,051787079890,13064905855
大伟旅馆,,15161766772,
华都招待所,,13952388399,
福乐招待所,,051784960971,13151876588
经济宾馆,,051788201996,18952356686
福缘招待所,,051783991669,13861583627
私家影院主题宾馆,,15312337918,15805235848
过客.家的味道公寓,,13805237268,18915135555
天鹅恋主题宾馆（洪泽店）,,051787800520,15345210520
春晨宾馆,,13852491440,
淮铁宾馆,,13196988517,
格调主题宾馆 （周恩来纪念馆店）,,051785889187,
君豪宾馆,,18015193481,
海霞宾馆,,15152559656,
雅居宾馆,,051786917878,13033556899
金泰宾馆（淮海北路店）,,051783671888,15051399552
老侯客栈,,13625151999,
景峰宾馆,,13064911002,
布丁酒店（淮安洪泽北京路大润发店）,,051787687666,
楚源宾馆（东门美食街店）,,051785966231,
天诚招待所,,051783523370,
迎鑫饭店宾馆,,13770386185,
四季宾馆,,051786880118,
梅欣宾馆,,18915100016,
