姓,名,家庭手机,工作手机
小天鹅宾馆,,04687877007,
鹤岗龙运大酒店,,04686188888,
嘉华快捷宾馆,,04686728111,
鑫阁旅馆,,04683817111,
宝丰宾馆（火车站店）,,04688926000,
鹤聚缘宾馆,,04686177986,
月弯弯时尚快捷宾馆,,04683222333,
喜嘉嘉快捷宾馆,,04683684777,3601118
顺安宾馆,,04688999908,13946716363
富竹快捷宾馆,,18804689957,
优家旅馆,,04686182688,
王府旅馆,,04686105505,
明珠家园快捷宾馆,,04683801567,15945846400
美宜快捷宾馆,,13009976384,
爱之旅宾馆,,13351950257,
新时代快捷宾馆,,04686111257,
海之旅休闲宾馆,,15246846667,
鑫源快捷宾馆,,04683219444,
易龙宾馆,,04683533336,
铁东快捷宾馆,,13613688902,
海红快捷宾馆,,04683420069,
辰源旅店,,18704689399,
鑫乐福快捷宾馆,,04683527345,
宏宇网络旅店,,13766710578,
艺尚宾馆,,15146818708,
宝泉岭-御园快捷宾馆,,04683791557,
同齐快捷宾馆,,04683807867,
金久宾馆,,04683219188,
宝泉岭岭南快捷宾馆,,04683767886,18646833988
百客快捷宾馆,,04686185898,
宇龙宾馆,,04683451888,
海燕快捷宾馆,,15104522219,
鹤鸣春快捷宾馆,,04688937777,
芒果假日宾馆,,04687933333,
金广宾馆（总店）,,04683854777,
鑫宝源快捷宾馆,,04686078999,3779079
百盛时尚宾馆,,04683684444,
喜家浓宾馆,,04686669989,6789989
广亿宾馆（二分店）,,04686187799,
苹果快捷宾馆,,04686193777,
佳来宾馆,,04686676666,6693333
鼎盛宾馆,,04686835886,
萝北县凤翔镇格林宾馆,,04686183778,13904884481
广亿宾馆（一分店）,,04686120988,
橙客宾馆,,04683797888,
碧海蓝天商务公寓酒店,,04683815555,
福顺多快捷宾馆,,04683811177,15846699000
聚宝泉快捷宾馆,,13694699818,15146889865
华府商务宾馆,,04683899996,
沿江宾馆,,04687935777,
海派快捷旅馆,,04683531616,
广亿宾馆（六分店）,,04683317111,
亚泰假日快捷宾馆,,04683313388,
锦江春宾馆,,04683577678,
鑫源旅馆,,04683309788,
农机招待所,,04683331456,
鹤岗市工农区君如家快捷宾馆,,04686187887,
昌盛快捷宾馆,,04683818222,
徕阳宾馆,,04687916333,
佳亿鑫宾馆,,04686980666,13796464444
0468精品旅馆,,04686186123,6187123
明珠商务宾馆,,04686822221,
润沙国际饭店（客房部）,,04683127777,
