姓,名,家庭手机,工作手机
河津龙腾宾馆,,03595798500,
客隆宾馆,,15534825007,
美立房时尚主题酒店（四部）,,03598887999,
天汇宾馆,,15835266434,
家惠宾馆,,03595280028,
金江商务宾馆（振兴路店）,,03595038003,5022002
中亚宾馆,,03595162555,13835901912
君悦商务宾馆,,03595036266,
金鑫宾馆（城北村店）,,03595031818,
津翔商务酒店,,15003489563,17703483381
银月宾馆,,03595039339,
金源商务宾馆,,03595280437,5280481
升华宾馆,,03595030758,
美立房时尚主题酒店（一部）,,03596321555,
金洪福宾馆,,03595280088,
新时代宾馆,,13934370133,
中和宾馆,,03595300111,
青苹果酒店,,03598708388,
一米阳光酒店,,03595160333,
湘江酒店,,03598520876,
乐巢公寓,,18635913131,
红福大酒店,,03598892999,15735358310
龙泉商务酒店,,03595312888,5385666
名豪之夜,,03595109111,
金龙宾馆,,03595254928,18003486811
晋禹休闲会馆,,03595178888,
青云宾馆,,03595062199,
7星快捷酒店,,03595105777,5153777
康泰宾馆,,03595039488,5039499
日月星主题酒店,,03598886777,8598778
金凯大酒店,,03596327888,6314333
锦之星酒店,,03595050555,
摩登时尚酒店,,03595353888,
博林酒店,,03595026666,
美立房之梦幻酒店（二部）,,03598885222,
美立房时尚主题酒店（三部）,,03595265222,
E网快捷酒店,,03596311333,
碧水佳园宾馆,,03598883456,
惠源大酒店,,03596310888,
河津天都大酒店,,03598594333,8594111
龙门大厦（客房部）,,03595051888,5051999
广悦宾馆,,03595066988,
富鑫宾馆二部,,03595068155,
华林宾馆,,03595035000,
凤源大酒店,,03595165666,
神舟宾馆,,18835946744,13753923213
晋鑫宾馆,,03595024578,
橘子酒店（汾滨街店）,,03595104766,13994958053
东华宾馆,,03596323222,
宾利商务酒店,,03595295333,
鸿苑宾馆,,03595030258,
开心酒店,,03595068778,
金港龙湾大酒店,,03595281888,5281111
天瑞大酒店（高铁店）,,03598694666,
阳光酒店,,03595375666,
津美·丽景假日酒店,,03595175555,
苏源宾馆,,03595295485,
百度商务宾馆,,03595129111,
同洲宾馆,,03592319222,15835973688
津粮大酒店,,03595037666,
百花园宾馆,,03598885666,
艾诺威国际酒店,,03595062851,5062852
凯元宾馆,,03595066033,
绿苑商务酒店,,03598882008,
汾滨商务酒店,,03595177555,
金地商务宾馆,,03595322777,
嘉年华温泉酒店,,03595059999,
锦江商务酒店（汾滨南街店）,,03595030999,5052999
腾云宾馆,,03595036036,
大唐宾馆,,13233252880,13233251780
恒利宾馆,,03595029001,
紫金宾馆,,03595033327,13835901281
香山宾馆,,18103592136,18935089156
金鼎商务大酒店,,03595128888,
河津宾馆,,03595022822,
馨元宾馆,,03596314678,
金福来宾馆,,15135043428,
宏达利宾馆,,03595104789,
西雅图酒店,,03595177111,5177333
如梦商务宾馆,,03595034888,
礼铭大酒店,,03595061888,5061877
中岗酒店,,03595129222,
昌泰宾馆,,03595061529,13835901281
瑞金盟商务酒店,,03596311888,6311111
金马大酒店,,03595030888,
华艺商务宾馆,,03598882777,
福源酒店,,03599898999,
万佳宾馆,,03595056333,
白天鹅宾馆,,13835878508,
福逸家园老年公寓,,13834969254,
津迎宾馆,,03595062600,
艺华宾馆,,03595068865,
夏都宾馆,,15303594480,
夙雅宾馆,,15235678766,
福兴盛住宿租赁,,13223599190,
大世界商务酒店,,03595291999,
安信宾馆,,03595024498,
交通宾馆,,400833-6699,
荣华宾馆,,13834482246,
福源城酒店,,15383473355,
金源宾馆,,03595030300,
天源宾馆,,03595033883,
凯悦宾馆,,03595053567,
雅洁宾馆,,13008015506,
铝东旅社,,03596322329,
阁雅宾馆,,03595039359,
鑫欣宾馆,,03595122299,
正大宾馆,,18636307258,
康家宾馆,,13653631256,
津荣住宿租赁,,03595061291,
颐悦宾馆,,03598885111,
银帆宾馆,,03595023158,15535935300
福满多宾馆,,13994878511,
汾水宾馆,,15103488552,
高府旅馆,,13593578637,
城南大酒店,,13283594517,
河电宾馆,,03595028678,
现代宾馆,,13613593668,
安然旅馆,,13934395928,
仁爱宾馆,,03595066255,
永泰宾馆,,03595039928,
梦缘宾馆,,13293598328,
安洁宾馆,,13835966044,
大众旅社,,13835877230,
雅阁宾馆,,03595065123,
清河宾馆,,03595039933,
威尼斯酒店,,03595027777,
雅信宾馆,,03595255958,
云发招待所,,13934884263,
艺德宾馆,,13467291092,13233235600
耿茂宾馆,,03595038009,
晋铝宾馆,,03595042414,
锦花宾馆,,18735664832,
天府宾馆,,15935956188,
朝霞招待所,,13038040599,
枫林快捷连锁酒店,,03595258777,
鑫源盛宾馆,,03595021558,
逸园宾馆,,03595036680,
汇丰宾馆,,18235907262,
天福招待所,,15835930170,
耿鑫宾馆,,03595522918,13753922431
栗鑫宾馆,,03595031358,
莲池宾馆,,03595032922,
洁美宾馆,,13834704338,
王府宾馆,,13623591647,
聚馨宾馆,,03595038001,
实惠招待所,,13835994829,
佳迎旅馆,,03595025438,
逸家宾馆,,03595280070,
丽源宾馆,,03595033883,
祥云宾馆,,03595034881,
康乐招待所,,13994894283,
清雅宾馆,,15635987345,
