姓,名,家庭手机,工作手机
尚一特连锁酒店（黄石交通路店）,,07146553999,6553888
美缘春宾馆,,13995976848,
金马宾馆,,15586568997,
黄石青苹果宾馆（大智路店）,,07146458588,6466388
维娜斯情侣酒店,,07146288520,
金世纪大酒店,,07146321088,
星月小宾馆,,07148896308,
布丁酒店（黄石大道店）,,07146339666,
铜都宾馆,,07148638640,
东楚宾馆,,07146522998,
洽商宾馆,,07148636380,18272167174
花语公寓,,07143265354,
金山宾馆（枣子山路店）,,07146333167,
智华商务宾馆,,07146324816,
古商城宾馆,,15671774107,
才子旅馆,,07143091588,
盛鑫酒店式公寓,,13972977506,
诺亚方舟商务宾馆,,07148875916,
梦豪时尚酒店,,07146506266,18934665130
五峰招待所,,07143091566,
康乐宾馆,,07148636599,
美达宾馆,,07148773299,8636605
天天商务宾馆,,07143261919,
幸福时尚公寓,,07148737604,
荟萃宾馆,,07143816951,
新临江宾馆,,18062287275,
向阳花宾馆,,07148739942,
红日宾馆（黄狮海路店）,,07148715550,
金年丰商务宾馆,,07146507117,
云雅宾馆（交通路店）,,07146256780,
长江宾馆（黄狮海路店）,,07148864678,
万德宾馆,,13092781778,18062923258
桂花宾馆,,07146528588,18171645199
长江饭店,,07146320088,
荣华宾馆（颐阳路店）,,07146213628,
兴焱商务宾馆,,07146508799,
爱良宾馆,,07146215761,
江城宾馆,,07143709998,
蓝波湾时尚宾馆,,07148760805,
阳光大酒店,,07147545888,
福特大酒店,,18086316508,
中金宾馆,,07148711555,
罗马假日宾馆,,17707148488,18696288686
一家人旅社,,13098398068,
佳乐福商务宾馆,,07143267117,
鑫悦宾馆,,15997112245,13307237467
锦福宾馆,,07146535839,
宏轩宾馆,,07148771622,
艳阳湾宾馆,,07148868008,
嘉兴宾馆,,07112384565,
陋是明宾馆,,07148413884,
小雅居宾馆,,07148716655,18062922389
美枫宾馆（东风路店）,,07148639595,
新馨商务宾馆,,07146482777,
香格里拉宾馆（新华路店）,,07148723156,
北门宾馆,,07148718186,
鸿盛大酒店,,07147338472,
宇豪宾馆,,18871419865,
金红旗宾馆,,07146255060,
青龙宾馆,,07143091666,
阳光宾馆,,07146502678,13872115094
鑫隆商务会所,,07147810086,
龙门客栈,,18772340168,
金虹宾馆,,07148634929,8635296
加州阳光便捷酒店,,07143069666,
馨和宾馆（京华路店）,,07146258558,
月亮湾商务宾馆（荟萃路店）,,07148863168,
巨象宾馆,,07143068111,
美馨宾馆,,07143281618,
温馨商务宾馆,,07112380899,15072061944
银湾宾馆（湛月路店）,,07148738785,18772288821
长城大酒店,,07147314287,
馨园宾馆,,07148415986,
久阳宾馆,,07143091999,
江洋人家宾馆,,07145379987,
源林宾馆,,07146358181,
阳光花园宾馆,,07146379996,
尚客优快捷酒店（黄石团城山苏州路店）,,07143091118,
鑫锐宾馆,,07146517369,
凯迪商务宾馆,,07146405599,
兴泰宾馆,,07148865950,
有间家园,,07146354588,13545568510
金凯瑞宾馆（下叶小区店）,,07148737786,
树福家宾馆,,07148996650,
8+1商务宾馆,,07146236661,
青山湖宾馆,,07146509988,
家园宾馆（交通路店）,,07146207777,
优9宾馆,,07146339999,
红鑫金水湾宾馆,,07143040999,15897763777
宏都宾馆,,07143076016,
家乐美汽车旅馆,,07147325379,18972777176
鑫鼎商务宾馆,,07147531777,15072061518
鑫发商务宾馆,,07148638858,
逸君假日宾馆,,07147347888,
天福商务宾馆,,07147758466,
江汉宾馆,,07147316600,
佳艺商务宾馆,,07148731234,
如佳商务宾馆,,07147324606,
焕新宾馆,,07145328888,
鸿瑞宾馆（芜湖路店）,,07146284388,
怡家之旅宾馆（广场路店）,,07146265551,
海怡宾馆（大冶店）,,07148712172,
威士登宾馆,,07146536868,
文苑商务宾馆,,07147316887,
时尚宾馆,,07146310899,18672021310
泰盛公寓,,07146410999,18907238848
金朋商务宾馆,,07148726768,
精途酒店（杭州西路店）,,07146383688,
新佳饭店,,07146320698,
金铁城酒店,,07145430088,
永利宾馆,,07143185973,
金色港湾宾馆,,07145319909,
松柏利宾馆,,07143801212,
青年时尚宾馆,,07143056588,
梦天鹅宾馆,,07146487777,
紫金商务宾馆,,07148769888,
日月花园大酒店,,07147832999,
秀情商务宾馆,,07145316388,
东楚印象宾馆,,07146558999,17707149066
温馨港湾,,07148726616,
宏铭轩商务宾馆,,07148863266,
金砖公馆,,07146361555,
77时尚宾馆,,07147395777,
青苹果宾馆,,07146313818,13995981839
春天商务宾馆,,07143809090,13597700648
沃尔顿商务宾馆,,07146386888,
本色艺术宾馆,,07146558558,6558555
宜家宾馆,,07147335979,13085205128
群悦商务酒店,,07148608819,
中凯宾馆,,07147585888,
日月大酒店（陵园大道店）,,07147832888,
爱你宝贝主题宾馆,,07143501998,15572941388
红星SOHO公寓,,07148667999,
大冶市鑫格林商务宾馆,,07148897766,
紫光阁宾馆,,07148862709,
速8酒店（黄石汇龙店）,,07146233939,
万有商务酒店,,07147599000,7343339
唯伊情侣宾馆,,07143705520,
锦湖商务酒店,,07146375666,6375556
宏维宾馆,,07146355958,
比奇时尚宾馆,,07148763222,
薇阁浪漫酒店,,07146511314,18607234000
黄石饭店,,07146267781,
金莎宾馆,,07148863333,8843666
石榴园宾馆,,07146392222,
正兴宾馆,,07147677999,
艳阳天时尚旅店（黄石店）,,07143293088,
7天阳光酒店,,07147765777,
爱尔兰城堡公寓,,07148761777,13972769433
唯Ta浪漫酒店,,07146500520,
名仕经典主题宾馆,,07148865533,
磁湖宾馆,,07146530117,
拾光旅馆,,07146266862,18607122750
桔子公寓,,07146260333,
时代阳光宾馆,,07146388388,
佶迦宾馆,,07146206666,13995966825
颐阳旅馆,,07143165018,13597659966
温馨家园公寓,,15826967553,
爱情公寓,,07146226520,3828520
赣商商务酒店（原银马假日酒店）,,07146281111,
正圆大酒店,,07146298313,
馨和宾馆（十五冶店）,,07146225577,
情缘公寓,,07146210908,13972780139
新概念时尚酒店,,07146389788,
龙苑商务宾馆,,07146320889,
多瑙河大酒店,,07143800999,
V8汽车主题酒店,,07146203799,
爱邦酒店,,07145215888,
康鑫美家公寓,,13886460605,
万达酒店公寓,,15807231853,
鑫汇园宾馆,,07146328666,
立交桥宾馆,,07147332366,15072071162
安居易快捷酒店,,07147713666,
大上海酒店公寓,,13581287585,
鸿福旅馆,,07147321566,
君悦大酒店,,07147681998,
富兴旅馆,,07147530293,
宏发宾馆,,07147657899,
英皇会所,,07148873666,
华芳农家乐宾馆,,13872139789,
好运来旅店,,15272054710,
富海旅社,,07143186346,
大本营商务宾馆,,07147322168,
亦菲艺术酒店,,07147336006,
尚都酒店式公寓,,18971765111,
阳新县兴国镇美如家快捷酒店,,07147355190,7597226
宏瑞宾馆,,07146515569,
蜂鸟快捷酒店（团城山店）,,07146351338,
天健宾馆,,07145329123,
诚信宾馆,,13886492796,
仙岛湖湖畔宾馆,,07147686678,
金花大酒店（花湖店）,,07146516333,
君悦旅馆,,15586538808,
一品红时尚宾馆,,13657145136,
青年旅舍,,07148737642,
平价公寓租住,,07146260159,15391656117
鱼香阁农家乐,,13872130278,
