姓,名,家庭手机,工作手机
友家客栈,,09134365363,
鸿祥农味山莊（客房部）,,13759621726,13759691540
聚缘宾馆,,09134623083,
米兰宾馆,,09134628612,
华山农家客栈,,13572703594,
丽鑫庄园,,13892320308,13759881608
长虹大酒店,,13992305008,
鑫恒客栈,,09134612827,
怡馨宾馆,,18291347117,
金色年华酒店,,09134365888,
安心旅馆,,13892322350,15991390981
好来屋大酒店,,13772712996,
丰润宾馆,,18691965866,
祥宁宾馆,,09134612263,18991546319
懋源宾馆,,09134615820,18958703322
华岳快捷酒店,,09134368555,
华山晴玺客栈,,13992317001,
华山天驰宾馆,,09134626388,
速8酒店（华山风景区四十米大道店）（原华阴华岳路店）,,09138379888,
华麓苑大酒店,,09132489789,2489788
华山天缘宾馆（岳庙十字路口店）,,09134613973,18991693973
利兴宾馆（华阴店）,,09134621629,13991675063
睿岳宾馆,,09134362848,
华山怡惠客栈,,09134362957,
华山朋来客栈,,09134365017,
鸿运客栈,,09134362076,13892354796
孔雀宾馆,,13909139090,
华山青华旅社,,18591311882,18191490290
大凯宾馆,,18291301333,
日月兴客栈,,15336120069,
华山秦风客栈,,09134366334,18165042772
秦岳宾馆,,09134360861,13571508973
华山云来酒店,,09134385555,13720741266
盛源客栈,,13572398032,18691359922
华山好客山庄,,13649137775,
胜利大酒店,,13892381218,
聚源宾馆（广润超市店）,,09134363459,18729832150
迎泽宾馆（九龙医院店）,,13379433362,
家之星宾馆,,09134616668,
一枝春酒店,,09134364666,
时光客栈,,09134366518,
四通宾馆,,09134363016,13991693942
珍珠宾馆,,09134622588,
云台客栈,,09134368181,15336135355
豪庆客栈,,09134363766,
华山好客宾馆,,09138379008,4613770
华山168商务宾馆,,09134355056,
祥顺客栈,,09134362436,13991548887
康盛商务宾馆,,09138373366,
世纪明珠假日酒店,,09134369898,4369800
华山银河酒店（宝莲灯售票亭店）,,09138379678,
7天连锁酒店（华阴华山景区店）,,09134651666,4657776
梦想客栈,,09134362697,
东来客栈,,09134612853,
华山隆星商务酒店,,09134628686,
浩莀宾馆,,09134627500,15389631598
比家宜快捷酒店,,09134658000,18792357591
海翔商务酒店（华山御温泉店）,,09134417778,13571321156
云水堂酒店,,09134362126,
华山雲都商务酒店,,09134655599,
华山源远宾馆,,09134611119,18909131333
华山紫苑酒店,,09134658558,4658686
鹏岳宾馆（华山店）,,15353804564,13891362868
倦鸟主题酒店,,09134655666,
同福客栈,,15929845875,
华驿国际青年旅舍,,09134360385,
农家山莊,,18791392882,
华山金雅居客栈,,13571339511,
顺天客栈,,15029954283,18609130085
裕华宾馆,,13891352507,13572306744
华山驿loft青年旅舍,,09134368998,15991728915
星墅驿站,,09134333351,18091680314
达盛客栈,,18991696590,
聚贤客栈,,09134366200,15332240336
华山村客栈,,09134360953,13629131780
华山知乐青年旅舍,,09134363689,18666577208
华桥宾馆,,13325448228,
渭南市华山景区郝堡如家驿栈,,18191928598,
九方客栈,,15349135616,13892359243
华山国际青年旅舍（华阴玉泉路店）,,09134363361,15829155240
顺诚旅舍（旅迹民宿巷华山店）,,18191543820,15709234632
舒雅驿站,,09134366303,
华宾青年客栈,,09134360638,
华山揽岳青旅,,09134360523,18191803900
华山祥瑞山庄,,09134369006,
欣玥客栈,,13891387358,
华山九州宾馆,,09134363573,13891357896
戈辉宾馆,,09134363361,15829155240
汉庭（华阴华山景区店）,,09134687888-0,
旅途小歇客栈,,09134368111,
华山宝莲居国际青年旅舍,,09134365678,18691331981
华山户外主题酒店,,09133020599,
华舒客栈,,15332230556,
乐游客栈,,09134366682,13891391832
龙柏客栈,,09134366688,18691963865
云台山庄,,09134365187,
华山风光客栈,,15336131866,13720671289
邮电宾馆,,18609139135,
华山万源客栈,,13399139630,
欣悦宾馆,,09134412222,15397097053
顺心驿栈,,15009233066,
鸿禧宾馆,,09134629985,
华山玉泉宾馆,,09134367080,
华山景苑酒店,,09134368688,4368666
