姓,名,家庭手机,工作手机
维多利亚酒店,,06687291666,
52连锁酒店,,06687295252,
柏拉图时尚酒店,,06687280333,
站前宾馆,,06687888666,7383108
汇嘉大酒店,,06687888889,7888377
嘉华宾馆,,06687510299,13434284188
瑞京酒店,,06687888833,
河畔酒店,,06687921988,
平定酒店,,06687532888,7532333
丽登酒店,,06687233333,7211288
君福宾馆,,06687920777,
好运来旅馆,,06687353892,
乐的主题酒店,,06687888188,
沿江商务酒店,,06687756999,17322837519
精途酒店连锁,,06687566188,
湖艳湾连锁酒店（上街店）,,06687918888,
华丽商务酒店,,06687720888,7728888
蓝月湾假日酒店,,06687990333,
维也纳国际酒店（化州北京东路店）,,06687866666,
湖艳湾酒店,,06687912222,7933288
铭丰假日酒店,,06687282222,7336699
铭海酒店,,06687336888,
燕岭绿湖湾酒店,,06687301666,
中悦宾馆,,06687753099,
旺钻酒店,,06687213888,
化州美利路时尚酒店,,06687308666,
志威宾馆,,06687366998,
天雅商务酒店,,06687383333,7338008
明都商务酒店,,06687286666,7286668
深圳湾宾馆,,06687292888,
南津湾大酒店,,06687382666,7332666
橘恒商务酒店,,06687323333,
濠庭商务酒店,,06687933333,
三和商务宾馆,,06687766333,
濠景酒店,,06687273333,
宝威商务国际酒店,,06687926188,
骏海商务酒店,,06687271888,
星河国际假日酒店,,06687333333,7333399
121商务酒店,,06687751121,
和美商务酒店,,06687920333,
堡来登时尚酒店,,06687933777,
飞龙大酒店,,06687936888,
弥敦商务酒店,,06687226666,7211088
富和达宾馆,,06687282677,
裕富宾馆,,06687295111,
广源商务酒店,,06687920888,
河山酒店,,06687351278,7235592
贵族休闲酒店,,06687378333,
凯丽宾馆,,06687287038,
日月住宿,,18127703325,
英利商务酒店（上街路店）,,06687296668,
宏华龙酒店,,06687222222,
帝苑大酒店,,06687299999,
海利国际会议酒店,,06687211821,7211888
聚源客栈,,06687358358,400833-6699
洲禧大酒店,,06687932999,7932222
星期天商务酒店,,06687286888,
银海大酒店,,06687283388,
化州天和宾馆,,06687998388,
飞马宾馆,,06687221922,
超力宾馆,,06687298333,
化州市新世纪酒店,,06687364111,
乾堃大酒店,,06687368888,
中垌长凤阁酒店,,06687758999,
银桥旅社,,06687531165,
上佳酒店,,06687295999,
桃李园客栈,,06687211111,
翠苑宾馆,,06687221909,
华苑宾馆,,06687935222,400833-6699
浩妃商务酒店,,06687921333,
河东大酒店,,18926719582,
站前旅业,,06687388188,
茂名金莎湾酒店,,06687755555,
桔龙商务酒店汽车站店,,06687936666,
金汇酒店,,06687528333,
名豪宾馆,,06687361234,
合江江边租房,,06687510292,
明聪酒店,,06687888222,
名仕阁酒店,,06687370288,
中垌金沙湾酒店,,06687755555,
平定凤凰宾馆（平定店）,,06687538688,
又一居快捷连锁酒店,,06687291077,
合江好又来旅馆,,06687512668,
豪杰商务酒店,,06687213333,
金满楼酒店,,06687233788,
南方旅業,,06687360058,
合江汇景酒店,,06687583333,
铁道宾馆,,06687355088,
沿江宾馆,,06687293999,
橘宝宾馆,,06687288888,
辉洪宾馆,,13432987975,
下郭宾馆,,06687398120,
海龙阁酒店（北岸分店）,,06687322736,
南华旅馆,,06687224342,
那务宾馆,,06687572868,
国泰酒店,,06687539898,
国会酒店,,06687218888,
迎宾楼旅业,,06687229380,
桥头客栈,,06687510830,
迎宾馆,,06687572238,
庆丰酒店,,06687920999,
平定中泰宾馆,,06687533222,
时尚公寓,,06687290793,
桃苑宾馆（上街路店）,,06687386888,7907888
平定华强酒店（平定店）,,13653047555,
笪桥青年住宿,,06687680978,
官桥黄小花租房,,06687999648,
华橘宾馆,,06687231058,
九六正宗传统鸡饭店,,06687292179,
东方旅社,,06687388831,
永平楼住宿,,06687736333,
民乐旅业,,06687298326,
百度商务连锁酒店,,06687996688,
明珠大酒店,,06687388873,
贵宾楼旅业,,06687532338,
茂名化州桔龙商务酒店,,06687936668,
九叔大酒店,,06687790379,
粤东宾馆,,06687388038,
