姓,名,家庭手机,工作手机
爱琴海主题宾馆,,051587116069,
唐阁宾馆,,13770225696,
世纪园宾馆,,18361652366,
建湖县明珠汉庭假日宾馆,,051569908666,
建湖县湖中路汉庭假日宾馆,,051569908888,
月泉宾馆,,051586221590,
万杰宾馆,,051586233939,
快捷宾馆,,18071659833,
都市假日宾馆,,18962049895,
天余快捷宾馆,,18014107000,15151066102
万金快捷宾馆,,18912539617,17798798196
城市之星旅馆,,051586235777,
维泰宾馆,,051586296286,15901823754
万嘉宾馆,,18914600821,15161904668
浪漫情怀主题酒店,,051561665688,
本色主题酒店,,051586562222,
万豪快捷宾馆,,051586573666,15365790833
梦之恋主题宾馆,,051586595999,
半岛风情时尚酒店,,051586232266,
银河之星商务酒店,,051580689999,
德容商务宾馆,,051586070555,80669099
海聚商务宾馆,,051561665166,15751121165
香格里拉宾馆,,13770208808,
爱尚佳连锁酒店,,051587083988,
北戴河宾馆,,051586286989,
阳光海泰大酒店（二店）,,051586397888,
非常印象时尚宾馆,,051580683333,
观湖酒店,,051580662223,13851168930
九龙宾馆,,051586558513,13770206937
新天缘宾馆,,17798780901,15358233319
兴旺宾馆,,15298578577,
供销宾馆,,051580616333,13961900700
明珠假日酒店,,051587158888,
顺天宾馆,,13605106508,
黄金海岸宾馆,,051586116288,
君豪宾馆（业达花园店）,,051586163393,
润湖之星假日宾馆,,051580668666,
枫林晚宾馆,,051580629988,
建湖县汉庭假日宾馆,,051580698888,
鑫都宾馆,,051586233286,
丰收宾馆,,051580607586,
新港湾宾馆,,051586226622,13390718808
建湖县格林豪泰商务宾馆,,051586075777,
四方和宾馆,,051569111888,
锦江之星（盐城建湖冠华中路店）,,051566689888,
7天连锁酒店（建湖京城国际店）,,051587088777,13770213688
格林豪泰商务酒店（盐城建湖汇文东路哥伦布广场店）,,051586129999,
金鹰商务宾馆,,051580688068,
兴烨宾馆,,15051329399,
尚客优快捷酒店（盐城建湖冠华路店）,,051580682666,
汉庭（盐城建湖店）,,051580629999,
凤鸣苑宾馆,,051586581666,
禧璟源精品宾馆,,051586592222,
格林豪泰酒店（建湖欧堡利亚店）,,051586165555,13770207272
鼎际宾馆,,051586275888,
华城宾馆,,051586228308,18961900036
清沁商务宾馆,,051580693116,18012530292
华泰精品商务酒店（明珠路店）,,051580690000,
八间半城市旅店,,051580661688,13916656605
天虹宾馆,,051586153556,
海蓝天宾馆,,051586323333,13814354899
港湾之星生态主题酒店,,051586599777,
如家派柏·云酒店（建湖汽车客运站店）,,051586225188,
向阳国际渔港酒店,,051586235555,69908558
明星城大酒店（客房部）,,051568786666,
盐城御锦国际酒店,,051580688888,
九龙锦江国际大酒店,,051580666666,
7天连锁酒店（盐城建湖秀夫南路店）（原7天阳光）,,051580699888,86258777
鑫杰宾馆,,051586227392,
辰龙快捷宾馆,,051580695988,
新晨宾馆,,051586260003,
汇缘宾馆,,051586273319,
莫泰精品快捷宾馆,,051580660000,
皇廷国际酒店,,051580610888,
上冈国际大酒店,,051580622137,
万豪商务宾馆,,051586551888,
骏业大酒店,,051586277977,
润圆宾馆,,051580666633-0,
兆昌宾馆,,13851169268,
百姓旅馆,,13770219914,
如鑫家假日酒店,,051587111999,
鑫豪假日宾馆,,051586279933,
锦冠商务宾馆,,051580696789,
国苑宾馆,,051586321888,13805108898
西城宾馆（向阳西路店）,,051586078288,
华瑞快捷宾馆,,051561663066,
格林豪泰快捷酒店（易家乐生活广场店）,,051586115998,
金沙湾精品酒店,,051586550888,
品韵商务宾馆,,051580685777,
如家快捷酒店（盐城建湖向阳路店）,,051569900333,
广源旅馆,,051587080117,
A家连锁酒店,,051586113333,
吉华宾馆,,15950343388,
建湖县七天商务宾馆,,051580616888,
东都商务宾馆,,051580603999,
派·酒店（冠华东路店）（原迎宾馆）,,051580600601,86155088
吉利宾馆,,051580602658,15895153598
汇豪假日酒店（上冈店）,,051586448888,13962024888
繁荣浴室,,15962026619,
润嘉大酒店,,051586116666,86112277
世纪鑫城沐浴中心,,13851163272,
建悦招待所,,051586076306,
皇嘉宾馆,,051586221208,13912537976
梦都宾馆,,051580627758,
坤宇宾馆,,051586161268,
九龙雨宾馆,,051586163399,18961901016
建湖宾馆（湖中路店）,,051586214488,
华馨宾馆,,051580616161,
至尊主题宾馆,,051587086688,
皇家名流休闲沐浴（客房部）,,051586294888,
江苏永林国际酒店,,051586157888,86157999
泽园旅馆,,051586078206,
登达大酒店,,051586218188,
富贵宾馆,,18361188329,
同鑫宾馆,,051586281556,
海洋商务酒店,,051586444333,
布拉格主题宾馆,,051586366888,
风云城市宾馆,,051586238555,13912533135
金海湾宾馆,,15151068215,
艾舍时尚主题旅馆,,051586535555,
逸品商务酒店,,051586585555,
京都宾馆,,051586270888,
九龙阁,,051580609999,
春雨大酒店,,051580611298,
城市假日酒店,,051580610888,
蒋营镇九龙招待所,,13056133518,
冠华苑大酒店,,051586158768,86275188
东云阁大酒店,,051586159766,
帝嘉宾馆,,051580615333,
振兴招待所,,051586273859,400833-6699
日新旅馆,,051586153988,
天然居大酒店,,051586461777,
广源招待所,,051586318111,
金林招待所,,051586261585,
中兴大酒店,,051586216666,
金旺达旅馆,,051586115498,
近湖镇恒鑫招待所,,051586278338,
兴发酒店,,051586168819,
大山宾馆,,051586415709,
银都宾馆,,051561662268,
润晔宾馆,,051580608555,
今典宾馆,,051586269333,
湖中旅社,,051586276585,
中意招待所,,051586278966,
