姓,名,家庭手机,工作手机
红钟旅馆,,13258777899,
天成网络旅馆,,13844537155,13331461958
七彩天和宾馆,,04356680777,
宜家宾馆,,15043597202,
军华旅店,,04356212586,
客运招待所（胜利路店）,,04356259996,13732851234
舒泰宾馆,,04356520999,
交通时尚宾馆,,13766193331,
温馨快捷宾馆,,13844549678,
国东酒店,,04355074444,
佳丽宾馆,,04356222600,
一丁主题宾馆,,04356737999,
一丁大酒店,,04356263333,
雅馨日租房,,13943542013,17099615551
如家快捷酒店（集安鸭江路店）,,04356145555,
麗枫酒店（集安文化路店）,,04356687666,
甜蜜日租房,,13943542611,
锦江宾馆,,04356221212,
富霖宾馆,,04356734567,
和家宾馆,,04356760888,
豆谷离宫大酒店,,04356238988,
紫都苑宾馆,,04356605888,
馨雅旅馆,,04356315868,13644356085
雅和宾馆（原豪江大酒店）,,04356233800,
八零九零唯爱宾馆,,04356753333,
天予宾馆,,04356312688,
五女峰天成宾馆,,15143528701,
羊鱼石假日宾馆,,04356255777,13644455678
春依侬时尚宾馆,,04356670666,
春竹旅店,,04356222676,
小江南客栈,,04356671888,
壹号别墅酒店,,04356664444,
瑀飞日租房,,13943542013,
8090主题宾馆,,15944540041,
新惠东宾馆,,18543500816,18743598578
嘉年华宾馆,,04356665888,
川江公寓,,13943543898,
星月时尚宾馆,,04356687777,
小江南客栈（二部）,,04356367777,
湘楠旅馆,,04356689588,
益馨快捷宾馆,,13944532669,
集安市路明宾馆（通化）,,04356221293,
一丁宾馆（二部）,,15584831811,
正兴宾馆（胜利路店）,,04356727888,
红焱宾馆,,04356180048,13019195533
凉水泉朝鲜族民俗度假村,,15567870718,
阳光旅店,,04356687900,
鸿韵时尚宾馆,,18743508778,15044598883
一丁宾馆（一部）,,04356683366,15500372322
香港城假日大酒店,,04356655888,
新罗时尚宾馆,,04356208999,
永乐园旅馆,,04356749123,
乾园时尚宾馆,,04356238888,
青年假日旅馆（通化）,,04356745518,
樱花旅馆,,04356668866,
滨江客房,,04356688260,
舒馨宾馆,,04356687766,
帝豪宾馆,,04356235555,
天霖宾馆,,04356699888,
小馨公寓,,15143520447,
经开商务中心,,04356325886,
中吉商务宾馆,,04356238889,13040358808
广福旅馆,,13159738280,
浑江岸度假村,,15704351648,
好望角足疗保健会馆（客运站店）（客房部）,,04356689555,18043518568
集安华阳旅馆,,15944547725,
福寿得酒店,,04356216569,
洋洋旅馆,,15584830028,
四季春旅店,,04356686663,
金帝旅馆,,04356188288,
阿里郎宾馆,,04356263777,
集安楼市日租体验馆,,13694351799,
新世纪酒店,,04356666566,
玉澜泉洗浴汗蒸会馆（客房部）,,04356518666,
雅悦公寓,,17744403253,
蓬莱仙旅馆,,04356688114,
嚎歌旅馆,,04356667771,
宽源旅店,,04356736407,
成祥旅店,,04356228728,
海天网络旅馆,,04356529988,
程祥乡村客栈,,13029199918,
好运来旅馆,,04356228862,
清河宾馆,,04356612559,
海关宾馆,,04356236888,
蓝梦度假村,,04356360942,
百合旅馆,,04356220039,
馨鸿旅馆,,04356688773,
启洋旅馆,,04356218803,
华翔网络休闲旅馆,,04356203378,
联通时尚宾馆（通化）,,04356655555,
宝利源旅店,,04356227988,
祥和商务宾馆,,04356666199,
宏光旅店,,04356600777,
家馨网络旅馆,,04356688866,
鸿源旅店,,04356743456,
正通度假村,,04356512916,
全友时尚宾馆,,13943542660,
莲营时尚宾馆,,04356617788,
欣和旅馆,,04356688282,400833-6699
浩月山庄,,04356521688,
云电山庄,,04356237888,
林海山庄,,04356671888,
永年度假村,,04356317697,
永和旅馆,,04356213887,
双福旅店,,04356216668,
天水山庄,,04356625007,
吉祥时尚旅馆,,15043598610,
万合旅店,,15526622780,
福源旅店,,15943562038,
巍盛度假村,,04356365741,
梦欢旅馆,,15643569904,
家庭日租房（通化）,,15584830399,
浩艳旅馆,,04356221686,
洋洋旅馆,,15584830028,
佳来旅店,,18643571785,
金田旅店,,04356222163,
朝族宾馆,,04355072299,
广厦宾馆,,04356665666,
康嘉旅馆,,04356218855,
老五度假村,,04356325857,
假日旅馆,,04356262777,
翠园宾馆,,04356222123,
绿江源休闲垂钓度假区,,400833-6699,
云月商务宾馆,,04356678999,
圣贤山庄,,04356361234,
