姓,名,家庭手机,工作手机
小城宾馆,,052384541560,
锦秀山庄,,052384594488,
小时光宾馆,,052384823889-0,13615184480
鹏程宾馆,,13625186517,18961026682
省好多宾馆,,052384826619,
知音梦酒店,,052389116868,
联华宾馆,,052381161610,
蓝兰旅馆,,052384522606,15152663683
水月清华新概念店（精品店）,,052382618882,
靖欣商务宾馆,,052384960999,13062981639
新世界快捷酒店,,052384863348,
长乐宾馆（胜利街店）,,052384829185,
三林宾馆,,052384987788,
永泰快捷宾馆（兴业路店）,,052384805229,
新物资宾馆,,052384936222,
八方宾馆,,052384853565,
王中王宾馆,,052384805816,
双联大酒店,,052384209897,
百川艺术宾馆,,052384851228,
海洋之星宾馆,,052384952336,
金秋快捷宾馆,,052384807166,15371569690
车友宾馆,,052384538388,
星期六会所快捷宾馆,,052388900888,
五一宾馆,,13775714651,
尚客优连锁酒店（泰州靖江汽车站店）,,052384522688,
润晖精品酒店,,052389581888,13921732866
速8酒店（靖江江平路店）,,052381166666,
荣华宾馆,,052384813189,
靖冶商务酒店（人民中路店）,,052384862866,84862966
九九宾馆,,052381155277,
客家007旅店,,052384980007,
速8酒店（靖江长途汽车站店）,,052384950700,
凯悦大酒店,,052388971188,88971199
美洋洋酒店,,052389189777,
好梦园宾馆,,052384952999,
百岁宾馆,,052389157770,
科逸连锁酒店（南环路店）,,052382616222,
鑫润会所,,052380717777,
都市花圆酒店（人民南路店）,,052384623118,
格林豪泰商务酒店（靖江人民南路中圩路店）,,052384969777,
IU酒店（泰州靖江长途客运站店）,,052381150777,
水月清华宾馆（靖江店）,,052382615900,
靖江宾馆,,052384806200,
99皇冠连锁酒店（靖江大润发店）,,052381163456,
靖江恒德利精品酒店,,052381169333,
科逸连锁酒店（斜桥店）,,052384218288,
莱克伯瓷酒店,,052381167777,84129623
科逸精品酒店（新江海店）,,052382261022,81157222
东莲源宾馆,,052384854666,
九天旅馆,,052384236178,
如家快捷酒店（靖江人民路国贸中心店）,,052381150081-9,
华电盛世大酒店,,052380239788,
田园宾馆,,052384268018,
中心大酒店,,052384208779,
新开源宾馆,,052384908079,
城市之星宾馆,,15305260888,
红树林宾馆,,052389153088,
靖江国际大酒店,,052384806888,
富海精品酒店,,17768612610,
7天优品酒店（靖江富海新世界汽车总站店）,,052389195877,
科逸精品酒店（渔婆路店）,,052384122999,
靖江橙子酒店,,052381160696,
名人时尚酒店,,15861031052,
白金汉宫商务会所,,052380716666,
水中源宾馆,,052384887888,
骥川宾馆,,052384811068,
锦江之星（汽车总站店）,,052380685888,
科逸连锁酒店（康惠园店）,,052380501588,
格林豪泰商务酒店（泰州靖江中洲路阳光国际店）,,052384987998,
福乐旅馆,,052384808977,
福佑快捷宾馆,,052384990333,
靖江金悦国际酒店,,052380298888,
天骄宾馆（工农路店）,,052384866078,
明媚旅馆,,052384322227,
格林豪泰商务酒店（靖江江平路上海城店）,,052389186666,
汉庭（靖江人民路步行街店）,,052384068088-0,
华联宾馆,,052388906888,
格林豪泰快捷酒店（靖江汽车站店）,,052389197998,
金香缘宾馆,,13337797797,
靖江宏图大酒店,,052384216777,
中海宾馆,,052381158222,13806166008
梦城宾馆,,052381155559,
佳乐迪宾馆,,052384239398,
靖江新欣客栈,,052384988809,18052621606
靖江鸿运酒楼,,052380231888,
凯忆宾馆,,052384860668,
亿都商务宾馆,,052384222777,
江苏大桥酒店,,052389197777,
友邦宾馆,,052381157888,
宏昇旅馆,,052384635588,
美好时光宾馆,,052384911444,
靖盐宾馆,,052384896859,
御品堂,,052389169999,
都市之星宾馆,,052382951580,848348118888
金石宾馆,,052384987222,
白云宾馆,,18052620631,
天禧宾馆,,052382611199,
海友酒店（靖江泰和国际城店）,,052384862000,
科逸连锁酒店（时代广场店）,,052382266222,
靖江迎客松大酒店,,052380718599,
北辰商务宾馆,,052381158366,
宜家宾馆,,052384830076,13812390800
八八辛酒店,,052389150688,
亿豪休闲会所,,052384602222,
俪都宾馆,,052384989818,
海天浴室宾馆,,052384866866,
步步高宾馆,,052384250108,
友淇宾馆,,052388978877,15951143167
浅水湾大酒店,,052384098888,
英伦时光假日宾馆,,052384999777,
丰禾酒店,,052382852788,
新亚旅社,,13775713438,
520商务宾馆,,052389116799,
开悦宾馆,,052384908909,13016711003
滨江花园酒店,,052380238888,
芭堤雅风情酒店,,052380717999,80717777
假日之星旅馆,,052384989900,15370709606
美丽都宾馆,,052384805205,84808121
668旅店,,052388978668,84917668
靖江扬子江大酒店,,052384808888,84808128
平静宾馆,,052384811111,
中意宾馆,,052384635068,
靖江百川宾馆（南店）,,052384805051,
胜利宾馆,,052389108310,
南园宾馆,,052384987111,84832011
艺海国际商务会馆,,052380705555,
星河宾馆（西环北路店）,,052384896588,
斜桥宾馆,,15305260018,
清竹宾馆,,052384836779,
君福园宾馆,,052384866883,
兴明国际大酒店,,052384318888,
一品鲜酒店,,052384635171,
宏达宾馆（靖江市太和医院南）,,052384331579,
新区餐厅,,052384861435,
江山宾馆,,052384831057,
双源宾馆,,052384812551,
悦盛宾馆,,052384543111,
陸陸捌酒店,,052384588777,
龙鑫宾馆,,052384228339,
创业宾馆,,052382056129,
金尊国际大酒店,,052381167979,
心连心酒店,,052384824888,
美萤旅馆,,052384837620,
汇虹宾馆,,052389115555,
利达宾馆,,052384908688,
江源宾馆,,15052310169,
佳友宾馆,,052384853599,
春意宾馆,,052384862892,
诚信大酒店,,052384580132,
建国旅馆,,15052906268,
雅居旅馆,,052385177795,
亚细亚宾馆,,052384505008,
锋锋旅馆,,052384829678,
君源酒店,,052384238779,
江美商务宾馆,,052380707111,
朝阳旅社,,13515165326,
日日红宾馆,,052384230899,
靖联宾馆,,052384879178,
天宏大酒店,,052384967777,
鑫隆旅社,,052384215205,
喜乐园大酒店,,052386032887,
恒源宾馆,,052389167899,
紫气东来大酒店,,052384217799,
红旗旅馆,,052384506116,
江缘大酒店客房部,,052389192097,
