姓,名,家庭手机,工作手机
耀武客栈,,15635416378,
有家客栈,,13935422021,
中旺旅店,,13753401352,
如意客栈,,03543066015,15935483530
天兴阁,,18234462008,
乾元旅店,,03545224291,15110685587
晋美快捷酒店,,03544413888,
雅居缘客栈,,13753463521,13294667765
水库湿地公寓宾馆,,03545626868,15934430975
海龙王宾馆,,13466896960,
宏曜客栈,,15582871445,
丽俊家庭客栈,,15582879773,
信义鼎客栈,,13633547011,
宏龙宾馆,,15534985016,
河边人家农家乐,,13994553245,15003548758
平遥家庭客栈,,13935453737,
农家小院,,13653548419,
古城武家公寓,,18035455168,15582878666
兴福民宅四合院,,18612922888,
最爱妈妈住宿,,13363541505,
温嘉苑客栈,,03545680758,
巩氏客栈,,13333443738,15303447225
晋中星雅名都酒店,,03543056666,3600555
平遥恒昌居客栈,,13485464043,
德鸿祥客栈,,15525134078,
大寨供销宾馆,,03544388677,
水云阁多功能酒店,,03544186999,
德顺旅馆,,18235460414,
昌颐丰客栈,,13834830777,
金龙客栈,,13623612992,18703447859
大东海商务酒店,,03543038222,18635480919
博大酒店,,03544634888,
保鑫宾馆,,03543360583,
馨苑旅店,,03543023553,15835402889
平遥晋泰生客栈,,03545682864,15935428851
佳玉宾馆,,15525114351,15383446886
榆和旅店,,13903448573,
岳家旅馆,,13934080232,
安宁社区招待所,,15034676869,
晋美商务酒店,,03544385555,
吉果青年旅舍（平遥火车站店）,,13633547799,
芒果主题酒店,,03547228880,
南洋1号,,03543268333,
福源客栈,,15935684709,13994593691
馨香居客栈,,15035645611,13593088066
鑫源旅店,,03543237822,15135428909
海王之夜（客房部）,,03543021111,
光大宾馆,,15003540502,
平遥县庆泰昌客栈,,13935422648,
晋中悦咖舍酒店,,03543987779,13327447775
我们吧住宿,,03546283568,18635452893
贝莱特主题宾馆,,03543539999,3539888
群英慧客栈,,03545690463,13835405883
舒馨公寓,,13663545001,
云森客栈（原德聚祥客栈）,,13303448915,15635494698
新隆魁客栈,,03545682341,13294668173
王家客栈,,15935428839,
惠济河宾馆,,03545660031,15934409566
煜烁宾馆,,13753479265,
靖源通客栈,,15333055721,15303544117
隆昌达客栈,,13593086383,13513546217
永兴园客栈,,03545682652,18234423583
鹏家客栈,,15535426121,
27度青年旅社,,03545683184,13834847891
八方旅馆,,13546230519,
丽泽大酒店,,03547214588,
温鑫家庭旅馆,,03545691021,13152817009
学府快捷酒店,,03543126116,13485313900
云享家主题风尚酒店,,03543112227,3112228
海纳旅店,,18734481234,
中德居客栈,,13453282446,
浪漫满屋家庭旅馆,,13994550072,13294667049
古城农家小院,,13935453064,
博雅住宿,,13453251881,15935149887
居乐居宾馆,,03545690658,15235421567
爱佳公寓,,15835052414,15934417769
园艺客栈,,15135435518,
丰景隆客栈,,15386813888,
八方客栈,,18335483734,
