姓,名,家庭手机,工作手机
宝源旅业,,07502330520,
华宝旅业,,07502272932,
云来宾馆,,07502223233,
幸福酒店,,07502177766,
绿洲旅馆（长沙店）,,07502209777,
爱情公寓主题连锁酒店（新昌店）,,07502374444,
珀乐玛商务酒店,,07502287999,
美亚美酒店,,07502389318,
美开达酒店,,07502363777,
开平橙子酒店,,07502292777,2292790
维多利酒店,,07502221333,
月亮酒店,,07502728888,
煌冠假日酒店,,07502709628,2709666
雅都（连锁）酒店,,07502367188,
碉民部落客栈,,07502616222,
骏盈酒店,,07502320363,
名城宾馆,,07502288333,
泮华旅店,,07502720285,
开平碧桂园翡翠湾凤凰酒店,,07502880888,
爱情公寓主题连锁酒店,,07502394444,
华盛商务酒店（幕村店）,,07502176688,
洲际商务酒店,,07502220555,
福禄寿酒店,,07502636222,
开平华美达大酒店,,07502360222,
金碧湾酒店（人和店）,,07502271888,
金徽酒店,,07502200999,
雅致酒店（曙光店）,,07502290788,
盈嘉酒店,,07502733299,
金碧湾酒店（银海店）,,07502207888,
国泰酒店,,07502222088,
泓轩酒店式公寓,,07502222866,13664906999
梦女孩客栈,,07502619991,
华英商务酒店,,07502279888,
柏丽宜居酒店（开平幕沙店）,,07502209288,2209188
澳莎酒店,,07502023311,
富景酒店,,07502232222,
维港酒店,,07502369999,
凯旋门酒店,,07502206888,
能人旅馆,,07502273733,
喜瑞宾馆,,07502273668,
开平华盛酒店,,07502739111,
汕水商务酒店（水暖城商业街店）,,07502178999,
领美酒店,,07502399222,
关公驿站,,07502626125,13600350228
富州酒店,,07502729822,
红西米酒店,,07502258222,
四美小筑民宿,,07502619991,15014333351
星都大酒店,,07502208788,2209366
银鸿酒店,,07502272268,
江门柏丽连锁酒店（水口店）,,07502763688,2763699
汉庭酒店（中山大道店）,,07502390998,
开平新海逸酒店,,07502263333,
H.hote禾酒店,,07502171633,2171833
盛源旅馆,,07502726883,
好景旅业,,07502362080,
威灵顿酒店,,07502024388,
星期天康润酒店,,07502206388,
金碧湾酒店（冲澄店）,,07502330888,2336333
三埠海景酒店,,07502388888,
米兰酒店（西郊路店）,,07502257777,
芙蓉阁,,07502312999,2321999
丽都大酒店,,07502577777,
开平三埠假日酒店,,07502286333,
开平威尔逊酒店,,07502208888,
良园旅业,,07502328111,
开平潭江半岛酒店,,07502333333,
卡洛斯酒店,,07502291388,
悦海宾馆,,07502022222,
福来旅店,,07502233380,
雅致酒店（幸福店）,,07502228028,
星期天商务酒店,,07502210838,
开平柏丽宜居酒店（新港店）,,07502293666,
丰悦宾馆,,07502707777,
柏丽宜居酒店（开平东兴店）,,07502253999,
祥满宾馆,,07502333678,
柏丽酒店（沿江店）,,07502218202,
金都酒店（幕桥西路店）,,07502339922,
京华主题酒店,,07502396222,
骏豪商务酒店,,07502725666,2625666
开平大厦酒店,,07502233333,
雅景宾馆,,07502732888,
新世界大酒店,,07502378888,
乐嘉商务酒店,,07502712333,
天富酒店,,07502208999,2636898
禾田宾馆,,07502882818,
新雅苑宾馆,,07502371333,18102610609
君怡酒店,,07502212213,
万兴商务酒店,,07502173888,
开平花园酒店,,07502377777,
嘉年华宾馆（人民西路店）,,07502279111,
7洲商务酒店,,07502228777,
华庭旅店,,07502368818,
君乐酒店,,07502333839,
悦豪宾馆,,07502726633,
富豪酒店（文新路店）,,07502212222,2207666
淦华商务酒店,,07502168222,2179868
新景旅店,,07502739889,
逸丽酒店,,07502208988,2208288
祥苑宾馆,,07502201928,
浪漫满屋,,07502299666,
开平碉楼（客房部）,,075082274435,82274433
丰泽园酒店,,07502277390,
碧丽宫酒店,,07502363332,
赤坎影视城酒店,,07502678888,
