姓,名,家庭手机,工作手机
格林豪泰快捷酒店（库尔勒巴州客运总站北山路店）,,09968665333,13565076866
海誉主题酒店,,09968692111,
UP 精品酒店,,09968695555,8663333
大金原酒店,,09968778388,15999430425
鑫源宾馆,,18999021529,
金天悦快捷宾馆,,09962268022,
东方黎明宾馆,,09962222567,
库尔勒高桂滋公馆,,09966750560,
宜洹快捷宾馆,,13667568226,
馨美宾馆,,09962695222,
银河快捷宾馆,,09968772388,13119963344
都市118连锁酒店（火车站店）,,09962989888,2118118
千禧商务宾馆,,09968628666,
兰亭酒店,,09968665599,
金三角宾馆,,09962024188,
金丽华大酒店,,09965625666,
星期六宾馆,,09968691666,
九华宾馆,,09962077866,
开元酒店,,09962091068,2091088
7天连锁酒店（库尔勒青年路小康城步行街店）,,09968663777,
如家派柏·云酒店（库尔勒天山东路龙源万方大厦）,,09968695888,8695999
和静县爱派酒店,,09968701234,8701111
新疆康城建国国际酒店,,09962275222,2275232
天天来宾馆,,09965610681,13279780866
家庭公寓,,15099451031,
希岸轻雅酒店（库尔勒香梨大道美食街店）,,09962625888,
聚茂源商务宾馆,,09968773888,18599476666
速8酒店（库尔勒汇嘉时代店）,,09968690888,8773088
博斯腾宾馆,,09962022007,
丝路楼兰酒店,,09962287128,2287136
库尔勒楼兰宾馆,,09962031566,2022999
博雅丽景精品酒店,,09968665555,
皇冠假日酒店（轮台县店）,,09964933999,
明悦皇冠精品酒店,,09968610888,8610999
富華酒店,,09968731888,8731666
怡莱酒店（库尔勒客运中心店）（原香江大酒店）,,09965891666,
五月家庭公寓,,15899019556,
中联大酒店,,09968811777,8811666
锦尚假日酒店,,09965883333,15739870022
白鹭河宾馆,,09966778666,6766999
西游酒店,,09968626888,8626999
金易商务酒店,,09968796001,
满疆红商务宾馆,,09968772777,8773333
嘉里时尚酒店,,09968690999,
汇鑫宾馆,,09968690688,
如家快捷酒店（库尔勒青年路小康城步行街店）,,09962935111,
风帆广场家庭宾馆,,18909967156,
皇朝宾馆,,09965624631,
如家快捷酒店（库尔勒萨依巴格路孔雀河店）,,09962230111,
金洋大酒店,,09965984082,15292641112
库尔勒贵中缘宾馆,,09962064888,2064666
克里斯汀主题酒店,,09962937666,
万顺宾馆,,09968751555,
安逸居连锁家庭宾馆,,15899012713,18196447663
海丰商务宾馆,,09966028888,
乐瑞宾馆,,09962075777,2077555
福泽小宾馆,,09962016688,
龙行青年旅舍,,09962112366,
梧桐酒店,,09962916669,13909967452
遇见主题酒店,,18742869977,18299849977
福润快捷宾馆,,09962058333,
鸿瑞大酒店,,09962203188,
君悦来宾馆,,09965626609,
库尔勒金砖快捷宾馆,,09968690111,
达西快捷宾馆,,09964012666,
顺安宾馆,,09968690666,8692066
锦荣宾馆,,09968693777,8693778
赛雅欧式宾馆,,09968731777,18299817775
华丰快捷宾馆,,09965611888,
尚客宾馆,,09962166901,17767661567
银环宾馆,,09962618666,
金润假日酒店,,09962092999,2965666
长岭之星经济酒店,,09964672888,4672999
新光通商务宾馆,,09968615666,8615999
冠驰商务快捷酒店,,09966920999,
瑞鑫商务酒店,,09962295666,2691222
金环宾馆,,09968712666,
天百家庭公寓,,18199227971,
成渝快捷宾馆,,09962112803,18690690809
福春园宾馆,,09966018988,
丹尼尔精品主题宾馆,,09965958666,
日新宾馆,,09968663988,
恒居宾缘宾馆,,09962285199,
望月宾馆,,09966783868,
新都商务宾馆,,09968870188,
鸿都商务酒店,,09968722666,
丝路驿站宾馆,,09962152000,
千禧家庭公寓,,09968628588,
鑫媛宾馆,,09968775666,
鸿福宾馆,,09965030775,
久裕宾馆,,09968767888,
鸿运宾馆,,09962078127,18997617791
长寿快捷宾馆,,09964680999,4680400
博雅宾馆,,09965028688,
金新兴商务酒店,,09965310999,
绿都快捷宾馆,,09962688999,
华都宾馆,,09966016088,
同福旅馆,,09962116264,
煜程短租公寓（交通路店）,,18083999958,
速8酒店（库尔勒石化大道店）,,09966915888,6916888
瑞豪商务酒店（原库尔勒大陆桥酒店）,,09968640666,8640668
鸿福快捷宾馆,,09962278000,
鸿都酒店,,09962156666,13565067755
嘉美鑫商务宾馆,,09962283999,
永徽酒店,,09962922222,
上华城商务宾馆,,09962039111,2039222
建宇快捷宾馆,,09968664222,
梦之岛单身公寓,,13070002030,
教园宾馆,,09962297975,
