姓,名,家庭手机,工作手机
龙门大酒店,,05357183999,7183888
海逸商务酒店,,05357556888,
鑫茂旅社,,15192301828,13953534097
惠家宾馆,,05357699333,13688675086
都市118酒店（莱阳中心汽车站店）,,05357878118,7666118
庆容旅社,,05357210409,
盛世广场宾馆,,15065738608,
同福客栈,,18364557789,
龙源大众洗浴宾馆,,15564557111,
一佳商务宾馆,,13708912265,
蓝天商务宾馆,,05353362229,18205456118
阳光主题酒店（西关店）,,05357660055,13963820506
莱萌公寓,,13562579902,
裘革商务宾馆（五龙北路店）,,05357267798,
时光客栈,,15966535899,15063879088
天赋宾馆,,05357311111,13953586756
惠通大酒店,,05357216910,7212840
海天商务宾馆（大寺街店）,,05357569000,
金润宾馆,,05357212259,
新星宾馆,,05357521666,
春和宾馆,,05357811828,13864557111
银座佳驿酒店（莱阳昌山路店）,,05357776789,
交运友缘连锁宾馆（莱阳汽车北站店）,,05357768369,
交运友缘连锁宾馆（莱阳中心汽车站店）,,05357800659,7899369
齐鲁王府大酒店,,05353363888,
都市118（莱阳汽车北站店）,,05357779118,3368118
盛和宾馆,,05357890535,
阳光假日精品酒店,,05357312222,
速8酒店（莱阳昌山路店）,,05357221288,18653805965
阳光宾馆（青岛国货店）,,05357633666,
日新宾馆,,05357785500,18615350747
交通宾馆,,05357212009,
锦平商务酒店,,05357850001,
日月新宾馆,,05357667766,
后街主题宾馆,,05357787555,18653544442
友好招待所,,13853551852,
如家快捷酒店（莱阳旌旗路店）,,05357529999,
昌盛商务酒店,,05357777068,
惠源商务旅馆,,05352925262,13280936555
汉庭（莱阳旌旗路店）,,05353360888,15376967676
恒源旅馆,,05352928178,
如家快捷酒店（莱阳中心汽车站富水北路店）,,05352900707,
九九客栈,,05357650009,
满意旅馆,,05357319257,
福满楼旅馆,,05357211988,13964567718
如家快捷酒店（莱阳龙门西路大润发店）,,05357573333,
盛世旅馆,,05352929629,
东方商务宾馆,,05357773088,
长春宾馆,,05357211935,
7天连锁酒店（莱阳长途汽车站店）,,05353366077,
豪客足浴SPA会所,,15763830559,
福顺商务宾馆,,05357765678,
馥阁宾馆,,05357456999,7960567
瑞苑旅社,,15318636538,
悦达宾馆,,05357666658,15288791007
永丰客栈,,05357227647,
莱阳锦江金山国际酒店,,05357778888,
新城商务宾馆,,05357578777,
乐家宾馆,,05357726888,
莱阳盛达宾馆,,05357335888,13361332237
格林豪泰快捷酒店（莱阳中心汽车站店）,,05353368555,
汇龙湾公寓,,18660039835,
河东宾馆,,05357569968,
莱绢宾馆,,13705452098,
桃园宾馆,,05357321456,
新兴旅馆,,05357337773,13964535727
洪源大酒店,,05357210010,
洪堡钰旅馆,,05357235345,13285353157
丽都山庄,,05357266888,7266788
隆兴旅馆（盛隆路店）,,18375455677,
盛源旅馆,,18766589297,
永和客栈,,05357780666,
百苑宾馆,,05357215088,
黄金海岸阳光会所,,05357966666,
大阳客栈,,15098664568,
沐浴水库宾馆,,05357810068,
奥尔招待所,,05357182828,
