姓,名,家庭手机,工作手机
乐千里宾馆,,02487886222,17702453111
家缘之旅快捷宾馆,,02487881508,
虹桥宾馆,,02487862345,
茂兴源宾馆,,02427889888,87780888
安逸居宾馆,,18842461246,
乾丰旅社,,02462308899,
隆翔旅社,,02462902222,
仙人居快捷旅馆,,15940502323,
巴厘岛快捷宾馆,,02427897766,
丽都宾馆,,02462908138,
优家公寓式酒店,,15942326554,
碧水湾酒店,,02487811111,27886666
馨悦湾主题宾馆,,02487815656,
新脚点客栈南部,,13840202840,
红杉宾馆,,02487886533,13109866933
绿中海生态温泉度假村（战友旅行社）,,15940031115,
君悦快捷旅馆,,02487776677,13940144366
快乐星期天快捷宾馆,,02462908555,
佑佑公寓,,15504050203,13504938800
简爱快捷旅馆,,02487899444,
新脚点客栈北部,,02462906663,13478303535
睡吧快捷旅馆,,02462902222,
文华酒店（东环街店）,,02487888886,87898889
南宫索菲特主题宾馆,,02427882200,
辽中美好时光短租公寓,,18842405022,
凯悦快捷旅馆,,02487803210,
芭堤雅主题商务酒店,,02487802552,
温馨公寓日租房,,18240223983,
振兴旅馆,,02487801163,15042663799
海森公寓日租房,,18240223983,
金地公寓日租房,,18240223983,
辽旅宾馆,,02487822999,
茨榆坨鹏源快捷宾馆,,02487754982,13898192858
全盛旅社,,02427889665,15524430510
中街大饭店,,02487917609,15804071216
鑫都旅社,,02487864555,
一家一新睡感旅馆,,02462911117,
馨星旅社,,02427808088,
