姓,名,家庭手机,工作手机
旌善阁,,03547726345,13223544222
源盛公客栈,,03547723135,13453207898
灵石县新如家快捷酒店有限公司,,03547659511,
鸿运宾馆,,13303448662,15333548661
锦程快捷客栈,,03545591234,17703447766
一九八零快捷酒店,,03547641980,
思普瑞酒店,,03547654600,
意清阁酒店,,03547834777,
众达鑫旅馆,,03547650608,
王家面食馆住宿,,13453260909,
芙蓉园酒店,,03543857000,
金伯爵云锦之星快捷酒店,,03547771999,7749777
静峰快捷酒店,,03545591888,5591999
荔枝酒店,,03547776888,15034008655
天星假日酒店,,03547624500,7625788
聚福堂生态园,,18234445789,
尚客优骏怡连锁酒店（晋中灵石王家大院店）,,03547729777,13333549090
熙融大酒店,,03547772088,13233024526
王家大院月升客栈,,13620666196,13994584456
那里休闲渔岛,,03547725005,13383544002
