姓,名,家庭手机,工作手机
滨河商务旅社,,18765683138,
春晖宾馆,,05362195877,2195899
雅居商务宾馆,,05363770008,
玉浩商务宾馆,,05363358687,
金帝商务宾馆,,05363685666,3390856
金状元时尚宾馆,,05363419888,
盛隆供销商务宾馆,,05363771377,
华海大酒店,,05363767888,
铭家商务宾馆,,05363210777,
金马商务宾馆,,05363456768,
中共临朐县委党校干部培训接待中心,,05363666369,
万德福商务宾馆,,05363718066,
利群商务宾馆（沂山路店）,,05363663222,
清润大酒店,,05363112234,13583669219
滨河花园酒店,,05363715555,
红叶大酒店巨星宾馆,,05363211729,
怡家快捷商务酒店（南环路店）,,05363666668,3630666
弘悦商务宾馆,,05362199666,
米兰风尚精品酒店（临朐店）,,05365207555,3335554
瑞蚨祥商务宾馆,,05363629788,
华丽商务宾馆,,05363339999,
银座佳驿（潍坊临朐骈邑路朐山店）,,05362195888,
华信商务宾馆,,05363631168,
临朐宾馆,,05362197999,
格林豪泰商务酒店（潍坊站前路鲁川店）,,05363482222,
苹果印象酒店,,05363196666,
临朐大酒店,,05363123888,3123999
瑞丰苑大酒店,,05363727829,
枫林晚主题客房,,17184013111,
弘悦商务宾馆连锁三店,,05362199222,
鲁艺商务宾馆,,05363615666,
大福商务酒店,,05363337111,
弘悦商务宾馆旗舰店,,05363411666,
喜君旅馆饭店,,18863684900,
名都商务宾馆（原华都商务宾馆）,,05363123555,
贵都商务宾馆,,05363638555,
格林联盟酒店（临朐全福元店）,,05363096999,
硕丰商务宾馆,,05363218766,18653600182
福临商务宾馆,,05363394222,13791868426
大观园商务宾馆,,05363765999,
凯旋大酒店,,05363611502,
雅悦宾馆,,13864611069,
兴旺商务宾馆,,05363364988,
金成大酒店,,05363169999,
佳泰商务宾馆,,05363395777,
吉星宾馆,,05363480292,
郎园酒店,,05363453166,3453169
朐城商务宾馆,,05363167339,13864611456
云鹏商务宾馆,,05363760111,
红叶大酒店（新华路店）,,05363213884,
临朐揽翠湖天沐温泉度假村,,05363669000,
大连商务会馆（客房部）,,05363112288,
沂山泰东宾馆,,05363459806,
卓群精品快捷酒店,,05362193789,
瑞阳宾馆,,15244452512,
伟成假日酒店,,05363630001,3630002
临朐沂山东镇御苑大酒店,,05363715678,13792624154
清花缘大酒店,,05363188787,
香江大酒店,,05362191877,
弘悦商务宾馆连锁二店,,05362192666,
尚家客房,,13780861912,
鸿福旅馆,,05363388828,18866464399
天天快捷宾馆,,15866168129,
君宝商务酒店,,14768631999,
旺美商务宾馆,,05363480819,
伟成大酒店,,05363164688,3164698
通力商务酒店,,05363685567,
伟成鲍翅皇,,05363390003,3390005
九福来商务酒店,,05363125199,3211089
鑫海宾馆（龙泉路店）,,05363666000,3666111
奇石商务宾馆,,05363666666,
尚客优快捷酒店（潍坊临朐兴隆路店）,,05362993006,
慧源商务宾馆,,05363628222,
龙悦宾馆,,05363772566,
蒋峪供销宾馆,,15053623574,
惠通商务宾馆,,05363632623,
碧中海商务会所,,05362198888,3658888
华润商务宾馆,,05363211345,18353683555
秦池客房,,05363116269,
玉明珠商务会馆,,05363667888,
富豪大酒店,,05363699999,3610666
A加自助酒店,,05363671333,
景尚喜商务宾馆,,05363478000,17853644999
宏泰商务宾馆,,05362198666,
东利宾馆,,05363110626,3219291
华兴商场招待所,,05363114849,
南关旅馆,,05363210903,
全昌宾馆,,15065696263,
鸿福世家大酒店,,05363479678,15806365981
供销宾馆,,05363610129,
鑫旺家商务宾馆,,05363167004,
家庭旅馆,,05363118867,
壹人壹串休闲时光,,05363397177,
欣欣旅馆,,13181689971,
舜和旅馆,,05363110539,
万达旅馆,,15762595515,
舒鑫旅馆,,05363216301,
贝壳酒店,,05363611668,
坤明客房,,05363113907,13001558886
向阳旅馆,,05363111349,
同顺泰华旅馆,,13695360566,
正源商务宾馆,,05363340578,
发君酒店,,15866140917,
沂青商务宾馆,,05363480086,15265656086
明亮酒店,,05363460788,
正兴宾馆,,05363440021,2199430
聚宾农家院,,15095108811,15244448571
寨子崮农家乐,,15288828233,
石门坊写生培训度假村,,05363651617,15610210567
鹿氏姜仔鸡农家院,,05363396198,
寨子崮农家乐饭庄,,15169576854,
玉利宾馆,,13695364750,
鸿祥旅馆,,15153658951,
清泉旅馆,,13869600025,
惠宾宾馆,,15264665321,
云海旅馆,,15863413090,
幸福旅馆,,05363218182,
无名旅馆,,18765609555,
龙兴旅馆,,05363218780,
