姓,名,家庭手机,工作手机
天昱国际大酒店,,05588869999,
吉庆园宾馆,,05588018000,13515686874
新桥宾馆,,05588857088,13515693627
英皇商务宾馆,,05588032188,
东方快捷宾馆,,05588817776,
爱家快捷宾馆,,05588981299,18226909100
浪琴时尚宾馆,,05588977770,
艾尚主题宾馆,,05587186660,
安达主题酒店,,05588701118,
富强宾馆,,05588708222,
恒盛商务宾馆,,13856707711,13156798883
都市118连锁酒店（利辛县家乐福店）,,05588021888,
七彩商务宾馆,,05587186222,
旺角快捷宾馆,,05588791555,
龙之都国际连锁酒店,,05588996999,
尚品商务酒店,,05587185777,
韩蒸沐浴,,05588713666,
喆啡酒店（利辛人民北路店）,,05587181111,
党校宾馆,,05588948888,
尚客优连锁酒店（亳州利辛民安路店）,,05588767888,18105680122
都市118连锁酒店（利辛复兴路店）,,05588866777,
七彩艺术酒店,,05588861111,
橘子酒店,,05587189666,
巨皇快捷宾馆,,05588833222,13955820055
富豪商务宾馆,,05588996111,
金汇商务宾馆,,18256765656,
星光宾馆,,05588856767,18365376777
速8酒店（亳州利辛县文州路店）,,05587186188,
莫泰酒店（利辛青年路青年桥店）,,05588793999,
西城快捷宾馆,,05588975666,
阳光宾馆浴场,,05588869688,
祥和客栈,,05588818868,
祥和宾馆.公寓,,18356789293,
华天主题酒店,,05588970000,
利辛县如家快捷宾馆,,05588973111,
张村新建宾馆,,15855889444,
大浪淘沙商务休闲会所,,05587187111,
易居快捷宾馆,,05587188288,
怡心假日酒店,,05588871999,
格林豪泰快捷酒店（亳州利辛皖北商城店）,,05588990998,
朋客商务宾馆,,05587188887,
华明宾馆,,05587187199,
西城宾馆,,15256193998,
天鹅宾馆,,13856803551,
不倒翁商务主题宾馆,,05588736999,
7天优品（亳州利辛人民北路店）,,05588871111,
凤鸣湖宾馆,,05588877222,18130686677
一家人快捷宾馆,,15256365639,
幸福驿站快捷宾馆（文州路店）,,05588080806,13966518488
幸福驿站快捷宾馆（五一广场店）,,05588975099,
五一广场宾馆（港口路店）,,05588833338,
利辛明珠大酒店,,05582901666,
如家快捷宾馆,,05588722555,
金庭快捷宾馆,,05587186968,13635677449
文州宾馆,,05588720222,
军悦快捷宾馆,,05588018688,13856756694
翰林快捷宾馆,,05588809696,
汉马精品酒店,,05588862222,
鑫天宾馆,,05588762666,
和谐商务宾馆,,05588013999,
凯威精品酒店,,05588068888,
粮厦商务宾馆,,05588913999,
和心快捷宾馆,,05582906488,
厢雅宾馆,,05588992638,
城市商务快捷宾馆,,05588710009,18726685321
印象时尚酒店,,05588938388,18056786722
商务主题宾馆,,05588800321,
罗马假日商务宾馆,,05588086999,
99快捷宾馆,,05588087899,
家庭大酒店,,15056772938,
爱家旅馆,,13805613617,
鸿运酒店,,18956865857,13275670799
西湖宾馆,,15805670368,
永芳快捷宾馆,,05588929188,
梦湾居快捷宾馆,,05588723888,
千禧宫大酒店休闲中心,,05588810688,
粮贸宾馆,,05588811599,
宾馆,,05588834000,
祥和快捷宾馆,,05588066222,8815336
瑞龙旅社,,05588921688,13856789062
天盛酒店,,05588806000,
怡心宾馆,,05588962566,
松江大酒店,,05588915929,
桃园旅社,,05588850599,
燕京大酒店,,05588813367,
玉清楼宾馆,,05588812468,
罗时中大酒店,,05588015819,
娃子超市大酒店招待所,,05588930999,
东方宾馆,,05588961579,
新桥酒店,,05588079518,
万豪商务宾馆（利辛店）,,05588819789,
银杏宾馆,,05588819035,
金倩主题宾馆,,05587182777,
文彬宾馆,,05582982438,
益明宾馆,,05588097276,18326721802
金鼎足道（利辛店）（客房部）,,05588730888,
兄弟宾馆,,05588932333,
印象江南大酒店（客房部）,,05588900777,
彩虹舫酒店,,18326792991,
88宾馆,,05588858958,
万润宾馆,,05588085966,
京粤商务宾馆,,05588928777,
明利快捷宾馆,,05588965151,18963725151
时尚快捷宾馆,,05582985688,
芒果时尚酒店,,05588706789,
温馨港湾快捷宾馆,,05588960222,
居安宾馆,,05588800379,
家庭小宾馆,,05588851128,
轻纺宾馆,,05588819526,
E家客栈,,05588989777,
客到家旅馆,,05588804036,
千益快捷宾馆,,05588861999,
