姓,名,家庭手机,工作手机
良友客房,,13186671456,
银庭宾馆,,051980995555,
维加斯主题酒店,,051980998882,80999888
金汇旅社,,051987215726,
白云旅社,,18961279781,
苏云快捷酒店,,051987162588,
枫林客栈,,13382811277,
甸芳旅馆（原真不同旅馆）,,13382818246,
鑫源宾馆,,051987250519,18961249957
好运客房,,051987291305,
迎春楼宾馆,,051987177761,87177777
爱琴海台球俱乐部宾馆,,051983100127,13358176559
亚泰之星商务旅馆,,051987286111,
建国快捷酒店,,051987556868,
东华宾馆（清溪路店）,,051987170588,
阳光宾馆,,18951207939,
燕山宾馆,,051988300777,15861110106
有间客栈,,15295199856,
溧城城中宾馆,,051987289898,
潘家寨酒店,,051987935911,13915877848
