姓,名,家庭手机,工作手机
春辉宾馆,,03157166108,15033333008
咱家公寓,,13832820126,
滦古客栈,,13933339403,
顺安宾馆,,18932504666,
安静日租公寓,,13582887877,
7天连锁酒店（唐山滦县火车站店）,,03157157770,7199955
陈公馆农家院,,18931551386,13803319765
久久农家院,,13582959064,
亮仔农家院,,13171812460,13273594520
佳豪日租公寓,,15830528050,
如意宾馆,,13081182306,15832589869
友家农家院,,15130568308,
佳庭宾馆,,15333255563,
安惠家庭客栈,,13832895309,
欢欢农家院,,17732536662,
宏兴宾馆,,03157381008,17713191519
魏老四农家院,,13230807053,
宴君农家院,,17713172007,
滦州古城杭睿农家院,,15031577444,
逸安日租公寓,,18333860911,
阳光农家院,,13931591552,
祥瑞招待所,,15932006733,
弘旭客栈,,13832954401,
瑞安快捷宾馆,,03157190099,13803152436
比伦阁快捷宾馆,,03157315555,
杨家古城农家院,,15031584999,13633364545
屹轩生态商务宾馆,,03155032666,
华通商务快捷酒店,,03157461616,7461655
桔子客栈,,15833505974,15369506609
尚居客栈,,18132355557,18903157311
嘉诚商务宾馆（滦县店）,,03155030006,13933409997
滦之韵快捷宾馆,,18131547329,18732505503
泰安快捷宾馆,,03157160006,
尚书雅苑宾馆,,03157180818,
古都恒隆客栈,,03155038857,18931511910
平安宾馆,,03157194849,
芷园宾馆,,03157198869,
金鼎印象滦州商务酒店,,03157159966,
梦香家庭公寓,,18333890853,
0628客栈,,15233385015,15231577816
君悦客栈,,03157192228,
竹园客栈,,03155035599,
雅居客栈,,03155031088,15233306097
云之南客栈,,03155037766,
滦县古城熙园客栈,,03155030298,5038867
枫林晚客栈,,03157262282,
古城惠泽园君悦日租公寓,,18611496046,18600121294
滦州日租房,,18932985554,
乡村人家,,13739863983,
宣家小院农家院,,15833819958,
滦州大火炕农家院,,13603298154,13180163172
胜富酒店,,03157588886,7599996
福禄悠然居民宿,,13933333184,
都市118连锁酒店（滦县火车站店）,,03155033118,18931511910
晶晶农家院,,13472958491,
青青农家院,,15931547389,
军人之家农家院,,13739850582,15933415144
跃臣农家院,,13931514061,
鑫沃生态园宾馆,,13932552738,
善仁居农家院,,13463501830,13731524608
海霞农家院,,18332907887,
漫时光客栈,,03157261813,13933466188
爱莲说主题客栈,,13663200175,15100597559
兴龙农家院,,13931509910,15931595132
滦州古城半日闲居客栈,,03157579988,
如家快捷酒店（唐山滦县火车站店）,,03157199888,
平安客栈,,03157311111,
拾年青年旅舍,,18031588595,
御庭客栈,,03155031666,13785540445
如意宾馆,,15081982165,15100582579
君悦快捷宾馆,,03157399888,
滦州古城农家院,,15633383537,13473515250
红星农家院,,13513254331,
别样速8农家院,,13323052727,
向东农家院,,13483501206,15081929458
静园客栈,,03157167888,
魏家小院农家院（滦州古城风景区店）,,15732537797,18731588779
古城十一晓居农家院,,13473515250,
朝阳家庭旅馆,,15350660401,13933402057
古城农家院,,15230574172,
冰羽农家院,,18330575669,13930530654
天晟宾馆,,03157568866,
鲁府居家旅馆,,15933257709,15033928787
冉冉家庭公寓,,18032525886,
古城宏兴农家院,,13513254331,13832572411
明志农家院,,15076459767,13933480635
君御客栈,,03157311999,
滦州古城别苑小家,,13472920059,
滦州月主题客栈,,17736516727,
福满堂客栈,,03155037070,
丽景客栈,,03157161818,
滦州古城久久家庭公寓,,15100595858,
大唐农家院,,13785535101,15832565101
和园客栈,,03156280001,
滦水湾客栈,,03155038588,13315536757
迎鑫休闲会馆（客房部）,,03155037999,
古城清风湾客栈,,03156281801,
鑫鑫农家院,,15933407640,
永红宾馆,,13832567186,
淑敏农家院,,15832582749,
龙翔花园酒店,,03156280555,
嘉博商务酒店,,03157382000,15512573000
轩辕商务酒店,,03157380888,
庭轩客栈,,03155030121,18831577788
佳伟快捷商务宾馆,,03157527799,
鸿阳客栈,,03157191222,15903259998
龍园主题酒店,,03155037877,
邂逅SPA主题客栈,,03155030999,
加州商务酒店,,03157380000,
绿色心情家庭客栈,,13463582387,
纳里美居精品客栈,,03157180666,
同福宾馆,,15369513681,13831515884
诚顺农家院,,15533586731,
老北京农家院,,17731581113,
古城东门客栈,,03157361299,15027555822
金阳庄园酒店,,03157318888,
滦州古城精品度假公寓酒店,,15512030522,
悦来客栈,,03157360028,
天顺客栈,,18733388657,
明月招待所,,13333051337,
惠发宾馆,,18132355673,
源缘旅店,,13930550041,
双荣宾馆,,03157124405,
民族客栈,,03155695959,
汽车站宾馆,,13473925758,
億隆宾馆,,03157185688,
滦州小筑客栈,,15222650560,
古城红角楼客栈,,13473515250,
杨家小院农家乐,,15133936546,
精装度假家庭公寓,,13012191665,
金荣农家院,,15931509918,
古城龙溪园客栈,,03153345869,
滦州古镇酒店,,03156281988,
富旺招待所,,15132565790,18231505080
唐山古城家庭日租公寓,,15630592509,
一家旅馆,,15369518262,
盛隆快捷宾馆,,13473440318,
滦州国际大酒店,,03157389000,
宏源宾馆,,03157124609,13483552002
太阳数码快捷客房,,03157107777,17732530059
滦州古城桃源客栈,,03157598858,18633187551
一家亲客栈,,13931440637,
家美快捷宾馆,,03157565678,18832527858
冀东物贸宾馆,,03157181611,6760555
家瑞宾馆,,13831509627,13323057530
燕山园宾馆,,03155036356,
宇权快捷宾馆,,03157108777,7528885
强强农家院,,15175596761,
佳源商务宾馆,,03157195999,
六福住宿,,03157128158,
扬轩商务酒店,,15081908755,
东新农家院,,13931448610,18732481313
小时代,,13131511311,
百川商务宾馆,,03155766677,
聚福源商务会所,,03157581888,
佳安快捷宾馆,,03157107222,
滦庭日租房,,15373586880,13363398373
福盛大酒店,,15830509997,
意发宾馆,,15931561008,
家合宾馆,,18932504666,
唐元公馆,,13772196080,
好再来旅馆,,03157508086,
金源大酒店,,400833-6699,
古城家庭公寓,,15102523993,15932560373
大田宾馆,,17736555525,
福盛宾馆（冀东物贸大厦西南）,,03157126500,
金业龙大酒店,,03157414444,
常正宾馆,,03157127503,18632778505
新城恒丰宾馆,,03157121358,
梓奕宾馆,,15369595452,
朋来客栈,,15097582483,13803320682
观唐古栈,,03156280221,
研山驿站,,13363375072,
航母客栈,,03157185558,15232426666
京津雅园四合院客栈,,18531730218,
玫瑰小院客栈,,18031521168,13731521868
桂云农家院,,13393252119,
聚仙海农家院,,13373558487,
鑫鼎龙汇住宿,,03157579966,7579977
如意家庭旅馆,,13373058209,
天天乐农家院,,13001843733,15232656566
佳怡农家院,,13663365225,
永家小院,,15033907517,
金鑫农家院,,15830457796,
凤云农家院,,15232712223,
二姐家庭公寓,,18931477887,
久久旅馆,,03157127378,
淑荣农家院,,18133552715,
秀花农家院,,18034256538,
水源源农家院,,15369504164,15530553915
玫瑰家园,,03157196482,
薛妈农家院,,13810503325,
站东旅馆,,13785093181,
利君酒店,,03157428999,
兴燕酒店,,03157360555,
董家小院,,13363261218,
新城车站招待所,,15081656181,
滦州古城农家院,,13513159522,15097553390
永顺旅馆,,13731551912,
居贤客栈,,03157125983,
春光旅馆,,15932058286,
