姓,名,家庭手机,工作手机
逸家快捷宾馆,,03725599111,
澜琦快捷宾馆,,03727777710,
文化宫招待所,,03727722086,
帝都宾馆,,13346631688,
新兴商务宾馆（老汽车站店）,,03727777117,
香榭时尚旅馆,,03728500000,
鼎巢快捷宾馆,,03727777000,18623746786
万祥时尚连锁酒店,,03727779888,
华悦宾馆,,03727073222,15518870455
枣乡商务宾馆,,03727781999,15737211003
沐易时尚酒店,,03727707766,13526171122
至美风情主题酒店,,03727771666,
香榭时尚旅馆旗舰店,,03728500001,15037213917
尚客优快捷酒店（安阳内黄西环路店）,,03727777688,7739888
新喜润国际酒店,,03727767777,
绿能生态酒店,,03723632000,3632111
港丽湾酒店,,03725597777,
和谐旅馆,,18837222232,
忆家快捷宾馆,,03727716988,
锦龙宾馆,,03725512888,
凯旋快捷宾馆,,03728505118,15515035078
7号公寓,,03727770007,
巴厘岛温泉酒店,,03728500666,8500888
锦奎宾馆,,03727139999,13937215730
二帝大酒店,,03727727996,
简美拾光主题宾馆,,03727777731,
梦圆宾馆,,03727707917,
二帝宾馆,,03727768990,
盛达快捷宾馆,,03727811666,
三元宾馆,,03727777712,
金豪快捷宾馆,,03727777711,
红波旅馆,,03727720222,15836396555
龙港商务酒店,,03727777720,7777721
澜石宾馆,,03727799777,
兰亭风格连锁酒店,,03727076777,
尚特主题宾馆,,03725999901,
凤凰快捷宾馆,,03725514555,
信誉快捷宾馆,,03727706677,
速8酒店（内黄建设路店）,,03727770888,
新兴宾馆（朝阳路店）,,03727777177,
丽水金沙温泉酒店,,03723258888,3256666
内黄中州国际饭店,,03727797777,
双义快捷宾馆,,03728505555,
滨河旅馆,,03727782669,
华逸快捷宾馆,,03727718777,
锦江快捷宾馆,,03727822866,
帝湖宾馆,,03727791555,
华林宾馆,,03727075218,
安鑫寄宿公寓,,18937297783,
鑫达宾馆,,03727078998,
现代牧业鲜奶驿站,,17737267211,
安悦路易酒店,,03727825666,
金悦商务宾馆,,03728500058,
世纪城宾馆,,03723254666,
富源宾馆,,15890775170,
锦澜宾馆,,03727789998,
华泰旅馆,,03727815333,
广鑫旅馆,,03727715330,
丰泽园酒店,,03727956999,
内黄宾馆,,03727711340,
隆兴宾馆,,03727794444,77944444
和美快捷宾馆,,03727750111,
华豫商务宾馆,,15690600888,
永鑫旅馆,,03727720753,
林森酒行,,03723713000,
鑫福地宾馆,,03725515969,
裕达商务快捷宾馆,,03727799155,
阳光假日商务快捷宾馆,,03727791999,
海元宾馆,,03725591889,
井店宾馆,,03727928065,
雅洁宾馆,,03727788811,
裕隆宾馆,,03727789458,
宇龙宾馆,,03727788055,
南街招待所,,03727735802,
谐和居商务酒店,,03727922998,
金诚快捷宾馆,,03728502123,
聚源宾馆,,03727753163,
东风旅社,,03727755888,
南环快捷宾馆,,03727790009,
银海快捷宾馆,,03727788558,
田氏宾馆,,03725599100,
金源旅社,,03725513868,
