姓,名,家庭手机,工作手机
冠源假日酒店,,03146067778,
凯旋宾馆,,03146023167,
丽家宾馆,,13603143670,
青年人主题宾馆,,03146215566,
御尊主题宾馆,,03146038818,13231416146
润华商务酒店,,03146218888,
兰亭宾馆,,03147075345,
满利旅馆,,15133850212,18232265670
天原客官大酒店,,03146200349,
客官国际饭店,,03146266666,
金缘旅馆,,13931404975,
电力宾馆,,03146030357,
三军宾馆,,03146022238,
思乡农家院,,13910736887,18831482527
汇鑫大酒店,,03146343578,
庆顺旅馆,,15176762248,
新硕旅店,,03146211238,
QQ旅馆,,15076996868,
新城旅馆,,13832462328,
旭媛旅馆,,15076991218,
满利旅馆,,15133850212,18232265670
心雨旅馆,,15076896518,
久红宾馆,,13313388740,
泽州大酒店,,03146059999,
八一宾馆,,03146031018,7590698
越波宾馆,,03146088777,
翰都快捷宾馆,,03146212111,
翰都快捷宾馆（二部）,,03146219333,
天原客官大酒店,,03146200349,
兰鑫宾馆,,03146056699,
开源宾馆,,03146028885,
庆泰宾馆,,03146020888,
鑫悦快捷宾馆,,03146355999,
天一旅馆,,03146290666,
客官国际饭店,,03146266666,
宏盛宾馆,,03146027681,
金缘旅馆,,13931404975,
升辉宾馆,,03146060001,
凯伦酒店,,03146031555,
