姓,名,家庭手机,工作手机
优润宾馆,,13201998676,18681943631
恒瑞宾馆,,09137202988,
正缘酒店,,09137851999,
憩园宾馆,,09137889111,13572340923
佳缘快捷酒店,,09137478333,
锦尚花快捷酒店,,09137211931,17795881156
三都澳商务酒店,,09137205111,
祥龙宾馆（蒲城店）,,09137257200,8469789
皇家名流沐浴酒店,,09137167666,
文体宾馆,,15114933991,
长城主题酒店,,09138369888,
红腾宾馆,,18392843412,
爱琴海假日酒店,,09137193000,
蒲东酒店,,09137611111,
豪泰酒店,,09137777889,
馨毅客栈,,09137219001,
桃花源山庄酒店,,09137687777,15929269618
御鼎客栈,,09137192000,13892597995
岳宇宾馆,,09137833555,15191648799
京海裕兴隆酒店,,09137257999,7257998
文体宾馆,,15114933991,
君悦招待所,,09137215592,13892338632
朝盛家庭宾馆,,13892517356,
盛豪轩宾馆,,17795907596,
鸿图商务宾馆,,09137237321,18992316255
丽都园商务客房,,09137382333,
七子酒店,,09138366777,
舒心宾馆（迎宾路店）,,09137201818,
恒光宾馆,,09137822333,
盛世华爵酒店,,09137212555,
丹凤客栈,,18729431952,
三木尚品商务酒店,,09137777775,
皇甫商务酒店,,09138366111,
腾达大酒店,,09138369999,
青春假日酒店（蒲城店）,,09138365888,
兴峰宾馆,,09132419368,13772759805
蒲城县美如家商务酒店,,09133335333,
华阳酒店,,09138469699,
长城主题酒店,,09138369888,
红腾宾馆,,18392843412,
