姓,名,家庭手机,工作手机
金帝宾馆,,03198029111,18233915086
东悦招待所,,15130955221,
都市阳光主题商务宾馆,,03195539999,
新华宾馆,,03198285288,
富虹宾馆,,13483963806,18233971366
京华连锁酒店（清河火车站店）,,03195539158,13231909000
骏怡连锁酒店（邢台清河武松西街店）,,03198022111,
都市118连锁酒店（清河火车站店）,,03198095555,
新世界宾馆,,03198110666,
绒都商务酒店,,03198150000,
亿力大厦,,03198168888,
尚客优快捷酒店（邢台清河火车站店）,,03198175999,
爱客快捷酒店,,03198036222,18803099996
全新7天酒店（邢台清河泰山路店）,,03198067777,15311509913
驿家365连锁酒店（渤海路店）,,03198179365,
汉庭酒店（邢台清河县店）,,03195532888,
尚客优快捷酒店（清河武松中街店）,,03198295000,
如家快捷酒店（邢台清河武松中街家乐园店）,,03195121111,
福庆旅馆,,18631901604,
华夏旅社,,03198185354,
京九国际大酒店,,03198167890,8167777
福康旅馆,,15031915222,
I Do 主题宾馆,,03198225678,
清城酒店,,03192971000,2971111
清河宾馆,,03198299999,
乾都旅馆,,13313092985,
京九宾馆,,03197502283,
清城宜居,,13613290723,
江东大酒店,,18333906606,
晨兴旅馆,,03197501111,
鹏峰旅馆,,03197506003,
武林旅馆,,13292151876,13292151978
盛源旅馆,,13363788308,
兴城旅馆,,031915803293,15803293331
晨盛旅馆,,031913463907,13463907390
祥云生态园大酒店,,03198290444,13931934810
温馨旅社,,13754599483,
蓝天旅馆,,15532990029,
金马宾馆,,03194766376,
晨跃旅馆,,15100981288,
旭日宾馆,,15132963623,
鼎盛温泉酒店,,03198269777,
站北旅馆,,03197505600,
