姓,名,家庭手机,工作手机
喜来金宾馆,,05973629999,
旅安宾馆,,05975236616,
银杭宾馆,,05973830189,
金湾商务酒店（北环路店）,,05973881222,
古田红日旅馆,,05973641954,
古田裕兴快捷旅馆,,05973641261,
居家旅社,,05973810033,
青年快捷酒店,,05973626518,
居佳公寓,,05973998133,
社下山客栈,,05973641697,15960911578
友谊酒店式公寓,,05973969188,
盛天商务酒店,,05973997888,
雲海人家,,05973601886,
悦莱商务宾馆,,05973992858,
上杭客家开元大酒店,,05973318888,
紫金宾馆,,05973622772,
家天下酒店公寓,,05973623888,
坪铺商务宾馆,,05973620088,
乘意耘公寓,,05973641041,13950804915
嘉宾宾馆,,05973833178,
明利商务酒店,,05973641663,
曙光宾馆,,05973641168,18059797596
龙岩光源国际酒店,,05973966666,
鑫和宾馆,,05973848968,13850634905
有客之家客栈,,05973845391,
江滨酒店公寓,,05973319698,
胜鑫宾馆,,05973842138,
古田山庄,,05973608333,
华都宾馆,,05973962288,
金泰宾馆,,15880394990,
华鑫商务宾馆,,05973851333,
佳美宾馆,,18950836368,
金秋假日酒店,,05973961000,
新农村公寓,,05973645045,15080231773
添福山庄,,05973138918,
古田彬宾之家,,05973641196,
夏威夷商务酒店,,05973643557,
古田好客栈,,05973628866,
星月湾酒店公寓,,05973130588,3130666
古田桃森旅馆,,13950829997,
天龙宾馆,,05973966199,
金杭大酒店,,05973319989,3319988
紫金旅馆,,05973831958,3865181
万达精品酒店,,05973318168,
红星大酒店（客房部）,,05973831222,3831888
紫金大酒店（紫金大道店）,,05973833333,
亿家快捷酒店,,05973999777,3999555
古田光源酒店,,05973699999,
晟龙假日酒店（索特来俱乐部店）,,05973919666,3919888
金业宾馆,,05973832686,
友谊宾馆,,05973960588,
星源宾馆,,05973130999,
天缘快捷酒店,,05973855998,
景和大酒店,,05973852888,
金叶大酒店（江滨路店）,,05973996666,
天湖宾馆,,05973885959,
鑫盛宾馆,,05973886899,
香叶宾馆,,05975231888,13860292125
宏通商务宾馆,,05973628388,
7天连锁酒店（龙岩上杭紫金路店）,,05973811777,18229239060
古田满山红度假山庄,,05973643668,18859053188
上杭力舒农家,,05973643383,
农家乐宾馆,,05973643698,
金三角旅社,,13178267783,
宏泉生态家庭农场,,13859545875,
沁园春酒店,,05973843618,
梅花山旅馆,,05973641998,
住宿,,05973965000,
隆发公寓,,05975332608,
官庄中心酒店,,15659521370,
惠美佳宾馆,,05973626688,
昌蒲公寓,,05973621996,
荣翔公寓,,05973643968,13616911391
龙岩供销大酒店,,05973995988,
林业招待所,,05973842306,
嘉和宾馆,,05973961222,
教育宾馆,,05973966088,
蛟龙大酒店,,05973131999,
金都大酒店,,05973885988,
金源旅社,,05973981310,
客家公寓,,05973965000,
亮洁旅馆,,05973543516,
温馨宾馆,,05973931080,
平安旅馆,,05973845811,
金竹宾馆,,13860251719,
杭保宾馆,,05973887462,
丰源宾馆,,05973841188,
天豪大酒店,,05973846666,
花果山公寓,,05973625788,
金晨招待所,,05973883436,
好再来旅馆,,05973982462,
永鑫旅馆,,05973549199,
新杭宾馆,,05973548730,
金凤宾馆,,05973961111,
德生商务宾馆,,05973641832,
古田大酒店,,05973699999,
紫金铜业酒店,,05973318000,
