姓,名,家庭手机,工作手机
宁和旅馆,,13819551349,13819559936
旺旺宾馆,,057583100237,
温泉宾馆,,15267578929,15857550734
东商宾馆,,057583118178,
居之安宾馆,,057583130888,13335786886
富豪宾馆,,057583031313,
君悦商务宾馆,,057583222777,
当代阳光主题酒店,,057583299999,
嵊州惠余酒店,,057583158666,83159666
新金山宾馆,,057583350981,
恒8连锁酒店（嵊州医院路店）,,057583332388,18368819060
九龙客栈,,057583002151,
金碧园酒店,,057583050777,
蓝叶宾馆,,057583381188,
恒8连锁酒店（嵊州四海路店）,,057583385988,
尊品时尚宾馆,,057583799000,
柏星玥明商务酒店,,057583380333,
八达宾馆,,057583387888,83387008
万俪快捷酒店,,057583536999,15105851184
水立方休闲会所（客房部）,,057583133888,
南苑e家精选酒店（嵊州官河南路世贸广场店）,,057583033555,
嵊州市格林时尚酒店,,057581386888,
柏星超级大酒店,,057583380999,
三鼎大酒店,,057583638888,
黄金海岸商务健康城,,057583380111,
哈尼时尚主题宾馆,,057583530006,
豪城精品宾馆,,057583797000,
城市酒店,,057583556666,
白云宾馆（嵊州大道店）,,057583033388,
国商宾馆,,057583380888,
白鹭宾馆（原香溪宾馆）,,057583555588,
嵊州国际大酒店,,057583037888,83386068
喜来乐酒店（艇湖路店）,,057583383333,
艇杰宾馆,,057583331288,
八达商务酒店,,057583387999,
风和宾馆,,057583550999,
新华谊宾馆,,057583036988,
新天地客房部,,057583335188,
汉庭（嵊州店）,,057581399788,
如家快捷酒店（嵊州官河南路新国商购物广场店）,,057583593555,
百兴宾馆,,057583103931,
天香宾馆,,18957557609,
世纪盛业大酒店,,057583700077,83700033
兴隆宾馆（仙乐路店）,,057583045720,
金卧龙宾馆,,057583187676,15355523101
鹿鸣宾馆,,057583020813,
华厦宾馆,,057583187465,
银河宾馆,,057583381655,
柏悦名家宾馆浴场,,057583538000,
覆卮山度假村,,057583190000,13362551013
一心宾馆,,057583222888,13858562199
悦尚臻品酒店,,057583333338,
广厦大酒店,,057583381888,
城东宾馆,,057583049969,
金泰雅居宾馆,,057583335222,
通达商务宾馆,,057583595555,
甘霖东山大酒店,,057583857778,83667777
嵊州宾馆,,057583187888,
胜利宾馆（艇湖路店）,,057583129666,
鑫悦宾馆,,057583183994,
嵊州保罗洲际酒店,,057583388555,
温泉山水度假酒店,,057583986999,
明亮宾馆,,057583181648,
金香宾馆,,057583123988,
大唐休闲度假村,,13655855075,
珀丽主题商务宾馆,,057583277555,83796555
温泉湖宾馆,,057583276666,13705855360
柏星·景廷宾馆,,057581396888,
悦鑫宾馆,,057583336222,
万顺宾馆,,057583168177,13758591289
东站宾馆,,057583361298,
海发旅馆,,057583186158,
城西宾馆,,057583382999,
景城宾馆,,057583043180,
威蓝宾馆,,057583263555,
天都宾馆,,057583041456,
仙湖宾馆,,057583039933,
绍兴中翔温泉度假酒店,,057583389788,83389797
亚细亚旅馆,,057583214172,
天仁·旅行之星宾馆,,057583000108,
泊森风尚酒店,,057583709555,83706555
国豪商务宾馆,,057583337777,13967501005
浪淘沙宾馆,,057583386688,
假日大酒店,,057583381777,
西站商务宾馆,,057583335888,
红利来宾馆,,057583039661,
双塔宾馆,,057583180500,
明星宾馆,,13735239501,
璟玉农庄,,13587356496,13758534871
独秀山庄小区,,057583118888,
温泉山庄,,13858576624,
大世界旅馆,,057583186962,
甘霖宾馆,,057583613999,
桃源宾馆,,057583667278,
蓝天宾馆,,057583039266,
龙会宾馆,,057583332188,
阳光旅馆,,057583211623,
景湖宾馆,,057583013808,
君安旅馆,,057583660698,400833-6699
东浦菜园旅社,,057583182783,
老马旅馆,,057583101372,
东乐宾馆,,057583110188,
商业城大厦,,057583022918,
三江旅馆,,057583559488,13735238402
怡家宾馆,,057583041999,400833-6699
三江宾馆,,057583350981,
天吉宾馆,,057583115103,400833-6699
有间小公寓,,057583551228,
仙达宾馆,,057583039569,
