姓,名,家庭手机,工作手机
银庄宾馆,,037767006800,
同福客栈,,037768803666,
赊店商务宾馆,,037767991669,18736608449
锦江宾馆,,15138416875,
皇室情侣公馆,,037783960801,
科琳商务酒店,,037767982589,67982516
唯爱客栈,,15670230555,
国宝大洒店,,15993152681,
永合商务宾馆,,037760365929,
城意宾馆,,037760590989,18736673052
锦海宾馆,,037767826888,
社旗福海宾馆,,18337783669,
盛泰商务宾馆,,037767721999,67850888
诚信客栈,,13937739179,
白金汉宫国际酒店（原弘星商务酒店）,,037768808888,
开元商务酒店,,037783989999,
晟雅宾馆,,037767988818,13683912827
大浪淘沙商务酒店,,037767688888,67688999
金方圆宾馆,,037767939366,
金源商务宾馆,,037767990123,
金茂精致酒店,,037767001777,67001999
福源宾馆,,037767637778,
爱一致商务宾馆,,037767885678,
阳光宾馆,,18338272938,
群星宾馆,,18638333606,
天元商务宾馆,,037767997998,
方圆商务酒店（社旗店）,,037767688777,67688108
祥和宾馆,,037767867898,
银河水会宾馆,,037767882988,
龙韵宾馆,,15514105181,
沁园宾馆,,037766618881,18695966281
金日祥商务酒店,,037767831111,83813166
银和足浴宾馆,,037760370176,
金正宾馆,,037783831778,
东关商务宾馆,,037767060688,
金政宾馆,,037760365111,
赊店大酒店,,037767727999,
海泰主题宾馆,,037760365365,13733111755
秀水假日酒店,,037767911118,
水立方商务会馆,,037767867777,
汇丰商务宾馆,,037767677777,
客家宾馆,,037760365181,
京港国际酒店（餐饮部）,,037767999999,
福泰宾馆,,15890875375,
莱邦海逸假日酒店,,037767886888,
景庭时尚快捷,,037760679999,
政和快捷宾馆,,037767996799,
爱琴海假日酒店,,037768809888,
水利招待所,,037767988036,
卧龙宾馆,,037767935388,
华欣宾馆,,18238433388,
福兴客栈,,15993107290,
港湾宾馆,,18739007573,15936161016
南阳社旗银庄宾馆（新汽车站店）,,037767006600,
南阳弘扬客栈,,037767834567,
鑫慧宾馆,,037767932666,
欣乐宾馆,,13525166798,
居安宾馆,,037767936866,
廉家旅社,,13700773348,
幸福宾馆,,15514167959,
天顺旅社,,13103773517,
祥云宾馆,,15518930987,
九洲宾馆,,037768802222,
凯旋鸿达宾馆,,13837730236,
红旗宾馆,,037768801777,
怡家宾馆,,037767652996,
宾西快捷酒店,,15539933320,
鸿都旅馆,,037767988655,
政慈快捷宾馆,,037767710777,
