姓,名,家庭手机,工作手机
畅欣快捷宾馆,,05573604999,
金路宾馆,,05577090907,
聚和商务宾馆,,05578666222,
夙玉倾城精品主题酒店,,05572622999,
龙祥主题旅馆,,05573950818,
百盛宾馆,,05573041911,15555779191
裕城旅馆,,15555786078,
红苹果主题宾馆,,05572360666,2363321
一路同行连锁酒店（宿州道东店）,,05573311895,
宿州市光彩城如家宾馆,,05572318686,
嘉和主题宾馆,,05573715555,
途舒概念宾馆,,05572872657,15255707455
金诚宾馆,,18134605213,
芒砀商务宾馆,,05578098328,
惠源快捷宾馆,,17360886868,
大宅门宾馆,,05573253999,2101888
新和谐宾馆,,05572250288,15665166191
旭日商务宾馆,,05578555789,
斯洛假日酒店,,05572763333,
金水桶商务宾馆,,05575861666,
宋家商务宾馆,,05578703666,8703666
嘉乐宾馆（大学城店）,,05572872700,13637187676
宿州市埇桥区七天学府时尚宾馆,,05572872577,
东城之家快捷宾馆,,05574561222,
多客快捷宾馆,,05573737373,
易居宾馆,,15212552062,
谊家快捷宾馆,,05575421888,
建工快捷宾馆,,05573665999,
六八宾馆,,18098704321,
玉帛快捷宾馆,,05573959000,18955779695
和谐宾馆,,05573677866,
时尚假日主题宾馆,,05573179999,
邢龙宾馆,,05578090002,13855786306
萧县状元阁宾馆,,05575789789,
五棵松商务宾馆,,05572273888,
辰宇快捷宾馆,,15255737368,
欣阳快捷宾馆,,05572866222,
华夏园宾馆,,05577921888,18505577773
余家主题宾馆,,05572631588,
吉顺宾馆,,05577091878,
新城快捷宾馆,,05572367778,
金冠宾馆,,05572627666,
圣世豪都大酒店,,05572527777,
金桥快捷宾馆,,05575889666,5889777
鑫港湾宾馆,,05578866887,
蓝博湾宾馆,,05575589888,
旭晨宾馆,,15391868085,
东鼎万豪酒店,,05577010888,
天龙快捷宾馆,,05576035688,
青沐假日酒店（原老花都）,,05572226886,
致家快捷宾馆,,05575622888,18055768799
壹家客栈,,05576022999,
爱琴海宾馆,,05577028872,
新区宾馆,,05572368088,
易佰连锁旅店（宿州火车站店）,,05572226888,
一路同行连锁酒店（原维尼77主题宾馆）,,05573936777,3936776
君怡快捷酒店,,05573091122,
首樽快捷宾馆,,05572512888,
书苑宾馆,,05578862999,
益都圣豪商务宾馆,,05573725555,
阳光宾馆,,05572875380,15398216997
心宜快捷宾馆,,05573665899,
都市家园商务酒店,,05573711666,
永和商务宾馆,,05572523333,
桔子酒店（纺织店）,,05573911777,
柏星宾馆,,05575175558,18297660909
宿州市埇桥区七天乐快捷宾馆,,05573806666,
在水一方主题宾馆,,05573330111,
鑫汇宾馆,,05572586555,
金至尊主题时尚宾馆,,05573256666,
金色阳光快捷酒店,,05572292222,
城市之家酒店（泗县玉兰大道店）,,05577368888,
安佳商务宾馆,,05572530999,
梨都印象宾馆,,05572270222,
7天连锁酒店（宿州浍水路一中店）,,05572327999,
温馨宾馆,,05577098493,
万友商务宾馆,,05578890168,
帝皇宾馆,,05573718888,
三星商务宾馆,,05575099999,
中华宾馆,,05574082611,
隆源宾馆,,05576686888,
我的e家西苑商务宾馆,,05572217111,
爱尚居快捷宾馆,,05572612666,
宿州东部新城格林宾馆,,17334568888,
万福酒店,,05577698866,
交通宾馆,,15888007264,
环宇绿洲商务酒店,,05572666608,
盛世乐居主题宾馆,,05576291111,
新世纪商务宾馆,,05578908880,8908886
亚东宾馆,,05574566778,
中豪商务宾馆,,05572623666,
兴宇主题酒店,,05572283111,
尚佳商务快捷酒店,,05577808888,
都市118酒店（宿州萧县金街店）,,05572209777,2209118
尚一特连锁酒店,,05578939999,
悦享假日宾馆,,05578880567,
丽枫商务宾馆,,05578670888,
天府宾馆,,18133234599,
金泰宾馆,,05576889998,
沁园春宾馆,,05577099666,
电力宾馆,,05572206699,15056707777
风生水起商务宾馆,,05578660136,
7天连锁酒店（宿州胜利路火车站店）,,05572286777,
格林豪泰快捷酒店（宿州埇桥火车站店）,,05573660998,3956666
索菲特时尚宾馆,,05578158999,
铜锣湾酒店,,05576777888,6886108
金悦大酒店,,05573256888,
尚客优快捷酒店（萧县浙商大市场店）,,05575999111,
城市之家酒店（宿州胜利路店）,,05573909969,
雅禾概念宾馆,,05578906888,
龙山快捷宾馆,,05576089999,
交通宾馆,,05575069888,
新悦汇精品酒店,,05573776666,
财富大酒店（光彩城店）,,05572986666,13339070105
尚客优快捷酒店（宿州灵璧汽车站店）,,05576969999,18052146012
玥明商务酒店,,05575775999,
开元商务宾馆,,05576565777,18255767803
如家酒店（宿州泗县国防路店）,,05577096688,
梦幻之都主题宾馆,,05572558866,
新长江宾馆,,05572265666,
