姓,名,家庭手机,工作手机
金燕宾馆,,13376031597,
铭都商务宾馆,,18796766660,
国莹旅馆,,052387211968,
东琳宾馆,,052387668950,
6+1商务宾馆,,052387876161,
丽华宾馆,,052387999022,15996088027
肯定宾馆,,17768721384,17768721584
宝隆宾馆,,052387581888,
新站宾馆,,13327793970,
森林宾馆（新车站店）,,052387692596,
君凯宾馆,,13701422890,
华晟宾馆,,13052993513,
友缘宾馆,,052387266072,
盛泰宾馆,,13775749913,
金城宾馆,,15951164447,
我家客栈,,15380731200,
雪梅宾馆,,052387215523,
锦隆宾馆,,052387718889,
大西门宾馆,,052387750383,87625529
星百合宾馆,,052387289388,
华林宾馆,,052387122233,
帝园宾馆,,052387212882,
宏伟宾馆,,18952671461,
缘来宾馆,,15152481885,
永和宾馆,,18994716663,
荷花池宾馆,,052387723882,87723885
合昱风尚酒店（泰兴店）,,052387666111,
金天宾馆,,15094321479,
近水楼台宾馆,,052385900888,
田园假日酒店,,052387639991,
环球商务客房,,052387617888,
双燕宾馆,,052387214785,
金鼎商务客房,,13852848608,
楼外楼宾馆,,052387219709,87213053
觅爱概念宾馆,,052387619899,
凤凰大酒店（泰兴星火东路店）,,052382811111,82827777
IU酒店（泰兴济川南路店）,,052387799006,
星华大酒店,,052387288111,
金龙大酒店,,052382565888,
尚客优连锁酒店（车站碧云广场店）,,052387878780,
清沐精选酒店（泰兴佳源新天地店）,,052387227979,
全新7天酒店（泰兴文昌路店）,,052386969696,
薇爱主题宾馆,,18796788099,
新天地主题宾馆,,052387777889,13775742757
尚客优快捷酒店（泰兴威尼斯城店）,,052387885111,
金鹰宾馆,,052387723800,
全季酒店（大庆中路店）,,052387895555,
青柠快捷酒店,,052387603777,15094328769
麗枫酒店（泰兴江平路阳光一品店）,,052387721888,
7天优品酒店（泰兴长征路店）,,052387988888,
金晗假日酒店,,052387090001,
汉庭（泰兴黄桥汽车站店）,,052387262333,
榴莲居宾馆,,13852848171,18052677028
维多利亚宾馆,,052387818999,
小肥羊大酒店,,052380187777,
春园旅社,,052387625541,
尚客优快捷酒店（泰兴襟江小学店）,,052387111588,
宾悦宾馆,,15195280612,
锦鸿主题宾馆,,052387531777,
泰兴新阳光宾馆,,052387087588,
新街镇招待所,,13952642178,
泰兴华宸大酒店,,052385799997,15052885488
6+1德泰恒大酒店,,052387733966,400052-3767
泰兴宏盛大酒店,,052389777777,
银天宾馆,,052387767011,
摇钱树商务宾馆,,052380960008,
格林豪泰商务酒店（泰州国庆中路店）,,052387878585,
文梅旅馆,,18082356613,
爱加主题宾馆,,052387651333,18005265566
顺利旅馆,,052387779668,
浩林居宾馆,,052389702815,
新世纪皇冠大酒店,,052380737666,
喜缘宾馆,,15365606568,
新民宾馆,,13801437730,
汉庭（泰兴鼓楼北路店）,,052382813333,
如家快捷酒店（泰州泰兴星火路店）,,052387881111,
丽晶宾馆（长征路店）,,052387985678,
汉庭（泰兴新能源美食广场店）,,052387876000,17768728719
格林豪泰酒店（泰兴文昌路店）,,052387685998,87562666
香江一号平价酒店,,052387977877,
天然居宾馆,,052387219180,13775730390
世纪金土地大酒店,,052387851999,15720777188
大浪淘沙国际休闲会所,,052387729888,
7天连锁酒店（泰兴鼓楼南路店）,,052387616777,
明明家庭旅馆,,13626131497,15052398023
庆云旅馆,,15161070129,
金三角旅社,,18105265001,
清酒佳人家庭宾馆,,18101438889,
星期八宾馆,,052387214861,
庆隆旅社,,18105266566,
豪润宾馆,,052387767333,
逸林宾馆,,052387788998,
嘉泰大酒店,,052389781111,
香园商务酒店,,052389770888,
惠宇商务宾馆,,052387763999,
兴一家宾馆,,052387619899,
梅园宾馆,,052387222352,15190600588
尚客优快捷酒店（星火路店）,,052389703588,
馨雅宾馆,,052387720129,
华勋假日酒店,,052389790068,
格林豪泰快捷酒店（泰兴黄桥政府店）,,052387155666,
我家花园连锁酒店,,052387915666,
泰兴美丽都宾馆,,052387721688,
众安宾馆,,15052379812,
乐城商务酒店,,052387575999,13771756067
双逸旅馆,,052387819805,13961009121
静静旅馆,,052387220973,
万福楼宾馆,,18252658978,
鼎泰商务宾馆,,052387637199,
明明旅馆,,052387662381,
华庭宾馆,,052387690068,
绿晶大酒店,,052382565099,82565089
32号快捷宾馆,,052387925777,
国良宾馆,,13775788512,
桥缘宾馆,,052387121088,
心怡宾馆（泰兴商场店）,,052387631688,15365600550
坤园宾馆,,15052390096,
步步高宾馆,,052387614409,
万豪国际大酒店,,052387693910,
达令主题宾馆,,052389704888,
华芳宾馆,,15896053344,
红枫园大酒店,,052382761678,
荣泰宾馆,,052387661609,
立新宾馆,,052387633997,
黄桥镇石桥宾馆,,052387222008,
文江之星商务酒店,,052382811888,
中泰宾馆,,052387138899,
方园宾馆,,052387684238,15896059160
幸福居宾馆,,052387993777,
金芒果主题宾馆,,052387096966,
金百合商务宾馆,,052387121899,
天和宾馆（大庆西路店）,,052382768888,
四牌楼大酒店,,052387613778,
八面风宾馆,,18151954687,
格林豪泰商务酒店（泰兴国庆东路大润发店）,,052387878080,
中华旅社,,13814471540,
尚客优快捷酒店（泰兴黄桥汽车站店）,,052387590666,
北街宾馆,,13952653258,
7天连锁酒店（泰兴黄桥汽车站店）,,052387315777,
666快捷宾馆,,052387086888,
万兴宾馆,,13852847589,
新客站宾馆,,052387690776,
百盛商务宾馆,,052387779999,
北国之春（客房部）,,052387750623,
君悦大酒店,,052387138999,87659277
友缘宾馆,,13092292516,
蓝海宾馆,,052387083333,
华美宾馆,,052387222870,
天舒大酒店,,052387262777,13605266557
黄桥宾馆,,052387212910,
中洲宾馆,,052382360899,
银光国际大酒店,,052387999999,
7天连锁酒店（泰兴中兴大道店）,,052387775288,87775299
泰兴凯伦宾馆,,052382065533,
镇东旅馆,,052387417539,
鼎盛大酒店,,13952642445,
666酒店餐饮连锁,,052387777928,
邂逅主题宾馆,,052387700008,
城市假日宾馆,,052387726888,87726000
东方宾馆,,052387214286,
西城快捷宾馆,,052387657855,
国庆宾馆,,15996082209,
998快捷宾馆,,052387626965,
骏怡酒店（国庆中路店）,,052387777775,15118846056
威廉的太妃糖酒店,,13812498960,
襟江之星宾馆,,052389704888,
蓝色快舟都市连锁旅店,,052387617777,
上城商务酒店,,052387777888,
广源宾馆,,052387762600,
长城楼大酒店,,052387613688,
尚客优骏怡连锁酒店（人民医院店）,,052387777775,
星河宾馆,,13382586281,
华尔康大酒店,,052387991666,
泰港湘情酒店,,052387634688,13626133468
兴东方天水雅居大酒店,,052387962388,
会宾楼酒店,,052387977979,
楼外楼宾馆（一店）,,052387219709,
香格里拉大浴场,,052387993666,
泰通凯悦大酒店,,052387720777,
天慧酒楼旅馆,,052387736277,
金港大酒店,,052387986566,
茗雅宾馆,,052387722268,13914428482
东城宾馆,,052387662885,
华康宾馆,,052387212691,
兴鸿福宾馆,,052387682882,
友情宾馆,,13062992533,
久崇天大酒店,,052387211698,15754947036
星月星宾馆,,052387719091,
宇达商务宾馆,,052387087988,
锦程商务会所,,13062996866,
国美宾馆,,052387216334,
永大客房,,18852631912,
兴芳宾馆,,15961038848,
龙腾酒店,,13645269815,
兴良缘宾馆,,052387767568,
兴常川旅馆,,052387779086,
美美旅馆,,15961039850,
南山宾馆,,052387635074,
兴勤达宾馆,,052387361382,
亨林宾馆,,18252660887,
泰兴招待所,,13952661660,
荣华宾馆,,052387213989,
泰荣商务客房,,052387612908,
兴好再来旅馆,,15295286988,
天水湾大酒店,,052387530197,
礼华旅馆,,052387881076,
兴浪琴岛休闲宾馆,,18994633299,
玉林宾馆,,052387687808,
永兴旅社,,052387662575,
北城宾馆,,052382918345,
绿洲假日酒店,,052387664188,
颐园宾馆,,052387797008,
畅心宾馆,,052387211318,
东方旅社,,052387368061,
君缘宾馆,,18362836222,
永发旅馆,,052387663495,
天河宾馆,,18761035555,
星源鑫大酒店,,15152485777,
天天见宾馆,,052387212713,
锦城酒店,,052387723779,
元竹宾馆,,13914421531,
新东宾馆,,052387433003,
醉香园宾馆,,13306181565,
泰宁宾馆,,052387214825,
泰鑫绿园春生态旅游庄园,,052380767777,18852632777
富华旅馆,,052387512988,
兴黄桥镇舒悦旅馆,,13645262625,
兴三泰旅馆,,13382463318,
秋园旅社,,052387618566,
晶都酒店,,13852888276,
君凯旅馆,,15161071306,
兴南霞宾馆,,15961040660,
兴明宏旅社,,052387630363,
华夏旅馆,,052387691023,
兴蒋华镇人民旅社,,052387411769,
豪庭国际大酒店,,052387738888,
惠贤宾馆,,052382912999,
幸运基（国庆新村店）,,18352634857,
霞辉酒店,,052387986877,
城北宾馆,,052387696132,
人人乐快捷酒店,,18994718288,
兴好享受旅馆,,18936839992,
兴欣美宾馆,,052387366766,
兴浪涛宾馆,,13382586939,
兴琴都宾馆,,052387202612,
锐龙源酒店,,18252668333,
东阳宾馆,,052382891699,
欣欣乐宾馆,,15261063968,
天润酒店,,18936830777,
苏天旅社,,052387682550,
嘉诚宾馆,,052387366663,13921742197
兴黄桥镇舒园宾馆,,15190615768,
兴庆隆旅社,,052382063837,
开阳旅社,,13285236630,
唐明商务客房,,052387189366,
一加一宾馆,,052387491210,
兴新联旅社,,15961039991,
乐居旅馆,,15896058242,
新银旅馆,,052387492376,
