姓,名,家庭手机,工作手机
幸福小区招待所,,06325580550,15192102615
佳驿网络宾馆,,06323955678,
交运客栈,,13386378551,
欧巢创意客栈,,06323910000,
华晨商务宾馆,,06325978899,
腾翔宾馆,,15165865399,
中央城商务宾馆,,06325088777,
尚客优连锁酒店（平行路店）,,06322125999,15698029422
尚客优快捷酒店（枣庄滕州塔寺北路店）,,06328809999,
贝壳酒店（滕州大同路店）,,06325161789,15863216928
慢生活快捷酒店,,06325230123,
同城公寓,,13361116100,
志成宾馆,,06325266148,13806374208
好兄弟宾馆,,06325588085,15965112899
鸿和宾寓,,06325569555,
儒佳宾馆,,06325264777,5264888
鑫洁宾馆,,06325660268,18766320180
东泰主题商务宾馆,,06325558989,13276370827
温馨之家旅馆,,15266296668,
荣兴宾馆（人民医院店）,,18806325336,
弘光宾寓,,06325552525,
荣兴宾馆,,13153059953,
罗马假日宾馆,,06325681899,5861899
水沐年华洗浴中心客房,,06325958777,
城市之星宾馆,,06325509088,
乾源宾馆（平行北路店）,,06325851288,
五洲宾馆（平行路店）,,06325859859,15589278575
诚顺宾馆,,06325613252,13963265631
墨家宾寓,,06325151188,
新大快捷宾馆,,06323958222,
圣鹏连锁商务宾馆,,06322100139,
善园平安宾馆,,15266160919,
518商务宾馆,,13563297622,
尚客优快捷酒店（枣庄滕州荆河桥海上明月店）,,06323959555,
腾润宾馆,,06325161911,13563288808
滕州佳宜宾馆,,06325153599,
99旅馆连锁（滕州火车站店）,,06325563666,
天同宾馆（南店）,,06325589618,
锦泰商务宾馆,,06325616555,5085288
火炎焱旅馆,,06325915657,18769276050
润鸿商务宾馆,,06325605666,
金地快捷宾馆,,06325088699,
滕州爱真宾馆,,06325897899,
华庭快捷宾馆,,06325802111,5802888
佳合达人宾馆（新兴店）,,06325865699,
大爱商务宾馆,,06325030888,2928066
滕达宾馆,,06325560606,
墨鸿商务宾馆,,06325253777,
鲁班饭店（客房部）,,06325659000,
华美达速八酒店,,06325259888,
远东商务宾馆,,06325982888,
万家连锁商务宾馆（善南店）,,06325152555,5239866
银圣宾馆,,06322222228,
尚客优快捷酒店（滕州火车站问天广场店）,,06323957777,3957111
速8酒店（火车站店）,,06325085588,
碧桂园商务宾馆,,06325166588,
青春驿站,,06325971888,15726379091
布丁酒店（山东滕州人民医院店）,,06325802802,
万家连锁商务宾馆（长途汽车站店）,,06325239888,
银座佳驿（滕州解放中路中央城店店）,,06328058888,
银座佳驿（滕州荆河路火车站店）,,06325236111,
天悦商务宾馆,,06323979688,
格林豪泰贝壳酒店（滕州火车站府前中路店）,,06325637888,
汉庭（滕州杏坛路店）,,06325019666,
锦江之星（枣庄滕州善国北路市政府店）,,06325572999,
如家快捷酒店（滕州步行街火车站店）,,06325238999,
华泰大酒店,,06325603999,5622999
格林豪泰青皮树酒店（滕州火车站店）,,06325159899,
格林豪泰酒店（学院东路店）,,06325777577,
尚客优快捷酒店（枣庄滕州善国南路店）,,06325085599,
格林豪泰酒店（滕州汽车西站平行中路店）,,06325258999,
尚贤宾馆（市委党校店）,,06325851699,
逸荷雅舍客栈,,06328024555,
锦江旅馆,,06325878678,
陌上花开商务宾馆,,06325962888,
天和寓所宾馆（火车站店）,,06323918788,
顺歌主题宾馆,,06325387777,
和馨商务宾馆（火车站店）,,06325252333,
万家连锁宾馆（北辛伦达店）,,06325773555,
爱美酒店,,06325085688,
格林豪泰商务酒店（滕州解放路店）,,06325998998,
万家连锁宾馆（火车站店）,,06325777555,5973337
米阑客栈,,06325233222,
城市客栈,,06325511988,
瀚林宾馆,,06325801888,
天同宾馆（北店）,,06325635008,
大同宾寓,,06325579618,
锦邦商务酒店,,06325882887,
建兴宾馆,,13280210089,13276375983
警官培训中心,,06325869315,5869316
7天优品酒店（滕州学院中路高铁站店）,,06325802999,
第二时间商务宾馆,,06325972777,5978989
怡莱酒店（滕州龙泉广场美食城店）,,06325237999,
长城宾寓,,06323978776,13563269877
同北宾馆,,06325154698,
墨誉轩宾馆,,15726378869,
格林豪泰商务酒店（滕州府前路龙泉广场店）,,06325853777,
汇丰宾馆,,06325913768,
佳美宾馆,,06325619866,
南环招待所,,06325154898,
迎源宾馆,,06322358248,
无锡宾馆,,15949943238,
巴里岛假日酒店,,06325082999,
鑫源宾馆（步行街店）,,13561122847,
欣泰宾馆,,06323973388,13370986698
天乐酒店,,06325621189,
会友农家院,,15163229888,
南海商务宾馆,,06325251799,
洪盛微湖商务宾馆,,06325615222,
鸿升宾馆,,13206325623,
永康宾馆,,13969439781,
忆家宾馆,,13863229753,15864457573
万佳宾馆,,18263268818,
滕州滕花宾馆,,06325266788,13581161986
如家快捷酒店（滕州善国北路政务中心店）,,06325650777,
福满楼宾馆,,06325250899,18006327259
万家水晶酒店（万朋店）,,06325682555,
天隆宾馆,,18863288882,
兄弟宾馆,,06325552859,
兰亭宾馆,,06325552639,18264200635
金城宾馆,,06324058789,
盛泰旅社,,13969499507,13581100908
东方国际儿童乐园,,18206501966,
天合商务宾馆（荆河中路店）,,06325250888,
万达旅社,,13361118062,
滨江国际大酒店,,06325233666,5258200
天浩宾馆,,06325860966,13280250666
德丰天天,,06325167888,
乐巢自助公寓,,15069477898,
鸿鑫宾馆,,13791417199,13863285815
金海湾洗浴中心客房,,15863218189,18663236633
六号会所,,06323911888,
南北旅社,,13606329180,
聚龙大酒店,,06325590599,
民族宾馆,,13562206420,
鸿运宾馆,,06325976188,
宜家快捷宾馆,,06323917776,
新生活婚庆金色大厅大酒店,,06325999997,
盈泰生态温泉度假村,,06325996777,5996196
鑫浩宾馆,,18263722381,
国威宾馆,,06325915521,
万家九隆商务宾馆,,06325582399,13370999488
同悦宾馆,,15165855111,
亿龙宾馆,,06325168686,
新兴假日商务宾馆,,06325985777,
蓝湾花园酒店,,06325151333,
汇鑫宾馆（鲁华店）,,13863260867,
荷谐宾馆,,06322607899,
龙建庄园,,06325980777,5980888
金悦国际酒店,,06325985888,
新苑大酒店,,06325688888,
艾尚公寓,,06325236222,
七星商务宾馆,,06325978888,
圣源宾馆,,06323970228,13563216983
洪源祥宾馆,,06325656086,
东亚连锁酒店,,13326320259,
海天商务宾馆,,06325818181,5818000
莲青山宾馆,,06322500001,
民族宾馆,,06325567609,
滕州饭店,,06325555999,
盈顺宾馆（长途汽车站店）,,15863227064,13863294135
菲特宾馆,,06323917666,
春华宾馆,,06325555878,5154669
德丰宾馆,,06325267288,
茂盛宾馆,,18264296829,13969485946
红荷酒店宾馆,,13465975389,
国泰宾馆,,06322221999,
荆泉商务宾馆,,06325521267,5852689
誉龙商务宾馆,,06325236399,
天成洗浴宾馆,,06325598566,
滕州迎宾馆,,06325269789,
隆裕商务宾馆,,06323958011,
善养居宾馆,,06325978899,
春蕾商务宾馆,,06325853366,
0632快捷宾馆,,06325812788,
钻石大酒店,,06325830099,5831199
天涯海脚商务会馆,,06325167588,
万豪国际度假酒店,,06325269999,
红太阳商务宾馆,,06325687197,13127224422
滕州宾馆,,06325828888,
滕州澳斯特酒店,,06322238888,
大东海洗浴足疗养生会所（客房部）,,06325588789,
静雅国际酒店,,06325808686,5808666
优诺商务宾馆（2店）,,06325251599,
百度假日酒店,,15763208926,
滕州饭店之星快捷宾馆,,06325555999,
爱尊客宾馆,,18266060626,
富院招待所,,06325150453,
鸿宇商务宾馆,,06323956075,
宏源宾舍,,15163278882,
优诺商务宾馆（1店）,,06325251599,
顺和商务宾馆,,06325081366,
富慧商务宾馆,,06325802188,
TaTa快捷宾馆,,06325555333,
南海龙宫宾馆,,06325166689,
华雅大酒店,,06322123999,
天祥旅社,,13656373199,
佳恒宾馆,,13869478588,
家乐宾馆,,13188922128,
红房子招待所,,06325159646,
政通宾馆,,06325995388,
茂源宾寓,,06325563666,15906327007
天顺旅社,,18363795161,
千贺宾馆,,06325612623,
昆仑山招待所,,06322439216,
澳龙宾馆,,06325522999,5817999
龙泉招待所,,13280227190,
龙泉宾寓,,06325515429,
家园旅馆,,06325555186,
佳家快捷宾馆,,06325380162,
恒生宾馆,,06325164666,
舒园宾舍,,06325561388,
国泰德丰商务宾馆,,06325167333,5267288
家和公寓,,18906371888,
鲁南大酒店,,06325668585,
赛纳河洗浴客房足浴,,06325230888,
静娴旅馆,,14763223060,
宏伟旅舍,,13062095183,
万隆旅社,,13296370588,
新华旅社,,13581125692,
荆南旅社,,06325699835,
龙泉旅社,,06325517109,
吉祥宾馆,,06325590722,
顺心宾馆,,06323958887,
祥瑞家庭宾馆,,13105114895,
富源旅馆,,06325510200,
万顺旅社,,13616376815,
金旺旅社,,15266187180,
盈泰宾馆,,06322289456,
长安招待所,,06325507016,
顺泰招待所,,063213963299,13963299165
微家旅社,,13210775552,
兴隆旅社,,15863234708,
腾龙招待所,,06325154575,
滕州红荷金润旅社,,15092474048,
顺航宾馆,,13869408921,
佳客来宾馆,,15092491151,
湿地渔家七号院,,06322610628,15165860390
泰源宾馆,,06325267799,
雷明旅社,,18265224566,
奥洁洗浴（客房部）,,06325850766,
金塔北休闲会所（客房部）,,06325555199,
广交大酒店,,06325514607,
湿地渔家八号院农家院,,13563297582,
管家公寓,,18263769696,18106375099
华滕快捷宾馆,,06325980868,15606378787
君满堂农家院（新华后街店）,,06325532399,
鲁班草堂度假村,,06322610699,18563215085
兴隆宾馆,,06322601732,
万顺旅馆,,13475235162,17863250487
金顺旅社,,06325150866,15949952212
八号农家院,,15263241808,
奥翔宾馆,,06325266636,
乐乐招待所,,13869416233,
荆家大院旅社,,06325887277,
客安逸旅社,,13963221848,
吉祥宾馆,,18268072697,
鑫源旅社,,06322104299,
陶然商务酒店,,06325609999,
格林豪泰（龙泉广场店）,,06325853777,
滕远宾馆,,06325637888,
舒星旅馆,,06325657678,
雅信招待所,,15863218485,
立国旅社,,06325537180,
鲁化涉外宾馆,,06322361075,
龙阳印象我家商务酒店,,06322033169,
国宏旅社,,06325160662,
滨港宾馆,,06325836588,13465960007
杨恒颐丰园大酒店,,06325569888,
大阳宾寓,,15966745004,
正华楼旅馆,,06323970586,
龙城宾馆,,06322100838,
亿客隆宾馆,,06325868961,
尚水轩精品酒店（滕州店）,,06325680599,
宏港宾馆,,06322127777,2128888
康源商务会所,,06322309888,
聚君乐宾馆,,06325154247,
北街旅社,,06325962563,
翔睿宾馆,,06325268366,
信息旅馆,,06322304181,
正安宾馆,,06323975910,
塞纳河商务会馆,,06325230888,
润龙宾馆,,06325688818,
双全旅店,,06325551906,
海升宾馆,,06325613753,18663286908
信泰宾馆,,06325635686,
舒心旅社,,13963238791,
小山里农家院,,06325818199,
金城招待所,,06325699578,
明珠旅社,,15069496462,
杏花村宾馆,,06325500892,
怡佳宾馆,,13062028083,
