姓,名,家庭手机,工作手机
新响水宾馆,,051586682988,15962012552
公园宾馆,,051586881989,
华盛宾馆,,051586869321,
庆丰旅馆,,18962016698,
都市118连锁酒店（淮河路店）,,051581189118,
宜家快捷酒店,,051589691268,13912594149
明珠宾馆,,051586875558,
百鹤园商务宾馆,,051589601111,
豪威宾馆,,15061678209,
陌上花开精品酒店,,15358225289,
温馨365宾馆,,18252298577,
金陵美食城客房,,051586685279,
嘉日时尚宾馆（黄河路店）,,051586892999,
非诚勿扰宾馆（幸福南路店）,,051586841888,
嘉日时尚宾馆（华城店）,,051586742222,
玉峰快捷宾馆,,051581581555,
海宁商务宾馆,,051589601888,
如意快捷宾馆,,13805119776,
肯定快捷宾馆,,051586628666,
绿岛商务宾馆,,051586711906,
东方宾馆,,051586878728,15851107215
大桥宾馆,,15358919579,
桃花源宾馆,,051568870808,
格林豪泰快捷酒店（响水金海长江路店）,,051586687888,
汉庭（盐城响水县店）,,051589681111,
津竹商务宾馆,,051586725777,
名驿商务宾馆,,051586616555,
响城之星商务宾馆,,051569806008,69806000
格林豪泰快捷酒店（响水汽车站店）,,051581580000,
锦绣铭晨快捷酒店,,15962018303,
如家快捷酒店（盐城响水金海路华都不夜城店）,,051586787777,
锦江之星（黄河路店）,,051568878888,
鸿源祥商务宾馆,,051586628788,
恒驿商务宾馆,,051569806555,13236113779
清沐精品酒店（盐城响水华阳装饰城店）,,051581189888,
益都精品商务酒店,,051581581899,
仁和假日公寓,,051586867988,15195199926
长江缘宾馆,,13584796588,18762505758
万豪大酒店,,051569801333,
7天连锁酒店（盐城响水金海路五洲宾馆店）,,051587066777,
速8酒店（响水金海路浙江商贸城店）,,051561068888,
响水镇新时代商务宾馆,,051586823888,
林林短租公寓,,13851109632,
东吴尚品连锁酒店（滨江路店）,,051586889998,15365678787
韵之恋主题宾馆,,15305119444,13512598777
维也纳酒店,,051586883996,89690000
尚客优快捷酒店（盐城响水清华园店）,,051586996666,
美华主题宾馆,,051589688830,
亚美假日宾馆,,051589609888,
皇廷商务宾馆,,051568878777,
锦海商务宾馆,,051589609388,
林业宾馆,,051589627555,
银都宾馆（黄河路店）,,051586688268,18961935118
帝豪大酒店,,051586886666,
富豪大酒店,,051568878787,
丽景假日宾馆,,051586869000,
格林豪泰商务酒店（盐城响水陈家港人民东路黄海路店）,,051587166998,
尚客优快捷酒店（盐城响水军民路店）,,051589687999,
怡家九九商务酒店,,051561067799,
峰林宾馆,,051582073931,
亚邦国际大酒店,,051581588888,61067888
天宇宾馆,,051586680377,
福港国际大酒店,,051582076666,
新金盛宾馆,,15251115693,
灌江大酒店,,051585077000,
苏苑宾馆,,051589601666,
好再来宾馆,,051586712663,
金湖湾宾馆,,051586787779,
响水迎宾馆,,051569803777,
金龙旅馆,,051586873683,
正洋宾馆,,13962012898,
滨江宾馆,,051586876333,
法苑之家,,051589697799,
供销宾馆,,18936293629,
大华宾馆,,051586822777,
双园林宾馆,,13770198818,
龙成宾馆,,18912591623,
亚美商务宾馆,,051586875001,15251119577
紫金山宾馆,,15358916687,
泓正商务宾馆,,051581585666,
神龙宾馆（庆丰快餐西北）,,051586865328,
旭峰宾馆,,051586811969,15251115929
福星老年公寓,,051586867158,
华福宾馆,,051586637777,
富康宾馆,,18762516372,
春雨大酒店,,051586837777,
富豪大酒店,,051586821022,13851143890
荣华宾馆,,13357999009,
天缘大酒店,,13512598789,
苏亿宾馆,,15251009985,
苏广饭店旅社,,051586741134,15358221090
金海宾馆,,051586686986,13912597855
佳源宾馆,,051589689606,
迎宾宾馆,,13962011066,
一勺香,,051586885062,
新翔宾馆,,13962008830,
小潘大酒店,,13851190067,15240366086
文亚烟酒店,,051586881754,
巨盛宾馆,,051586709999,
宝来宾馆,,051586717658,
豪廷商务宾馆,,051586619111,
甜木屋元宵（响水店）,,13770199311,
温泉宾馆,,051582078000,
浙商大酒店,,051582076777,82076666
天缘宾馆,,051589683888,
华夏宾馆,,15365678010,
龙都快捷酒店,,051581581666,
园林宾馆,,051586812019,
农家园酒家宾馆,,13912597929,
克立林宾馆,,051586711076,
锦江宾馆（滨江路步行街）,,13962012755,
汇源宾馆,,051586685555,
常盛宾馆,,15189323589,
金鹏宾馆,,051586865565,
华丰旅馆,,051586866022,
皇佳酒店,,051589689888,
欧亚商务宾馆,,18951485276,
环球宾馆,,051586864035,
花月宾馆,,15862018892,
福满楼大酒店,,051586611292,
车站宾馆,,18962018108,
加洲商务宾馆,,051569800555,
家湾宾馆,,051586711268,
港城园旅馆,,051586711609,
金一村快捷宾馆,,051586713688,
站北旅馆,,051586772246,86869818
梦园宾馆,,051586721201,
圆楼宾馆,,18051701886,
玉泉宾馆,,051589682666,
海林酒店宾馆,,15962014677,
三利饭店旅馆,,051582072468,
滨河美食府,,13851107580,
金阳宾馆,,051589685888,
四通宾馆,,13801413197,
人民旅馆,,051586811755,
镇中旅社,,051586612202,
海悦湾宾馆,,051586717188,
和谐宾馆,,051586981386,
同兵宾馆,,13179331099,
刘三宾馆,,051586862552,
龙华旅馆,,051586886456,
弘圣快捷宾馆,,051586686222,
香澜酒店客房,,18961933626,
广源宾馆,,051586871658,
长居宾馆,,051581187999,
宏铭旅馆,,15261937728,
阳光宾馆,,051586712163,
亨通宾馆,,18962017622,
裕锦阁旅馆,,051586712243,
大有旅社,,051586811088,
交通饭店,,13912544478,
苏北大酒店,,13182154444,
Homelnn怡家99城市旅店,,051587066789,
海红宾馆,,051586611126,
安静宾馆,,051582078008,
丽港宾馆,,051589623333,
金谷旅馆,,13851103015,
新时代宾馆,,051581189888,
新桥宾馆,,051584533888,
爱华旅馆,,051586812891,
交通宾馆,,15061435877,
方悦宾馆,,13196655266,
盐阜宾馆,,15061677077,13962011078
君豪大酒店,,051586650777,
