姓,名,家庭手机,工作手机
老海龟青年旅舍,,07158146888,15607244499
利平招待所,,13451094375,
金利宾馆,,07153396249,
三嘉壹商务宾馆,,07158388889,
幸福宾馆,,13886512865,
交友宾馆,,07153328011,
和谐宾馆,,07155063366,
天乐旅馆,,13972854828,
御景湾宾馆,,07156900399,
桂香时尚宾馆,,07158180878,
名港宾馆,,07156511668,
城泉宾馆,,07158181522,13789929189
圣泉宾馆,,13036180751,
君悦商务宾馆,,07152372999,
富桥大酒店,,07152361282,
枇杷青年旅舍,,18372702096,
兴隆宾馆,,07156356689,
茶花客栈,,15872064182,
九宫宾馆,,07152374808,15872844733
新都商务宾馆,,07152365666,
嘉化宾馆,,07156318373,
皇嘉宾馆,,07156066888,
千禧大酒店,,07152885850,
南雅商务宾馆,,07152363000,
银泉宾馆,,15872048618,
咸宁嘉和酒店,,07158262686,8262233
鄂南宾馆,,07158313988,
新天地宾馆,,07155356665,
锦航宾馆,,07158259568,15272741866
玉春宾馆,,07158266999,
瑞成宾馆,,07158136555,
云水遥商务宾馆,,07158271969,8262000
缘声宾馆,,07155365977,
宝汇商务宾馆,,07158324888,
彩虹宾馆（银泉大道店）,,07158902266,15172738578
温泉格林童话宾馆,,07158208176,
雅致旅馆,,07152505759,
温泉之星,,07158056777,
天佑宾馆,,13971809462,
新大桥酒店,,07156660968,18986637969
丽景商务宾馆,,07155882555,
华丽宾馆,,07158159688,
国武宾馆,,07158908212,
古风酒店,,07155786652,
兴业商务宾馆,,07152887866,
南湖宾馆,,07156668098,
百家信宾馆,,07158687229,15972380148
繁林宾馆,,07156661889,13797230959
佳丽宾馆,,07153328509,
金都宾馆,,15827928298,15972487368
0715商务宾馆,,07158067754,
升源商务宾馆,,07158250009,
泉鑫宾馆,,13042773386,
凯旋宾馆,,07156318086,
月湖宾馆,,07158876959,
金安宾馆,,07158150250,
李发旅社,,18872842586,
心悦宾馆,,07152370096,
中港城宾馆,,07155357123,
君豪商务宾馆,,07158828566,
红星宾馆,,18986617786,
凯景商务酒店,,07153901222,
桂花桥酒店,,07158217888,
高平宾馆,,07152386328,13476932016
天缘宾馆（明珠广场店）,,07158687889,
虹桥宾馆,,07158148868,13872161866
新丽宾馆,,13476907470,
青龙山商务宾馆,,07158728666,
佳人宾馆,,07158111989,18062320068
怡和宾馆（桂花西路店）,,13476870233,
阳光商务宾馆,,07158388181,
嘉鑫商务宾馆,,07158125258,
温泉饭店,,07158207866,
鑫源宾馆,,07155338168,
兴羊宾馆,,18942962475,15872043934
豪生宾馆,,07158320111,
昊元酒店,,07158878999,
福信宾馆,,07158618303,
岭南公寓,,07156668658,
锦江酒店,,07153817188,
白鹭大酒店,,07153307999,3307998
阳光商务宾馆（银泉大道店）,,07158069199,
美宜佳商务宾馆,,13872172136,
玉梯宾馆,,18971802505,
花坛宾馆（花坛社区）,,07158252555,
隐水农庄,,15207242816,
君乐宾馆,,13227209099,
杏花村招待所,,15335946896,
998商务宾馆,,07153068833,
颐园宾馆,,07156665688,
安丽宾馆,,07156899977,
8090商务宾馆,,07153333617,18934683857
凤凰宾馆,,07158339588,8515392
隆盛宾馆,,07158386366,
丽景商务宾馆,,07158317111,
聚鑫宾馆,,07158272929,
嘉鑫宾馆,,07156668168,
文昌宾馆,,15717240665,13545570738
丽都大酒店,,07152378999,18971807577
知青岁月养生公馆（原三江森林温泉公馆）,,18607248697,18608688797
碧芸天大酒店,,07153388888,
小金龙大酒店,,07158388011,
兴安酒店,,07158383666,
城西招待所,,18771261909,
阳光旅馆,,07158121288,15872876751
尚一特连锁酒店（文笔路店）,,07158337266,
温馨客栈（咸宁大道店）,,15671819528,
英德兰大酒店,,07153605999,
新华旅社,,15586809310,
迎宾旅馆,,07155365549,
华轩宾馆,,15872058798,
情缘旅馆,,13986620685,
湘泉旅馆,,15007241939,
吴群宾馆,,07158710011,
龙祥旅社,,07155219985,
嘉信商务宾馆,,07156668388,
九宫山工人疗养院,,13100690961,
广源经济宾馆,,07158256495,13329980495
平安宾馆（咸宁职业技术学院店）,,07158053399,18872830653
太乙乡泉农庄,,07158817558,15872778455
安宁旅馆,,13098353365,
麒麟宾馆,,07158901499,
友谊招待所,,13872198770,
浪花宾馆,,400833-6699,15997924768
长安旅馆,,07158375918,18942961998
尚一特连锁酒店（温泉店）,,07158182777,
南山宾馆,,18727832072,
富雅商务宾馆,,07153387799,3392199
咸宁尚一特连锁酒店（永安路店）,,07158718777,
芳芳旅馆,,13339870189,
鸿运旅馆,,13094197836,
开元旅社,,18934685035,
欣安宾馆,,13425174650,
心怡旅馆,,07158111632,
5+2精品酒店,,07155905252,
香城宾馆（茶花路店）,,15629940260,15697296680
春天宾馆,,07153328255,
宜邻便捷宾馆,,07158217877,
星星宾馆,,13986622910,
林业宾馆,,07158172899,18007247899
潜山旅馆,,15342669068,
小乔公寓,,07155353210,
益宾旅社,,13907248616,
福人宾馆,,07158376186,
光辉宾馆,,07155365899,
天成宾馆（中城路店）,,07158388618,
国华宾馆,,07155365295,15172732798
明月宾馆,,07158230785,
金廷宾馆,,07154632188,
泽鑫宾馆,,07158010499,
瑞鑫宾馆,,07158688396,
369商务宾馆,,07158200520,
佳鑫商务宾馆,,07158890555,
佳威假日宾馆,,07158876466,
金利宾馆,,07155338379,
双鹤宾馆,,07158268009,
梦实宾馆,,13307241881,
家园宾馆,,07155350233,
友谊宾馆,,18727761681,
大富豪宾馆,,07158890988,13451113045
金龙宾馆,,07158375929,
同兴宾馆,,07158154888,
泉都宾馆（咸宁大道店）,,07158890000,
泉都128商务宾馆,,07158893288,
白云宾馆,,07154355177,
宁虹商务宾馆,,07158316258,
安达宾馆,,07158316060,
凤城宾馆,,13451092326,
泳泉宾馆,,13329991887,15307249862
林河宾馆,,13329996089,13291678666
金桥商务旅馆,,07158335966,15671817033
桂乡泉宾馆,,07158893088,
立新宾馆,,07158726820,
润发宾馆,,07158209788,
泉城宾馆,,07158230666,18986611016
君安商务宾馆,,07152886599,
海之梦酒店,,07158908998,
都市快捷酒店,,07153903888,3903887
畔山居商务宾馆,,07158681758,
皇室宾馆,,07152397768,
金辉商务宾馆,,07158302688,15272728388
蓝色港湾商务宾馆（银泉大道科技学院店）,,07158182818,18986610898
景泰宾馆,,07155355115,
时代公寓宾馆,,15571522808,
君悦公寓,,07155225333,
如意人家宾馆,,07152817999,13329980888
老街坊宾馆,,07158208699,
万福商务宾馆,,07158891788,
红星商务宾馆,,07156521888,
聚缘商务宾馆（咸宁温泉茶花路店）,,07158256777,
寄舟客栈,,07158131345,15271301855
博园宾馆,,07158234788,18942962233
栖凤楼,,07152382389,
亚龙湾酒店,,07155358188,
龙共宾馆,,07153328058,
梦缘商务宾馆,,18972848327,
楚天宾馆,,07158386258,
安立宾馆,,07153688916,
丽晶时尚旅馆,,07158333802,
尚一特连锁酒店（鄂高店）,,07158043777,
阳光旅社,,07158340003,
子金城宾馆,,18807240733,13503024388
赤壁杨子宾馆,,07155885333,
锦江之星（咸宁银泉大道温泉店）,,07158828858,
中青旅山水时尚酒店（赤壁新街口商业街店）,,07155068777,
兴鑫宾馆,,07158618168,17371528850
建鑫宾馆,,07156669978,
怡芳宾馆,,07152063713,
金鼎宾馆,,07158827988,
荷塘月色商务宾馆,,07158217999,
鼎熙弘酒店,,07158247776,
晶都商务宾馆,,07158278111,
爱尔商务酒店,,07158067662,17762800089
玉鼎酒店,,07158910990,
江南商务酒店,,07154356588,
谌氏宾馆,,07154316998,
泉都行酒店,,07158273877,
玉源商务宾馆,,07156326555,
天丽商务宾馆,,07153902066,
迎麒麟宾馆,,15872872079,
香城假日酒店,,07158341555,
新雅宾馆,,07154816888,
恒通宾馆,,07154352777,
五月天宾馆,,07155360877,
英达宾馆,,07158069699,18972831752
天翊商务酒店,,07153327888,
通城杭瑞宾馆,,07154318333,13886536209
朝阳商务酒店,,07158716999,
金鑫宾馆,,18972821259,
城市便捷酒店（崇阳桃溪大道店）,,07153786288,3786688
凯撒商务酒店,,07154356111,
鸿肽商务酒店,,07158719888,
山水宾馆（长安大道店）,,07158116666,
群英会馆,,07155787896,
嘉鱼迎宾馆,,07156900588,
乘月商务酒店,,07158910888,
聚缘宾馆,,07158254521,
荣华山庄,,07158325256,
城市贵族商务宾馆,,07158147999,
南北饭店宾馆,,07158511402,13971808193
山水宾馆,,18471361281,13872177090
易佰连锁旅店（咸宁湖北科技学院店）,,07158189100,
榴莲小星快捷酒店,,07153397199,
隐水旅游宾馆,,15872067092,
美住便捷酒店,,07158211666,
电信时代酒店,,07155356888,
太子时尚酒店,,07155908888,
金莎假日宾馆,,07158901399,
宇轩宾馆,,07158375175,13257159795
咸宁左岸酒店,,07158117666,
大集酒店,,07153901588,
凯诚商务酒店,,07153896666,
金茂酒店,,07158068666,
海悦主题酒店,,07153330567,
盘龙商务宾馆,,07158346999,
温泉泉上泉宾馆,,07158151799,
通山县都市酒店,,13617153232,
皇家旅店,,07152389066,
二乔宾馆,,07156899688,
欣悦宾馆,,07156315123,
壹加壹宾馆,,07156668898,
锦泰大酒店,,07153325999,
T+智能酒店（咸宁火车南站店）,,07158201555,
雅斯特酒店（湖北咸宁崇阳店）,,07153325555,
蓝色港湾连锁酒店（潜山路店）,,07158183899,
福满来时尚酒店,,07158727777,8687978
尚一特连锁酒店（书台路店）,,07158112222,
三联商务酒店,,07156899777,
如家快捷酒店（咸宁银泉大道温泉店）,,07158138888,18627010402
鸿宇商务宾馆,,07158877555,
隐昌农庄,,18371523361,
怡尚商务酒店,,07153901166,
恒8连锁酒店（咸宁湖北科技学院店）,,07158222228,
金泉湾酒店,,07158260699,13872181257
金桥宾馆,,07153300500,13476944299
恒8连锁酒店（咸宁潜山路店）,,07158279777,
金豪酒店,,07153366111,
金豪宾馆,,07154818777,
雅斯特酒店（湖北咸宁温泉店）,,07158188666,13377842268
嘉鱼县新七天商务宾馆,,07156510666,
唯美主题酒店,,07153366999,3366777
通城县七天酒店,,07154069777,
天池假日酒店,,07158335111,
城市便捷酒店（咸宁咸安店）,,07158513888,
城市便捷酒店（咸宁城际铁路南站店）,,07158196333,
家悦宾馆,,07156666968,18007247565
千年宾馆,,07156333288,
瑞锦大酒店,,07158722888,
尚一特连锁酒店（金鸡山路店）,,07155289999,
新宜假日酒店,,07158316777,
天友商务宾馆,,07156321288,6666636
威尼斯国际酒店,,07154555666,
月星假日宾馆,,07158068168,
华晟国际酒店,,07154067888,4067889
城市便捷酒店（赤壁火车站店）,,07155902666,
宜尚酒店（赤壁永邦城店）,,07155068666,13971819819
城市便捷酒店（赤壁永邦城店）,,07155276888,
汉庭（咸宁火车站店）,,07158386777,
喜来客商务酒店,,07158683555,
格林豪泰商务酒店（咸宁火车站店）,,07158908111,
乐都主题酒店,,07152908188,2908189
环湖宾馆,,07156668399,17364158565
爱上主题酒店,,07158101222,18671589803
7天连锁酒店（咸宁银泉大道温泉店）,,07158066777,
咸宁万爱情侣主题酒店（咸宁店）,,07158266520,8299520
咸宁温泉碧桂园别墅,,13971800006,
天伦皇朝时尚酒店,,07158111444,
雷红主题宾馆,,07154337108,
尚一特连锁酒店（滨河路店）,,07152363678,
城市便捷酒店（咸宁嘉鱼人民公园店）,,07156666609,
秦桥客栈,,07154913111,
速8酒店（咸宁淦河大道二号桥店）,,07158259666,
咸宁百事达酒店,,07158728999,
莱克假日酒店,,07155065555,18671556048
中青旅山水时尚酒店（咸宁温泉店）,,07158186999,
麗枫酒店（赤壁高铁站）,,07155676888,
