姓,名,家庭手机,工作手机
家鑫商务宾馆,,07288236665,
城南商务酒店,,07283249092,
楚星连锁酒店（大新路店）,,07288206999,
天时商务宾馆,,07288876543,
兰林格酒店,,07283248777,
白云宾馆（宏达路店）,,07283311085,13597457779
永兴宾馆,,13094258870,
和平宾馆（建设路店）,,07288285788,
尚一特连锁酒店（小南店）,,07283273777,
8+8宾馆,,07288236788,
甘泉宾馆,,13872989721,
欣怡宾馆（宏达路店）,,13617282984,
月光宾馆,,13545984607,
旭东宾馆,,07283200066,15871877552
平安宾馆,,07288288179,
龙腾宾馆,,13687269950,13617283088
吉祥宾馆,,18872321978,13451126783
蓝天宾馆,,13396018897,
景天时尚宾馆,,07283285588,
鑫雅商务宾馆,,15827990563,
都市便捷酒店,,07283331122,
大富豪宾馆,,13807226915,
海凡星快捷酒店,,07283209188,
瀚庭公寓,,07288231888,
博龙宾馆,,13972944021,
新宇宾馆,,07282691148,
华宇宾馆,,07282768108,
满堂红宾馆,,07283601122,
快乐宾馆,,13396011827,
礼义宾馆,,13377938822,
168宾馆,,07283606555,
好运来宾馆,,07288216232,
居佳快捷酒店,,13277457745,13545984088
纽繁希酒店,,07283241999,
明珠商务酒店,,07283492777,
觅·精选连锁酒店（仙桃一中店）,,07283316166,
金芒果酒店,,07283262222,13597401711
星云大酒店,,07283322888,3311764
杜湖宾馆,,13886985039,
丽馨宾馆,,07283316898,
新发现宾馆,,07283252296,
鑫盛商务宾馆,,07288879966,
糖果假日酒店,,07288232333,13277692913
金海岸酒店（仙源大道店）,,07283236222,
龙阳精品酒店,,07283310888,
天河宫宾馆,,07282616118,15971981948
栀子花开酒店,,07283318899,
蓝星精品酒店,,07283229399,13597419933
思慕主题酒店,,07283603666,
居佳精品快捷酒店,,13035378747,
飞翔宾馆,,07282773333,
鸿运宾馆,,07282721108,13986920294
唐人商务宾馆,,07283231889,
玉兰花商务酒店,,07283230088,
君来宾馆,,15607226660,15926093888
纽伦堡宾馆,,07283216555,
豪泰酒店,,07288876929,
避风港宾馆,,07283209998,
电力宾馆,,07283263333,
追风宾馆,,07283234522,
天悦商务宾馆,,07282658899,
同乐商务宾馆,,07288215888,
金百合宾馆（汉江路店）,,07283330906,13593918498
金鑫宾馆,,07288230555,
安居易快捷旅店,,07283209988,
东方快捷宾馆,,07283202020,
星城国际宾馆,,07288875222,
本家商务宾馆,,07283206777,
三三酒店,,07283232333,
楚星连锁酒店（宏达路店）,,07288234555,
鑫源宾馆,,07283311088,
格兰假日酒店,,07282619999,15586323222
V9连锁酒店,,07288215999,
众泰宾馆,,13135999288,
天伦酒店,,07283261333,
城市便捷酒店（仙桃大道店）,,07288202888,18771157502
尚一特连锁酒店（客运站宏达路店）,,07283266111,
宏达酒店,,07283321888,3321666
鑫都宾馆,,07283248905,3250555
仙桃纽芬兰酒店,,07288284555,8284863
希缦酒店,,07288212688,
城市便捷酒店（仙桃地税店）,,07283230222,15827985373
神龙宾馆,,07288201888,
华云大酒店,,07288219219,
星辰宾馆,,07288287988,13597400973
船码头宾馆,,07283225857,
极客精品酒店,,07283269555,
桃花岭酒店,,07288219855,
嘉源商务宾馆,,07283236888,
慕梵酒店,,07288211111,
吉楚月亮湾大酒店,,07283229666,18727337394
城乡客栈,,15327865573,13822220718
沔街国际大酒店,,07288880888,
三缔时尚酒店,,07283273188,
麗枫酒店（仙桃新天地国际广场店）,,07288872777,
凡客假日宾馆,,07283335500,
澜柏湾酒店,,07283333819,
圣庭苑酒店,,07282883666,
副食宾馆,,18771172364,
悠然时光宾馆,,15926081858,
海凡星精品酒店,,07283241666,
高俊宾馆,,18307282935,
老黄宾馆,,072818771159,18771159280
玉田宾馆,,07283312188,
豪杰宾馆,,13617282223,
永兴商务宾馆,,13385223979,
恒凤宾馆,,07282612965,
好梦宾馆,,13085126739,
康居园宾馆,,13407229869,
天王宾馆,,07288215866,
凯吟谢酒店,,07283260999,
东方华府宾馆,,07283209888,13135992268
诺曼假日酒店,,07283224222,
宾归旅馆,,07282832383,15027323932
田水湾度假村,,07284509966,
天欣宾馆,,07283311588,
顺馨宾馆,,07283315588,
罗湖宾馆,,07283321266,
瑞珀酒店,,07283285999,
金发宾馆,,07288873598,
黄金新时代酒店,,07283608222,
锦泰商务宾馆,,07283499555,13647289991
馨怡园酒店,,07283279666,
好时光宾馆,,07283256222,
茉莉花开连锁酒店（仙桃复州路店）,,07283328688,
豪峰大酒店,,07288208999,
鑫家宾馆,,07283339688,
楚天便捷酒店,,07283259185,
义门宾馆,,072813789911,13789911151
秦闵宾馆,,07288239777,
仙桃仙苑国际大酒店,,07283232999,
兰兰宾馆,,13339708596,
一福酒店,,07282650588,
金福宾馆,,07283323608,
星月宾馆,,15307226738,18995986908
仙奥宾馆,,13407299223,
天缘宾馆,,15027338288,
平安旅社,,13163264998,
丹妮斯宾馆,,07283332229,15586344619
金盛酒店,,07283205666,
佳缘宾馆,,13886997070,
花源酒店,,07283225668,
泰鑫酒店,,07288870888,
文鼎宾馆,,07282619199,
景江大酒店,,07282765222,
欧喜得精品酒店,,07288283999,
温馨宾馆（沔阳大道店）,,07283248674,
鼓楼宾馆,,07288231555,15871882990
瑞鼎商务宾馆,,07288283888,13545980997
军民宾馆,,18672820809,
茉莉花开连锁酒店（何李路店）,,07283600662,
馨怡宾馆（宝馨花园店）,,07283317577,13789910462
夏威夷酒店,,15172371655,
大卫酒店,,13477434179,
豪庭商务宾馆,,07288200555,
友佳宾馆,,07283229911,
泰森龙商务宾馆,,07283254688,
阳光宾馆（职院店）,,15307229391,
香江宾馆,,07283218988,
锦怡旅馆,,13997999308,
佳美酒店,,07288889666,
金帝宾馆,,07282832666,
天麟宾馆,,07283605678,
金鼎商务酒店,,07283281651,
和顺酒店,,13597455750,
凤凰酒店,,07283312369,
天发宾馆,,07283224882,
柏林宾馆,,07288282485,13907226813
台北印象酒店,,07283217999,
总商会商务会所,,07283282588,
毛嘴宾馆,,13972948889,
仙桃市文化园接待中心,,07283200006,
云顶酒店,,07283233333,
静园宾馆,,15334208001,
义和宾馆,,07283260666,
甘福商务宾馆,,13597405389,
澜柏湾宾馆,,07283273111,
阳光宾馆,,07283227202,
喜来登宾馆,,13593916586,
华冠酒店,,07283237777,
宏伟商务酒店,,13697370336,
青青家园酒店,,07288237888,
运7酒店,,07283336767,
枫林晚宾馆,,07283320333,
五湖酒店,,07283263166,3243288
唯爱主题宾馆,,07288286663,
天怡大酒店,,07283266888-2,
龙华山大酒店（客房部）,,07283221888,
鑫珠宾馆,,13617283388,
仙桃金港湾大酒店,,07283333888,
天赐商务酒店,,07283253599,
兰馨酒店,,07283266999,
怡家商务酒店,,07283336777,
168休闲客栈,,07283220111,
汉江酒店,,07283226388,
和合国际大酒店,,07288878888,
520时尚酒店,,07283258520,13872989809
333时尚宾馆,,07288284333,
怡家国际酒店,,07283604888,8216666
速8宾馆,,13597455879,
