姓,名,家庭手机,工作手机
静馨驿站,,15536480290,
AQ商务主题酒店,,03587903888,
驿旅阳光,,18334852291,
幸福驿站,,15835869217,
鸳鸯日租房,,13294650100,18735882453
温馨家公寓,,18234855512,18235844451
海中金假日酒店,,03585569567,
优乐美主题酒店,,03587839688,14797439811
天福乐途酒店,,03587888555,
IU酒店（吕梁孝义振兴街店）,,03588883777,
悦居酒店公寓,,18335813581,
福康休闲会馆,,15935824285,
万家快捷酒店（建设街店）,,03582145222,
紫玉山庄,,03587649998,
康发宾馆,,03587696888,
卡奇158快捷酒店,,03585585755,
新浪洗浴中心,,03587809555,
金溪宾馆,,03587628073,18035852345
星呈酒店,,03583587999,
红桔子酒店,,03587829666,7829555
威乐家公寓,,03582880777,
会鑫宾馆二部,,03587646555,
锦华酒店,,03587698678,
嗨友酒店,,03587671555,5585688
汉庭（孝义大众路店）,,03587665999,
能源贵宾楼,,03587654888,
万方酒店,,03582139999,
越兴公寓（悦居店）,,03587866333,13283675617
美客每家酒店,,03587866677,13044486926
尚客优连锁酒店（孝义4中店）,,03585583666,
华都大酒店,,03587614555,
晋徽園,,03587827678,
舒捷酒店,,03582882228,15903586051
新云泰宾馆,,03587888787,
丫丫的小屋公寓,,18334868793,
星旺宾馆,,03587613889,13935814272
快捷酒店,,13834765547,
孝义帝豪酒店,,03587839999,
二十四层休闲公寓,,03587901555,18235839567
宝宏大酒店,,03587609666,
鑫馨源宾馆,,15721688243,
浪漫满屋,,15935881778,
浴家语浴休闲会馆,,03587620555,
鸿福龙洗浴中心（客房部）,,15525807855,15935243520
新世纪快捷酒店,,03587677771,
“爱尚”家庭式日租房,,15035399336,
天源浴宫,,03587896733,15835882073
福祯旅店,,18035823371,
凤凰浴苑,,15603586111,
能源大酒店,,03587614888,
独一家日住房,,15534314883,18635807878
天泽宾馆,,15235888852,
淑馨家庭式日租房,,15035399336,
鑫源泰酒店,,03587846777,
海城洗浴客房,,03587621333,13753815666
祥和苑宾馆,,03587842000,
乐泉洗浴（客房部）,,03587833090,
永尔源商务会馆,,03587868222,
心雨日租房,,13293670339,
欣泰宾馆,,13753815504,
沁园春商务会馆,,03587634999,
孝义东兴酒店,,03587625678,7620000
云宫宾馆,,03587833552,
四海宾馆,,15735875222,
老地方酒店公寓（封家峪店）,,15234838886,15534307288
谷丰宾馆,,03587622792,13293581087
鑫都招待所,,03587641448,
孝柳阳光大酒店,,03582131888,2131666
嘉峪商务酒店,,03585568666,
凯华招待所,,03587625532,13111183142
宏泰宾馆,,03587625100,18735893088
莱特宁洗浴（客房部）,,03587673567,
东泰海外海大酒店,,03587660666,7845555
三皇水一方生态园林景观酒店,,03587842888,7842666
商务宾馆,,03587614389,
上善若水酒店,,03585588023,
祥云港洗浴宫（客房部）,,03585584111,
A家连锁酒店,,03587677888,
舒雅日租房,,15835800683,
博邺宾馆,,15383488203,
舒心宾馆,,18235819752,13293846077
华仙宾馆,,03587622870,7896666
晟龙招待所二部,,03587625966,
铜锣湾水疗休闲会所,,03587695999,
孝宏快捷酒店,,03587621785,
禹瑞快捷酒店,,03582141111,
和源商务快捷酒店,,03587613333,
泽利源会馆,,03587845777,
九洲洗浴,,03587863456,
楼东大酒店,,03587629997,7629669
南方宾馆,,03587877573,15234825099
清华港宾馆,,03587649999,
长春大酒店,,03587829999,
税务宾馆,,03587885555,
浴兴宾馆,,03587630010,
银山宾馆（永盛路店）,,03587623661,
长兴莊宾馆,,03586451842,
温馨家庭公寓,,13753807963,
天舒招待所,,400833-6699,
富通旅馆,,15603585807,13834765392
和谐休闲会所,,03587617801,
祥和旅社,,13663580500,
爱の之初家庭宾馆,,18634686555,
笑笑来宾馆,,03587614595,13861517927
吉庆海之蓝天酒店,,15835800215,
平安旅馆,,03587624127,
鸿泰源婚礼主题酒店,,03587641789,
温馨旅馆,,13546258529,
金帝来休闲洗浴会馆,,03582135888,
兴隆旅社,,03587810405,
晓刚旅店,,13753347323,
世平住宿洗浴,,15035836889,
日升招待所,,03587877330,
旺盛旅馆,,13994837966,
居義大酒店,,03587636113,
天天红（建设街店）,,03587689898,
123招待所,,03587623633,
新鑫源宾馆,,03587652364,
名士休闲会馆,,03587610787,
兴旺酒店,,03587635800,
新浴滩,,03585451248,
孝义小酒店,,03587699999,
笑笑宾馆,,03587666664,
渤海湾酒店,,03587608999,
悦居养生公寓,,15235829535,
