姓,名,家庭手机,工作手机
鼎成商务宾馆,,07973312168,
我行我宿商务酒店,,07973371666,
华天大宾馆,,07972055666,
新万豪宾馆,,07973333033,
安泰商务酒店,,07973331119,
新世纪商务酒店,,07973379666,3326688
君豪商务宾馆,,07973371888,
尚品酒店,,07972053999,2053333
丽阳青年旅舍,,15297869636,
逸东宾馆,,07973361678,
金东宾馆,,07973368588,
云来酒店,,07977102888,
一如酒店,,07972299777,
豪尚商务宾馆,,07973397333,
晶都酒店,,07973375988,
金牌大酒店,,07973305666,18720881264
卓米酒店,,07973333999,3231888
宾利快捷酒店,,07973330566,
信丰迎宾馆,,07973301068,
新田酒家,,15579779716,
橙子精品酒店,,07973332777,
城北大酒店,,07972298666,
半岛商务宾馆,,07977107666,
京都大酒店,,07972051888,
真橙宾馆,,07972058666,
豪日子宾馆,,07973372188,
御品大酒店,,07973318888,
圣塔宾馆,,15879747604,
金嘉商务宾馆,,07973396866,
天宫二号商务酒店,,07972299188,
麦饭石大酒店,,07977303666,7303999
华星商务宾馆,,07973308622,
米兰生活酒店,,07973397199,
海纳时尚宾馆,,07972055777,2055789
潮信宾馆,,07973331272,
信丰桃江大酒店,,07972055555,
蓝凯商务宾馆,,07973318661,
观舟商务宾馆,,07973339718,
丰盛商务宾馆,,07973363898,3363899
阳光大酒店,,07973221999,
宝辉酒店,,07973395288,
蓝湾时尚宾馆,,07972052222,
千百度商务宾馆,,07973320333,
名钻假日酒店,,07973382288,
溢丰宾馆,,07973317078,
银鑫宾馆（原银海宾馆）,,07973334808,3334888
悦达宾馆,,07973338699,
西江假日酒店,,07973395333,
信丰金座大酒店,,07973395555,
怡嘉假日酒店,,07973396999,
怡嘉假日酒店（新民路店）,,07973390888,15879785158
金假日商务酒店,,07973377668,
君临宾馆,,07973378778,
信丰金钻商务酒店,,07972919888,
安静商务宾馆,,07973396123,
锦绣大酒店,,07973377518,
华辉宾馆,,18576032978,
满庆芳宾馆,,07973331057,
巴黎商务宾馆,,07977109977,7109966
诚信宾馆,,15270687149,
华瑞宾馆,,07973327998,
春蓝商务宾馆,,13907070505,
阳明宾馆,,13397079158,
宜春宾馆,,07973330188,
党校宾馆,,07973362218,
春来宾馆,,13767786816,
美家乐酒家,,15679775365,
家酿水酒店,,13097326681,
望江楼酒店,,07973382877,
君悦商务宾馆,,07972605788,
国泰宾馆,,07973339770,
金鼎皇朝商务宾馆,,07973341188,
信丰莲花旅馆,,07973330967,
雨浓旅馆,,15270709458,
信丰旅社,,07978539591,
新月湾宾馆,,07977101198,
星云宾馆,,07973301156,
悦来宾馆,,07973379280,
白天鹅商务酒店,,07973379366,
城南宾馆,,18979731597,
花园大酒店,,07973303666,
悦来客栈（建设路店）,,400833-6699,
龙祥商务宾馆,,07977109988,
顺达宾馆,,07973330962,
春丰宾馆,,07973319916,
玉丰宾馆,,07973310418,
福龙宾馆,,07973339280,
伟运宾馆,,07973306777,
东方宾馆,,07973339058,
东信大酒店,,07973365588,13576771199
君佳乐商务宾馆,,07977101088,
常青宾馆,,13763919646,
客家宾馆,,15970709805,
富利华商务宾馆,,07973314818,
顺丰宾馆,,13979730461,
红金橙宾馆,,07973374566,
馨悦宾馆,,079715870739,15870739113
香万家宾馆,,07973332066,
天一宾馆,,07973332888,
贵临宾馆,,07973379538,
朋客来旅社,,18779732848,
银河宾馆,,15970920185,
鸿运宾馆,,13607077227,
新信商务酒店,,07973337066,
金赣宾馆,,07973374999,
中华宾馆,,07973333690,
