姓,名,家庭手机,工作手机
潢南宾馆,,02487686666,
帅府旅店,,02462271776,
美国郡温泉度假公寓式酒店,,13940044885,
程程管家公寓,,13940196033,
新合旅店,,18240399000,
美国郡猫儿温泉公寓,,13504942567,
水帘洞温泉公寓,,13478300927,13940246677
英达快捷旅馆,,02487501088,
瑞丰快捷宾馆,,13709819991,15542241233
美国郡小城温泉公寓,,13604075216,
兴旭旅馆,,02487460919,
西城国际日租公寓,,13700040373,
紫薇星宾馆（工人街店）,,02487561888,27526888
欧逸快捷旅馆,,02427506789,
弘扬快捷宾馆（连锁二部）,,02487859888,
兴东快捷宾馆,,02487461888,
宏鑫快捷旅馆,,02462993255,
新弘扬快捷连锁宾馆（六部）,,02462275377,
美国郡快乐8温泉主题旅馆,,18640315366,13998116425
弘扬快捷宾馆（一部）,,02487516821,
美国郡温泉康乐源会所,,02487463211,13998891282
龙源美国郡温泉公寓,,13998819064,
雅居美国郡温泉公寓日租,,13998819064,
美国郡温泉日租房,,15040147660,
如家快捷酒店（沈阳新民辽河大街店）,,02427850086,87650000
如家快捷酒店（沈阳新民火车站店）,,02427622999,
美国郡温泉养生会所,,15840099879,
美国郡温泉客房,,15142096887,
华都宾馆,,02427506600,
小凡之家温泉小栈,,13897988766,
迷你景观温泉养生别墅,,13840073076,
美国郡微笑温泉公寓,,13704037315,
美国郡温泉公寓,,15840535707,
晨曦温泉公寓,,15142528225,
沐泉美国郡温泉会所,,13889270499,
泉水叮咚美国郡温泉公寓日租,,13352461757,
鑫龙美国郡温泉别墅,,13840209338,
美国郡鸿雁温泉度假别墅,,13940413428,
美国郡鸿睿温泉度假别墅复式公寓,,13352483888,
美国郡温泉酒店,,18624334922,
美国郡鸿雁温泉会所,,13940413428,
馨浪温泉公寓,,13704029901,
美国郡温泉度假别墅,,18842497541,
弘扬快捷宾馆七部,,02487509588,
七月快捷宾馆（两洞桥店）,,02487600000,
弘扬快捷宾馆连锁（五部）,,02487538753,
七星宾馆（辽河大街店）,,02487416666,
飞龙宾馆,,02487649666,
天阳庄园农家乐,,18940187236,13332495808
美国郡天下宫温泉度假别墅,,13238831784,
双新快捷宾馆,,13940556222,13478377773
金芒果宾馆,,02487854455,
品乐汇美国郡温泉假日酒店,,18640315366,
沈阳美国郡温泉Boss波士汇度假别墅酒店,,13166665105,13504004388
七月快捷旅馆（一部店）,,02462371111,
心淼美国郡温泉公寓,,13840209338,
新民夜谱日租公寓,,18202437666,15040143631
美国郡温泉公寓别墅,,15040097274,
我爱我家公寓,,13898857337,
金宝温泉宾馆,,02466950765,15040068385
百川商务旅馆,,02487695000,13940567601
悦悦旅馆,,02427611891,
美国郡好再来温泉驿站,,13804069515,13904014132
粉爱慢生活主题酒店,,02427515127,
美国郡温泉如意客栈,,13998891182,13998891282
七月快捷宾馆（阳光园店）,,02462372222,
文隆美国郡家庭温泉,,13998893819,
弘扬快捷宾馆（市府路四部）,,02427856661,
美国郡温泉公寓,,13940413428,
农机宾馆,,02487514788,
温泉宾馆,,18624334922,
嘉奕旅店,,02487555588,87508788
温馨旅店,,13166602113,
追梦楼家园旅馆,,02487460107,
美国郡逸水轩温泉别墅,,15140001280,
新民美国郡赛多纳温泉度假酒店,,02487465556,87468989
畅馨园酒店,,02487557770,13940109990
假日温泉酒店,,02427626565,
美国郡温泉BOSS汇轰趴别墅,,13166665105,13504004388
星墅宾馆,,02487458989,13604188177
金玉温泉会所,,13609810119,
爱沐美国郡温泉公寓,,13804014081,
新民日租房,,13940556222,
丽景温泉宾馆,,02487462000,
紫薇星宾馆（辽河大街店）,,02427852999,
金匯温泉宾馆,,02462969999,
金提娅宾馆,,02427851111,
金阳旅店,,02462276184,
美国郡金润温泉会所,,18643659999,
速8宾馆,,02462374488,
25小时时尚旅馆,,02427856226,
祥和公寓,,15140295178,
鑫红运旅馆,,18624314355,
祥和温馨公寓,,15140295178,
泓茗泉宾馆,,02462966777,
安心公寓,,15140295178,
爱森海公寓（一部）,,15040014633,
祥和公寓,,15140295178,
平安旅店,,02462371887,
赛梦主题宾馆,,15998800941,
沈水马业酒店,,02482211185,
迎宾馆,,02487859933,87858118
顺民旅店,,02487533599,
城乡旅社,,02487508858,
仙子湖光振农家院,,02487634106,
特色榻榻米洋房短租公寓,,18204057165,13889274007
甜甜日租房,,18202407170,
美国郡别墅,,13898124229,
驿旅阳光温泉公寓,,15104038747,
馨雅温泉会所,,17071341967,15940080911
齐齐哈尔鑫焱旅店,,13945207871,
馨馨短租公寓,,13514252999,
恒隽阁旅馆,,15998362862,
鑫缘旅馆,,15040026696,
五福温泉别墅,,13694185117,
比家馨便捷旅馆,,13840320010,
浪漫满屋家庭日租公寓,,15840095444,
东润旅店,,18602408127,
flxfcm主题温泉旅馆,,13504902248,
凤岐旅店,,02462371039,
四叶草旅馆,,02462375666,
燕北旅店,,02462271399,
鑫源旅店,,02487511875,
月亮湾旅店,,02427610377,
冯府旅店,,02487401644,
广发旅店,,02462373380,
又一天旅馆,,02462379455,
伊缘旅店,,15040306788,
佳林旅店,,13998300112,
九利旅店,,02462273637,
高隆旅店（工人街）,,02487854811,
金川快捷旅馆,,02427856677,
家和兴旅店,,02462370707,
