姓,名,家庭手机,工作手机
西塘青春驿站临河客栈,,18858349789,
追忆西塘主题客栈（原长乐宾馆）,,15757352968,13656622968
西塘云韵阁客栈,,13625735121,
阳光花园情侣酒店,,13625836470,13396733898
西塘柒年后青年旅舍,,15257330443,
嘉兴风雅澜庭精品庭院客栈,,17769600312,
如果有一天主题客栈,,13251936139,
西塘好梦缘主题精品客栈,,13666740234,18257384089
95年精品主题酒店,,17757339595,18905731150
朝阳阁临河客栈,,13905833084,
澜·舍情侣主题客栈,,18268306116,
西塘岁月主题客栈,,13957347601,15268306336
西塘太和青年旅社客栈,,18268366332,
爱丽丝漫游忆栈,,15957303391,
Sunshine花园酒店,,13396733898,
西塘壹生缘主题客栈,,13758064888,
十年精品客栈,,13615831805,
西塘梦的彼岸主题客栈,,18064723338,15372358983
西塘南水精品客栈,,18857378793,
西塘105主题客栈,,15157395303,
西塘何以•笙箫默客栈,,057384578457,13861711553
江南风情客栈,,18268382517,
西塘木林森客栈,,13626730621,
光阴且慢客栈,,13567305863,
西塘柠柠客栈,,15968364983,18067016596
西塘梦途驿站客栈,,18064727599,
西塘壹号公馆,,13625860698,
时光之旅客栈,,13787175720,
星月主题客栈,,13626738169,
西塘缘分星空主题客栈,,13967376065,
小庭雅园,,15958355775,
西塘自然醒客栈,,15824327296,
梦在江南客栈,,13456779570,
转角别院精致客栈,,15824367002,
西塘枫叶阁精品客栈,,13615731103,
水韵雅庭主题客栈,,15958358484,
太阳的后驿主题客栈,,15157393720,
西塘精品主题客栈,,18367380986,
云水间临河客栈,,13484150115,
柠檬树主题客栈,,13615737541,
西塘泊澜庭院主题客栈,,15857396189,
西塘香榭俪舍度假公馆,,15167361983,15167362983
西塘水岸庭院精品客栈,,15824368488,
夏沫主题客栈,,15190248313,
西塘江南王氏人家客栈,,13575321610,
阳光水岸精品客栈,,13616730919,
西塘清风客栈,,15157393720,
西塘闲云客栈,,13600569433,
西塘一米阳光精品客栈,,15968324279,
忆梦西塘精品客栈,,18358379323,
西塘水乡别苑客栈,,18857373383,
西塘卧龙仙居精品客栈,,18157310022,
漫果临河庭院客栈,,18957318612,15957113029
吕氏庭院,,13819413508,
西塘云佳客栈,,13626737302,
D5G主题客栈,,13484161533,
乐巢主题客栈,,15372358983,13616732322
西塘函草苑·雪莲小院客栈,,057384631085,13606839097
妖哥家主题精品客栈,,18657360996,17757373126
西塘碧玉阁客栈,,15967346036,
西塘庭院客栈,,18868362686,
西塘四季庭院客栈,,18357221108,
克拉之恋主题客栈,,13456372882,
盛夏光年客栈,,13456316830,13616836334
西塘安信客栈（二店）,,13616837906,
西塘艺雅精品主题客栈,,18268307997,
荷塘水岸精品客栈,,13758322978,
尽享西塘精品客栈,,13586480470,13656625568
忆家别院,,15988365288,18858368352
西塘缘渡精品客栈,,057384571338,15958375338
九份爱精品客栈,,18258336580,
春暖花开客栈,,18868302111,
西塘远航主题客栈,,18868336865,
金色港湾客栈,,18662561227,
感叹号庭院客栈,,13736468100,15257282200
怡家小院,,13645739436,
三生三世，十里桃花,,15958355775,
平价客栈,,15268313020,
西塘宜家精品主题客栈,,18357203081,
后花园临河主题酒店,,13429680399,
水月客栈,,15157393720,
西塘望湖主题客栈,,13646739962,15858368962
幸心主题客栈,,13484161533,
西塘水陌精品客栈,,13758305576,
似水江南临河设计酒店,,17189898787,
西塘云峰精品度假会所,,18268307997,
湖宾庭院客栈,,13736468100,15257282200
西塘宜家阳光主题客栈,,13957303282,
喜立方精品客栈,,15020149994,
烟雨楼台庭院客栈,,13575342905,
西塘万客来客栈（2店）,,15968314798,
立夏·西塘主题客栈,,13906732326,
鹿途Hotel,,13656602468,13777387522
嘉里雅院精品客栈,,15201782878,15257304678
君逸小舍客栈,,18367229114,15988357355
西塘时光小镇客栈,,15068321451,13456312625
春天里主题客栈,,15098339832,
沐水居庭院客栈,,13456307673,
西塘时光客栈,,13666756279,
星雨阁庭院客栈,,13616730100,
西塘彩云间客栈,,13758088747,
小塘·西遇精品客栈,,15757315624,
西塘千与之家客栈,,13586406272,
西塘水韵阁客栈,,15824322637,
西塘水岸阳光客栈,,13586321136,
爱西塘景区客栈,,13575450374,
梦之家主题客栈,,15355202868,15958695995
凌河别院精品主题客栈,,15325310777,
西塘人在囧途精品主题客栈,,18367602088,
西塘河畔临河庭院客栈,,15771779977,18957313201
西塘空中花园精品客栈,,18868300550,
新概念精品客栈,,18868342200,
柳溪花园精品客栈,,13600551058,
西塘海豚湾客栈,,15888335255,
龙门主题客栈,,15067323229,
西塘花梅小筑主题客栈,,13758365854,
西塘七彩公寓精品主题客栈,,15858300022,
西塘庄园园林客栈,,15372303258,
安之若宿精品客栈,,13967316273,
西塘鸿庭客栈,,18358397879,18357221108
梦幻星空主题客栈,,13732592158,
西塘梦圆主题客栈,,15858320588,18867681789
古镇第三客栈,,13586414867,
江南一梦庭院客栈,,15157335551,
西塘蘭庭（精品临河房）客栈,,15958326896,
渔人码头客栈（临河店）,,13615834571,
月下西塘主题客栈,,15325323580,
西塘金悦主题客栈,,13666767607,
恋·西塘临河精品客栈,,15167396946,
西塘晚居主题客栈,,15167303232,
幸福时光主题客栈,,13600553787,
西塘江南时光客栈,,13758331801,
西塘碧云天客栈,,18875878566,
遇见·95年精品主题客栈,,18905731150,
西塘古情景院,,15167353919,13857307638
鲁家桥客栈,,15824332946,
木子屋主题客栈,,15757312400,15757315400
疯人院客栈Crazy House,,15968386909,
西塘水玲珑印象临河客栈（景区品雅店）,,15325310777,
江南依梦主题客栈,,13456201555,
小隐3D艺术客栈,,17796597700,
小河边精品临河客栈,,18057322220,
西塘小城春色主题客栈,,18857351398,15157349759
1988庭院客栈,,13666762516,
亲爱的西塘客栈,,15757324189,
西塘青帘庐客栈,,13758367602,
西塘乐居主题客栈,,13867329880,
西塘爱情海酒店,,18157350953,
那些年主题客栈,,15824396370,
西塘植物记忆别院,,18105736050,
回头客客栈,,13626730621,
西塘悦荷主题客栈,,13185307231,
蜜汁微笑精品客栈,,18868323609,
缘遇主题客栈,,13655737786,
西塘563客栈,,13396733898,
西塘故事8090客栈,,13486080288,
西塘兰庭精品客栈,,13484106252,
西塘园梦客栈,,057384564254,13867339670
西塘闲逸居客栈,,18967306852,
西塘百度精品客栈,,18157331873,
西塘梦缘客栈,,18967398680,13666774544
西塘郦之佳客栈,,13666747501,
西塘景区内平价客栈,,13666739090,
夜泊客栈,,18868335196,
C部落主题客栈,,15355205508,
西塘孙小苗庭院客栈,,15205731610,
西塘遇见爱客栈,,13305733407,13516733313
海涛主题精品客栈,,13758331641,
独家记忆主题客栈,,057384567554,
西塘美好时光青年主题客栈,,18069674188,
小河时光客栈,,18058421512,
星光主题客栈,,15958358484,
西塘枇杷小院,,18367327271,
钱塘河畔客栈,,18069673982,
西塘可可亚客栈,,15990337193,15067305055
遂意亭客栈,,15958309917,
西塘84号公馆,,057384111385,18969315212
西塘诗域精品酒店,,13916054911,
恋江南客栈,,13736417068,
西塘•蜜塘客栈,,13136111600,
黑桃J休闲微酒店,,13586306657,
西塘望月阁客栈,,15167303021,
西塘怡然之家客栈,,18324358200,
西塘壹玖捌肆主题客栈,,13666723921,
西塘铭园客栈,,13085600099,
西塘澜庭逸院,,13867328890,
西塘明月楼客栈,,13375733301,
驿雲精品连锁客栈（西塘漪涟店）,,18268488691,
西塘紫藤苑精品客栈,,15068374131,
西塘灵儿主题客栈,,13335732583,13362337193
西塘we are伐木累主题客栈,,18268362088,
西塘镇下一栈●精舍客栈,,17858331833,
一千零一夜客栈,,15857315280,
西塘半夏时光客栈,,18267360530,
西塘胡家宅客栈,,057384565866,
西塘金家客栈,,13967332289,18857357432
西塘微笑客栈,,15157417236,
卧龙桥客栈,,057384560752,18268471092
幸福缘邂逅客栈,,18268486329,18268345928
临河景园精品客栈,,057384570222,15771779977
兰兰小舍客栈,,13967302780,
梦享家客栈,,13666772021,
冯家大院·文明精品客栈,,13655737200,
云舍·西塘月里巷庭院精品客栈,,15268313020,
西塘花样年华主题客栈,,13626731937,
云舍·西塘镜月花枕水临河精品客栈,,18875897132,
至福精品客栈,,15868353693,
西塘云舍精品客栈,,13511360072,13136222111
镜花水月精品客栈,,13456201555,
西塘静雅居客栈（总店）,,15257284390,
凌霄阁客栈,,13857336886,
友邻民宿,,15968327332,
缘来有你精品客栈,,15957389610,
西塘悦精品客栈,,13666767607,
樱草竹·清藤美宿,,17705880522,
西塘揽梦居休闲客栈,,15990337193,
一餐一宿美食主题客栈,,18357346368,13646737077
西塘逢缘客栈,,18257323970,13867370848
有间小筑,,13656625522,
西家会精品客栈,,057384566052,13857300395
南方姑娘主题客栈,,13917873972,13655739285
西塘立夏阁客栈,,15858363190,
西塘之夜客栈,,13615733756,15205731610
南庭记忆原创客栈,,13967308153,
别来无恙主题客栈,,18368367071,
栖堂sweet主题客栈,,18057325178,15121060669
迎宾驿站,,13625867591,
香舍庭院客栈,,057384861333,15957243338
西塘假日酒店,,057384567388,84560101
彩虹堂精品客栈,,15381268259,
西塘水榭九涧主题客栈,,15857306227,
白客阑湾主题客栈,,15824355327,
西塘云来集游多多客栈一号院,,057384568307,17858780170
醉梦江南客栈,,18858331586,
梦景缘主题客栈,,17757339486,
Starry sky主题精品客栈,,15167376904,
风铃庭院主题客栈,,18573414977,15245109340
西塘弄堂别院,,18767302532,
临河别院客栈,,15067323229,
温馨小屋,,15967365982,
西塘露台花园客栈,,13867399572,13867396830
花满堂精品客栈,,18167319983,13375733301
御上江南主题客栈,,15345832468,
西塘驿旅阳光客栈,,13666737452,
御园雅阁临河客栈,,18324351187,15325263228
匆匆那年客栈,,13606832417,15825719452
启航主题客栈,,15726939500,
小隐居临河客栈,,057384992772,13957502365
西塘素色别院,,13626731116,13806713820
西塘江南丽景客栈,,15957308753,
西塘新街主题客栈,,15957316196,
沉默客栈,,057384515459,17338596554
柒年后青年旅舍（恋江南店）,,13736417068,15355735778
御庭别院临河酒店,,18268485971,18367305187
西塘秘密庄园,,13615735517,
西塘古巷别苑客栈,,18857373383,
西塘嘉禾客栈,,13626766257,
西塘天下第一客栈,,057384568505,13606832455
西塘悠幽小筑客栈,,13626769233,
西塘花语河畔精品客栈,,13625866348,
西塘离岸院落客栈,,15105836676,
西塘知心客栈,,13957314541,
西塘临水院,,13656834166,
弄堂时光客栈,,15988372031,13666771047
西塘乐寓酒店,,18368348586,
亲的客栈,,15325387357,
醉美江南精品花园酒店,,18268335201,
西塘玲珑小院,,18501482978,
西塘兰亭客栈,,13429445620,
一心一意主题客栈,,18257323957,18157343681
one night in阿拉客栈,,13362378606,
西塘烧香港客栈,,13486304293,
西塘青年旅社客栈,,13456206733,13666761037
西塘小时光主题客栈,,13600554410,
千寻·时光精品客栈,,13656617811,
沁缘客栈（礼耕堂弄店）,,13666740779,
云哚小筑主题客栈,,18205834599,
西祠胡同精品客栈,,18957303387,18358769062
沁缘客栈（西街分店）,,13666740779,
步步生莲设计酒店,,15020149994,
张氏庄园,,15990332951,15067397009
西塘彩云堂国际青年旅舍（平川店）,,13917352946,
南岸时光主题客栈,,13645732536,
七舍精品花园酒店,,13600553787,
温馨之家客栈,,15024333919,18268444403
水云轩临河客栈,,13600551038,
西塘左岸度假别墅,,057384023525,13372339639
紫薇阁阁客栈,,17681552061,
亲的客栈·蒲公英店,,13819356814,
梅花苑客栈（古韵琴风店）,,15824331841,
西塘一间客栈,,18257379878,
旅途家文化酒店,,13625867591,13819077591
西塘福瑞德精品酒店,,057384571110,
西塘河边爱情公寓,,13575307740,
