姓,名,家庭手机,工作手机
嘉杰酒店,,08747145777,13769841973
西河商务宾馆,,08747132766,
美奂酒店,,08747208888,
宣威泰源辅公寓楼,,08747253333,7161111
立得酒店,,08747129008,
时光概念酒店（宣威店）,,08747167888,
盛世宾馆,,08747204590,13769757887
星浩酒店,,08747205899,
五瑞宾馆,,18187131849,
怡来精品酒店,,08747258333,18187405986
尚亿酒店,,08747207788,
米高精品酒店,,08747250555,7252555
可为酒店,,08746066399,
德盛快捷酒店,,08747161222,13708743022
君怡商务酒店,,08747200699,13987340893
隆缘商务宾馆,,08747259966,15334458255
咱家厨房住宿（原滇和缘）,,08747204658,
福鑫商务酒店,,08747146888,
鑫源酒店,,08747145888,
豪林酒店,,08747178555,
源通宾馆,,08747171288,
鸿鑫源酒店,,13769515592,
鹏莱大酒店,,15368386599,
荣鑫商务宾馆,,08747139588,18387453600
温馨宾馆,,17684312362,
嘉文宾馆,,08747916999,13769780123
乐威大酒店,,08747166966,
衡威会都（客房部）,,08747167777,
为君会酒店,,15752081441,
瑞丰快捷酒店,,08747142111,
聚福酒店,,08747207999,
阳光招待所,,15924973217,
吉瑞祥网咖（客房部）,,18988332199,
德润大酒店,,08748971666,
佳家招待所,,08747171189,
廣恒隆大酒店,,08747161999,
武星大酒店,,08747177668,
大浪淘沙温泉酒店,,08747166888,
金龙湾商务酒店,,08746066188,
昕承酒店,,08747075555,
荣成温泉酒店,,08747207888,
峰润大酒店,,08747206889,
锦润商务酒店,,08747925655,13887171663
金龙宾馆,,15187860988,15288026878
珠江源快捷酒店,,08746035298,
家园商务宾馆,,08747138230,
天柱商务酒店,,08747143966,
特兴大酒店,,08747204688,
轩浩宾馆,,08747928699,
滇能国际大酒店,,08747259999,
汇宝大酒店,,08747202188,
金凯龙酒店,,08747818899,
君悦快捷酒店,,08747206618,
梦琳森酒店,,08746037555,
嘉华商务酒店,,08747134000,
浙商商务宾馆,,08747171668,7160586
祥达酒店（足疗部）,,15911957777,
宣威市如家快捷酒店,,08747929688,
凯怡商务酒店,,08747204666,15087462413
凯程酒店,,08747165888,
镔利酒店,,08747206111,
彝寨荷花塘客栈,,08747251528,13388747391
银都商务酒店,,08747139666,
驿路港湾宾馆,,08747129988,
瑞佳宾馆,,08747171488,
华兴招待所,,08747131657,13887408496
锦航宾馆,,08746035666,
华丽宾馆,,15187811925,
惠鑫宾馆,,15368417899,
新龙招待所,,08747202111,13577372391
恒源宾馆,,08748907899,13987467831
金利招待所,,15012801584,
恒丰酒店,,08747171399,18487436689
全盛商务宾馆,,13708492806,
愉瑞兴大酒店,,08743328567,
交通宾馆,,08747139888,
驿路港湾宾馆,,08747129988,
福鑫快捷酒店,,08747818988,
振福霖宾馆,,08747172990,
鑫源快捷酒店,,08747818699,
齐航宾馆,,13887142436,15752202185
云峰大酒店,,08747133758,
雄业大酒店,,08747201888,
留源宾馆,,08747143699,
风云旅社,,08747123618,
宏祥宾馆,,08747171399,
鑫月湾宾馆,,08747129998,
钰龙宾馆,,08747818966,15911955091
瑞和园宾馆,,08747200668,
宣威星海大酒店,,08747206888,
兰苑酒店,,08747203666,15334446222
梦香楼宾馆,,08747818299,13691568878
凯旋酒店,,08747203716,
贵鑫酒店,,08747205666,
凯鑫宾馆,,08747171466,
顺发商务宾馆,,08747172388,
平安宾馆,,08747924588,
市花招待所,,08747200100,
神奕宾馆,,08747206618,
鑫银楼宾馆,,08747169588,
金地酒店,,08747133399,
伊斯兰宾馆,,08747201758,
顺达酒店（民安巷）,,08747206866,
天宝宾馆,,08747172088,
佳和宾馆,,08747818466,
