姓,名,家庭手机,工作手机
振仪主题旅馆,,051483417139,13773366468
姚庄宾馆,,15358518628,
果拉克连锁酒店,,051483938999,
曹庄旅社,,15358518628,
翠微苑短租,,15358518628,
姚庄公寓（三店）,,18036262554,
谢集梅庄公寓,,15358518628,
瞿庄旅社,,15358518628,
旺角旅馆,,15312835996,
茗香苑短租房,,15358518628,
剑津招待所,,051483221817,
龙凤商务宾馆,,051483960099,
华夏旅馆,,051483440553,
清风阁客房,,13852536179,
蜗居客栈,,051483298168,
文登旅馆,,051483413142,
鑫宇旅馆,,051483439388,
千鹤宾馆,,051485810982,13813128280
纯水岸假日酒店,,051483583888,
舒馨宾馆,,18112123699,
鸿运旅馆,,13338126723,
尚客优快捷酒店（扬州仪征东园南路店）,,051480837991,
明升旅馆,,18021714208,15094370029
雅客都旅馆,,051483296958,15152793940
立新宾馆,,051483427890,83424907
永明旅馆,,051483905866,
凯越商旅酒店,,051483219888,
华洁客栈,,051489316400,18036279588
速8酒店（仪征步行街店）（原时代广场店）,,051483402888,
速8酒店（仪征万年大道店）,,051483906099,18168265088
格林豪泰快捷酒店（仪征真州东路店）,,051483585998,83585996
浙商商务宾馆,,051483919888,83919088
Hotel 168酒店,,051483401118,
汉密尔顿国际酒店,,051485819999,83589999
如家快捷酒店（仪征真州西路汽车站店）,,051483584555,
易圆商务酒店,,051483633999,
和平大酒店,,051483400500,
和天下商务宾馆,,051483908668,17351390055
锦江之星（扬州仪征大庆北路店）,,051483402999,
皓客都商务宾馆,,051489186699,13616294751
汉源大酒店,,051483400666,
仓桥宾馆,,051489381188,
恒晟快捷酒店,,051483833438,15062887958
天瑞商务宾馆,,051483955666,
景达商务酒店,,051483915888,
安民公寓,,15358518628,
怡馨旅馆,,15852891492,
万盛酒店,,051483265999,
熙春源商务宾馆,,051480868999,
晶崴国际大酒店,,051483937979,
家馨旅馆,,051482660390,15358565165
盘古公寓,,15358518628,
西园宾馆,,051483233636,
汉庭（仪征工农路店）（原天宁宾馆）,,051489311999,
陆捌商务房,,15062881000,
金色年代宾馆,,051483441222,
京港宾馆,,051483401666,
梅香园公寓,,15358518628,
苏珊娜大酒店,,051483909777,
逸境公寓,,15358518628,
仪征途家斯维登度假公寓（天乐湖店）,,051489312228,
万豪假日酒店,,051489313999,
馨悦宾馆,,051489388608,89388606
吉利商务酒店,,051489386555,
万顺宾馆（万年大道店）,,051483272777,
枣林山庄,,051489396088,
福满堂大酒店,,051483428779,
仪征怡景半岛酒店,,051483235888,83235348
明煌假日酒店,,051483629777,
汉庭（仪征真州西路店）,,051483909222,
温馨旅馆,,051489394298,18014980121
解放旅馆,,13358145111,
家邦宾馆,,13952716956,
弘源宾馆,,051483646999,
镜湖宾馆,,051483212466,
全兴快捷旅馆,,051483583270,
尚客优快捷酒店（扬州仪征大庆北路店）,,051485771888,
万景阁旅馆,,051485708520,
家之和大酒店,,15050799596,
福来宾馆,,051489189332,83299311
新豪商务宾馆,,051483289999,
仪征市真州镇好家宾馆,,051483412072,
鹏茂宾馆,,051485810999,
荣廷大酒店,,051483624777,
嘉世铭大酒店,,051483402007,
宏大旅馆,,13852506797,
新世纪大酒店,,051483430350,
山青水秀旅馆,,051483270860,
九洲商务宾馆,,051483459345,83459333
海峡宾馆,,051489387111,
壹家旅店,,051483266308,
春江旅馆,,13665255827,
鼓楼商务宾馆,,051483912199,
黎明大酒店,,051483400088,
虹居然商务休闲旅店,,051483278566,
凤栖泉商务宾馆,,051480851888,
7+1时尚假日旅店,,051483432056,
凤来仪商务宾馆,,051483438348,
迎宾宾馆,,051483645689,13365135646
金穗大酒店,,051483400999,
江扬天乐湖温泉养生庄园,,051483817858,
江港酒店,,15152791777,
静园旅馆,,051489318788,
南缘旅店,,051489310606,
浪漫满屋时尚旅店,,051483401116,
瑞祥旅馆,,051485810179,
巴黎春天假日旅店,,051483401118,
大市旅社,,051483451630,
品之源酒店,,13952536360,
城西宾馆,,051487282389,
圩港宾馆,,051483635888,
迎江宾馆,,051483630388,
红贝利旅馆,,051483411660,
龙扬假日宾馆,,051483427777,
沈氏家园,,13651532586,
大华旅馆,,051483460432,
天扬旅馆,,051483863139,15052538181
为民旅社,,13511728279,
仁和旅馆,,13382753544,
十二圩春江旅馆,,15305252041,
万家香酒店,,13773355172,
银泉浴室旅馆,,15751678928,
新建旅社,,13222311380,
富丽华大酒店,,051483438579,
东盛酒店,,13511729020,
金龙旅馆,,051483650758,
甜木屋,,051483915877,
味品阁酒店,,13651527223,
红山居酒店（红山体育度假村店）,,051482961333,
新区旅馆,,051483612097,
望月楼农家乐,,051483841930,13235242881
蓝天旅馆,,13651528951,
华美旅馆,,18762785199,
西郊宾馆,,18012334518,
宝陈酒家,,051483834797,
日星宾馆,,051483832125,18118221458
江淮旅馆,,051483870078,
西城短租房,,15358518628,
东园饭店（浦东路店）（客房部）,,051483219722,
华清池宾馆,,051483646111,
新星旅社,,051483647358,
枣林湾海棠旅馆,,051483670178,
澳洲旅社,,051483622032,
春家酒店,,051480856877,
星悦宾馆,,13511725005,
心怡旅馆,,051489316361,
荣庆旅社,,051483433143,18252552261
佳美旅馆,,051485708303,
登月湖农家乐,,13338124136,
东街旅社,,051483682653,
浦西旅馆,,13852777270,
永庆招待所,,400833-6699,13358148980
通城旅馆,,051483293978,
万盛旅馆,,051483295808,
朴树湾宾馆,,051483615999,
新西缘生态农庄,,051483653377,
江港旅馆,,051483294918,
明珠旅店,,13382753816,
顺风宾馆,,13235262722,15371282872
舒雅旅馆,,051483438813,13901447173
镇西饭店,,051483681328,13773355633
缘客居旅馆,,13235262186,
东北旅馆,,051483432577,
扬子旅馆,,051483632858,
新站旅馆,,051483430051,82665317
扬子酒店,,051483915759,
城东旅社,,051483431001,
辉煌旅馆,,051483438456,
郭村,,051483469777,
白沙宾馆,,051483400366,
天然居大酒店,,051483219555,
