姓,名,家庭手机,工作手机
榆林榆阳招待所,,15229421366,
天天好运来招待所,,13572687017,
锦红宾馆,,15877467993,
春来商务宾馆,,09122233233,
欣宇客房部,,13992293518,
三边宾馆,,09124613805,
兴胜宾馆,,13991088264,
玖玖玖招待所,,18220213750,
靓月商务宾馆,,18091269491,
金鼎宾馆,,15529764523,
华顺宾馆,,15091029508,
温馨客房,,18992258621,
榆林鑫客商务宾馆,,18091214938,
天辰大酒店,,09128560666,
9号客房,,18098085153,
美特快捷酒店,,09124933777,4933111
亚和商务宾馆,,09128156777,
佳红宾馆,,15929140151,
华泰商务宾馆,,09122253116,
嘉美快捷酒店,,09123429555,3424433
恒祥客房,,09123640592,
聚祥宾馆,,09126084647,18966976220
爱格主题酒店,,09124989999,
榆溪商务宾馆,,09123512809,15353481471
美寓时尚宾馆,,09126663039,
友谊酒店,,09123356333,
鑫友商务宾馆,,09124596789,
宏运达客房,,09123894573,13289711818
星海商务宾馆,,09123386600,
长远客栈,,09126666433,15667807070
北帝宾馆,,13227993978,
华庆商务宾馆,,15291237233,
鑫悦商务宾馆,,09128301200,13720502558
北元商务宾馆,,09123512881,
怡家休闲宾馆,,09122337666,
凯帝宾馆,,09123261088,13319128316
颐馨宾馆,,13325320033,
顺智宾馆,,09123542969,
新旺财小宾馆,,13310926017,
睿龙宾馆,,09128141666,
天虹宾馆,,09123363222,
华天商务宾馆,,15891178760,
华卫钻石商务宾馆,,09124870999,
嘉乐客休闲宾馆,,09123857936,
顺意宾馆,,15332581389,15877465148
雅兴宾馆,,09123515308,
阳光假日酒店,,09123864555,
榆安宾馆,,09127993344,
顺盈商务宾馆,,13720795537,
泰安居商务宾馆,,15829126698,
中希昌商务宾馆,,09124959777,
富丽豪大酒店,,09127721888,
秦府酒店,,09128666888,
红城商务大酒店,,09128725555,
凯悦贵宾楼（肤施路店）,,09126664666,6664888
速8酒店（榆林鸳鸯湖店）,,09126666611,
银海商务酒店,,09128027777,
客怡居宾馆,,09122270690,
金典假日宾馆,,09123539777,
裕隆宾馆,,13571262676,
红福满来宾馆（长城北路店）,,13892288185,
怡梦园商务宾馆,,09123286105,
润豪招待所,,13630294133,
哦家商务宾馆,,18392266227,
好舒畅宾馆,,18292221380,
521休闲宾馆,,15191825272,
凯欣商务宾馆,,09128135858,
润家宾馆,,17792143489,
红楼商旅宾馆,,13239264899,
圣和宾馆,,13892225046,
海州宾馆,,13379397598,13379327596
雨晴宾馆,,15353384704,
吉盛招待所,,13772386842,
明杭宾馆,,15891288792,
高兴宾馆,,15191984098,
银丰大酒店,,09127712888,
蓝月亮宾馆,,15091888810,
逸夫商务宾馆,,13772325562,
