姓,名,家庭手机,工作手机
心家家庭旅馆,,15682600913,
辛悦宾馆（二分店）,,09368862000,
坤逸精品酒店,,09362918222,2918333
鑫源宾馆,,09365678025,15393661216
崇高宾馆,,09368565088,
河东宾馆,,09365522607,13993658923
吉吉快捷宾馆,,09366928199,8868000
张掖北辰精品商务酒店,,09368888958,8888968
尚客优快捷酒店（张掖钟鼓楼店）,,09368861588,
7天优品酒店（张掖汽车西站店）,,09368295158,
荣康宾馆,,09368269495,
金泰宾馆,,09365531300,
艾特尚品酒店,,09368862886,8862880
君悦大酒店,,09362811888,
炫辉生态酒店,,09368512222,8571222
良友旅游宾馆,,09366123333,
尚客优精选酒店（新张掖国际商贸城店）,,09368513666,
丹霞宾馆,,09365531999,
恒盛酒店,,09365985006,
冠瑞祥宾馆,,09366950009,
艾黎国际酒店,,09362818888,2815555
卉馨居驿站,,18193675898,
津田商务宾馆,,09365990500,
张掖云锦假日酒店,,09368434444,8869926
新润园宾馆,,09368865006,
张掖华辰国际大酒店,,09368257777,8277568
鸿隆宾馆,,09365619055,18993677771
远华快捷宾馆,,09365951668,
粮贸宾馆,,09368252399,8253031
嘉泰宾馆,,09368251919,
丹城逸家精品酒店,,09362864999,2864066
隆鑫商务宾馆,,09368257566,13830610246
悦诚宾馆,,09366622689,
高台宇阳国际大酒店,,09366659666,
兴元青年旅舍,,09365992665,
梦驼铃青年旅社,,09368835699,18093692866
宜必思酒店（张掖市政府店）,,09368735555,8730118
嘉悦商务宾馆（原天香源商务酒店）,,09364336666,13909369901
如家快捷酒店（张掖民主西街大佛寺中心广场店）,,09368588123,
张掖居游青年旅社（火车站店）,,09368566888,
张掖彩虹部落客栈,,09365619096,18089475828
张掖老村长客栈,,09365589118,15339764652
金街万商酒店,,09362803666,
九天酒店,,09365957777,13993610639
姐妹客栈,,18189367877,
时光小栈青年旅舍,,09368718787,13993662199
张掖暮寻小屋住宿,,15009362843,
聚彩缘农庄,,09365678910,18909368870
张掖西辰快捷宾馆,,09368866116,
仁和大酒店,,09362820333,2820555
祥雲快捷宾馆,,09365991777,15193465996
西夏青年旅舍,,09368861010,15509360203
临泽七彩宾馆,,09365957888,15682683030
