姓,名,家庭手机,工作手机
和谐宾馆,,13367455172,
名城宾馆,,07456822388,
情缘酒家,,18974502075,
雅泰宾馆,,07456761222,
唯度宾馆,,07452152777,
芷江迎宾馆,,07456841888,
沅水宾馆,,07456746333,
优客快捷宾馆,,07456711111,
明月水岸宾馆,,07456823777,
芷江维多利亚宾馆,,07456845777,
富豪大酒店,,07456783888,
汇丰宾馆,,07457860999,7862999
八间房主题客栈,,07456832111,
芷城明珠大酒店,,07452151111,
宏泰来客栈,,17769286909,
侗乡缘客栈,,07456748888,
金泰宾馆,,07452626656,18274529128
浪琴精品酒店,,07456731999,15581547225
七间房客栈,,07456839009,
神鹤养生谷酒店,,07458688777,8688677
舞水名居客栈,,07456829555,15874511197
在水一方客栈,,07456828555,
祥苑宾馆,,07452155599,15364441688
芷江龙津客栈,,07456746555,
大城小爱宾馆,,07456858066,18175811878
和平国际酒店,,07456852888,6845199
香榭水岸主题酒店,,07456856777,
芷江紫气东来快捷宾馆,,07456775999,
芷江宾馆,,07456846999,6829452
天源宾馆,,18169457130,
紫昇假日宾馆,,07456612999,
腾飞酒店,,07456828888,
芷江雅仕客栈,,07456853777,
水云间客栈,,07456746468,
芷江君悦宾馆,,07456824168,15874511069
168商务宾馆,,07456831998,18944921678
老沅洲府宾馆,,18075570301,
芷岸时光客栈,,07456853151,15874582880
永惠宾馆,,15674551727,17774563039
森老頭主题客栈,,07456743555,
水果宾馆,,07456854168,
芷江九间房主题客栈,,07456857999,
一祥顺客栈,,17769242212,
桦誉宾馆,,18674593999,
加州旅馆,,07456837998,
蓝天客栈,,13187146185,
山水大酒店,,07456778888,
海悦主题酒店,,07456612888,
祥盛大酒店,,07456753333,
凯悦泰和酒店,,07456842888,
衡通宾馆,,07452152555,
迎宾楼宾馆,,07456785888,
萧家客栈,,07456851639,13397452647
凯丰家庭宾馆,,07456828418,18074594288
唯爱江景主题客栈,,07456855666,15576560860
舞水河生态客栈,,07456822506,
碧涌金笙侗寨,,07456781900,6781910
交通宾馆,,07452151108,
富王商务宾馆,,07456839999,
欣欣家庭旅馆,,18075570301,
华中盛耀宾馆,,07452651888,
金鹏宾馆,,07452650198,18797552561
芷江人防宾馆,,07452651073,
一米阳光客栈,,07456791168,13974577789
芷江西码头客栈,,07456825816,
芷江卡尔顿宾馆,,07452158888,
垅坪商务酒店,,07456853722,
河西商务宾馆,,15674563405,
旺角商务宾馆,,07456761888,
至樽假日宾馆,,07456791777,
温馨家园（红梅鱼庄芷江店）,,07456835788,
金缘宾馆,,07452652999,
芷江富王度假山庄,,07456937888,
芷江宾馆（和平村店）,,07452138288,
华都州大酒店,,07456828988,
红塔山宾馆,,07456827846,
前进宾馆,,07456850888,
金源大酒店,,13762956178,
新紫南大酒店,,07456826288,
金岛假日宾馆,,07456825980,
通达宾馆,,13327250568,
凯航宾馆,,07456824817,
佳佳客栈,,15576576986,
莎莎家庭宾馆,,18075570301,
千香聚宾馆,,07456820577,
芷江广泰招待所,,07452156214,
明山湖度假村,,07456840007,
鑫辰家庭宾馆,,18390336011,
和平宾馆,,07456841699,
老油坊山庄,,13100215495,
芷江晓园宾馆,,07456826450,
明山招待所,,15074535798,
和平山庄,,400833-6699,
芷江凯富旅社,,15007456414,
曼哈顿,,07456832222,
芷江富康宾馆,,07456852869,
