姓,名,家庭手机,工作手机
河南迪美商务酒店,,037155136000,
乐书阁书香客栈,,037155838016,
悠途青年旅社（郑州汝河路店）,,18137892846,18137892462
郑州8090潘多拉青年旅舍,,15093131992,
诚信宾馆,,18838160991,
印象主题宾馆,,15136189353,
欣怡居快捷宾馆,,18838098181,
怡家时尚太空舱青年公寓,,18037688259,
唐久公寓,,13938525574,
皇宫国际太空舱青年旅舍（紫荆山店）,,13333854333,18137869986
顺发快捷宾馆（二店）,,13253315981,13721412118
格林豪泰酒店（万达店）,,037155396677,
皇宫国际太空舱青年旅舍（曼哈顿店）,,13838586968,13333854333
聚鑫宾馆（八里庙社区店）,,13949139205,
健康宾馆,,18538103566,
光明宾馆,,13203729180,
皇宫国际太空舱青年旅舍（二七广场店）,,18137869986,13333854333
万顺旅馆,,15515665399,
同馨源公寓,,15738860670,
鑫泰宾馆,,15238338190,
鑫鑫宾馆（河工大店）,,13733161238,
花园公寓,,18538007359,15038031522
八八八快捷宾馆,,15514576859,
1318诚信公寓,,15515597261,
1917快捷公寓,,037166933595,18638667349
好再来宾馆,,18603831335,
商都快捷宾馆,,13607666437,
商务信息旅社,,15617830625,
军嫂宾馆,,18539569489,
永恒518酒店,,18539957103,
宜居连锁公寓,,18239528297,18003854226
莘莘学子青年公寓,,13223082889,
黄金源宾馆,,15238387151,
98快捷宾馆,,037155905598,
昆仑雅居度假酒店（静泊山庄萃英楼）,,037162328666,62328500
以琳宾馆,,15639084736,
致青春主题客栈,,18237893069,
8090住宿,,18539975652,
幸运宾馆,,18039570722,
驿旅阳光太空舱青年旅社,,17638162768,18336218758
橙子青年公寓,,18137122191,
鑫源公寓,,15093174432,15890643886
致青春青年公寓,,18625780070,18530945360
花园式青年客栈,,15639259367,
鑫源公寓,,13525788609,
小米时尚太空舱青年公寓旅舍,,15617930056,
万达假日酒店,,037186679969,
萤火虫青年旅舍（曼哈顿一店）,,18937659511,
聚鑫缘宾馆,,15738836892,
爱琴海酒店公寓,,18638706730,
融鑫宾馆,,18037180562,
鑫鑫宾馆,,13783682144,
香雪海情侣主题酒店,,037186259099,13333868529
聚富运快捷酒店,,15038121533,
遇见·太空舱创艺青年旅舍,,037161730880,18530051127
富琪快捷宾馆,,037186633530,18239981381
印象小栈青年旅社,,037188818300,13938261426
佳威公寓,,037186622587,15003891961
梧桐树青年旅舍,,18737113819,15639000573
阿里客栈,,037156072299,
郑州蓝天快捷酒店,,037167957917,13633837949
家园公寓,,13526889229,
蓝精灵男生公寓（一分店）,,17737116550,
郑大客栈,,15903629650,
一期一会青年旅舍,,037155007500,18037328581
1好公寓,,15136409632,
艾唯尔情侣主题酒店,,037186606168,
莱薇尔主题公寓酒店,,17739786860,
快捷酒店,,18237109498,15803992039
东方圣典快捷酒店,,037186216688,
国贸·时尚太空舱宾馆,,18638938392,15890619780
丽景快捷宾馆,,18538301729,13939511729
逸都时尚宾馆,,037161736937,56003187
鸿福公寓,,037169325338,15036146340
九天酒店公寓,,13783501550,
美特美太空舱客栈,,037166999937,13937197049
爱家宾馆,,13460627233,
优怡时尚酒店,,037155367711,55367733
爱心宾馆,,13253329958,
安澜宾馆,,037166367400,66366818
九江快捷酒店,,037153689333,13733860335
万发宾馆,,13526786253,
家天下快捷宾馆,,037186156111,15226007890
来客商务酒店,,037156010000,
郑州顺旅太空舱宾馆,,037186061621,18939579253
富华酒店式公寓,,13938581822,13333852417
普吉岛时尚酒店,,037162311777,
穿越快捷酒店,,037187095299,13663015299
梅雅快捷酒店,,037166255666,
蓝钻酒店公寓,,037156600922,
鑫达招待所,,15037497707,18539243741
金苹果酒店公寓,,13783526953,
尚佳公寓,,13525529859,
阳光宾馆,,18003865588,
境合酒店,,037189911177,89912288
河医宾馆（郑大一附院店）,,18538011547,
路砦公寓,,13073771179,
盛世时尚酒店（人民医院健康路店）,,037155668898,15039075359
如梦快捷宾馆,,037186096199,13223066316
缘梦居酒店,,037168213456,
月伴湾时尚酒店（二七万达店）,,037168888067,
中江商务酒店（高铁站、方特店）,,037160218837,
优宜家宾馆,,15514510182,
艾尔玛时尚酒店（中原万达店）,,037156053333,
君友宾馆,,037155980815,15638892275
凯悦宾馆,,18768876329,13017672228
敬叶酒店,,037160868886,15136483666
酷特区民宿（卢浮宫馆店）,,13213235175,13140110011
富阔世家酒店公寓,,037160946095,
时尚风情公寓,,037156756837,18203637718
诚誉快捷宾馆,,037162181386,15238359449
都市馨家快捷宾馆,,15639017949,
芒果酒店（经七路建文新世界店）,,037189915666,
城市便捷酒店（郑州绿城广场地铁站店）,,037188880833,
新佳美酒店,,037155980788,
橘子酒店,,037155367878,55395557
锦江之星（郑州航海中路店）,,037167132288,
云驿宾馆,,15503713329,15188321777
爱心宾馆,,15803835838,
如意酒店,,15939035917,
绿苑公寓,,13526584587,
九龙海天商务酒店,,037160317555,60906997
长江宾馆,,13592501398,
1+1公寓酒店,,037155629856,18037188533
桃源宜家酒店公寓,,13303815962,
国贸360云家酒店公寓,,037187093373,
海湾快捷宾馆,,037160902022,13598874332
瑞客商务酒店,,037160235555,
冰熊大酒店（经三路店）,,037165832818,65832828
升龙君悦酒店公寓,,18339221971,
如意公寓,,037186063711,
汝州宾馆,,037165936326,86136009
升龙春天酒店公寓（凤凰茶城店）,,037186520379,13803899652
汇源酒店公寓,,18103862776,
民族饭店快捷店,,037166598126,
云香阁时钟旅馆（航院分店）,,15039066221,
家之味宾馆,,037168959110,15515616168
天景精品酒店（高铁站会展中心店）,,037155615951,
可可假日酒店,,18624936775,15638205023
聚缘公寓酒店,,15515700581,
怡鑫宾馆,,15290819851,13513800859
皇庭酒店（郑州南三环店）,,037162000055,
乐家快捷酒店（南阳路店）,,037160332001,69368866
恒博宾馆,,037166713222,
粤海之星酒店,,037160110888,
宾悦商务酒店（东建材店）,,037155558282,
乐佳连锁酒店,,037186259199,
锦江之星（郑州大石桥店）,,037160135166-0,15824868650
西郊宾馆,,037167711288,
卓泰商务酒店（锦荣轻纺城店）,,037166675888,
文苑精品酒店,,037166886688,88888181
西米娅精品酒店,,037156156888,56156999
永安假日酒店,,037160857788,
山清水秀温泉酒店,,037155552888,55552999
东方快捷酒店,,037167622888,
香港足来足往养生私服酒店（经三路店）,,037165741888,
艾时尚精品酒店（东明路店）,,037165971188,65972288
亿霖快捷酒店,,037162288555,
速8酒店（郑州经三路财富广场店）,,037155616673,55527772
德尔玛假日酒店,,037155029991,
悉恩安信酒店,,037168228588,
艾尔玛时尚酒店（火车站西广场店）,,037163303122,86689999
百姓广场商务酒店,,037160808080,
坤亚柏悦养生酒店,,037165696555,
阳光商务酒店,,037165836666,65835555
锦江白玉兰酒店（郑州英协路店）,,037165609888,18697310388
周末精品旅馆,,037186500500,86500600
橡树5季酒店（农业路店）,,037156811111,
五月主题酒店,,037155297556,15517570439
唯爱精品酒店,,037169331111,
盛世民航大酒店,,037165781111,
益豪温泉酒店,,037166666167,13203703795
郑州凯旋国际酒店,,037167170111,
世纪星南浦国际酒店（曼哈顿店）,,037160673666,
2046时尚太空舱青年旅舍,,037156055002,
乐居酒店（大上海城店）,,037186225715,15603902979
龙门酒店（二七万达店）,,037158578838,18574148838
万达商务精品酒店（二七万达店）,,15838356533,18939256329
尼斯青年客栈（二七广场女生店）,,15903714192,
速八假日酒店（二七万达店）,,037163227918,13137729388
山水时尚酒店,,037156632628,18239937677
清雅商务酒店（方特绿博园店）,,037162198999,
少林绿色家园,,13213126538,
芯互联精品商务酒店,,037188810659-0,88810099
1+1新概念公寓（火车站二七广场店）,,18638766327,
爱之旅太空舱宾馆,,13569522490,
8度青春精品酒店（经开区店）,,037160160009,17719812210
梦幻城太空舱客栈（国贸店）,,18638531089,
未然之星太空舱公寓,,037163681601,13283711856
南阳人家公寓,,13298357927,15617505379
V8太空舱公寓酒店,,15516903030,
美达太空舱青年旅舍,,037160975158,13382808018
美庭时尚酒店,,037155903747,
洁净旅社,,18903850631,
99时尚酒店（二七万达广场店）,,037163396677,18039337669
1005公寓,,17737131128,
雅阁宾馆,,15093275776,
嘉尚精品酒店,,18137276680,15324880022
琪乐风格主题酒店,,037153372779,
新密市美如家宾馆,,037169997018,
汉廷假日公寓酒店（大石桥店）,,037187533602,13303712626
蓝天假日酒店（火车站二马路店）,,037186065755,
大裕宾馆,,037162383777,
宏悦宾馆,,037166996899,13014675658
新恒通泰商务酒店,,037166387555,13275970726
万达时尚酒店,,037163376776,56628583
星空时尚酒店,,037163677077,
郑州雲漫太空舱主题客栈,,15638273812,
新华旅社,,037169997009,
美如佳宾馆,,037186233907,13460269918
相约主题酒店,,037155058611,18903810600
汉庭时尚酒店,,037156687258,15838057573
好如佳公寓（二七店）,,17093765742,
德道商务宾馆,,037185906525,
鑫鑫快捷酒店,,037186061359,
京莎广场主题酒店,,15333802973,
蓝晶商务酒店（二七万达广场店）,,037155616262,
芒果情侣酒店（二七万达广场大学路店）,,18937651962,
浪漫满屋主题酒店,,13137127110,15638251685
西雅途太空舱客栈,,13838042225,
昌盛时尚酒店（火车站店）,,037166988082,
怡景四季酒店,,037155887999,
艾庭商务酒店,,037155359666,
桔子假日酒店（二七万达店）,,037185513588,63366861
华中宾馆,,037155815800,
万达影城宾馆,,037158578838,18574148838
郑州市二七区如家时尚酒店火车站二七广场店,,037166953118,15903615139
米格酒店（高铁站店）,,037153695551,53695552
蓝翔酒店（火车站二七广场店）,,037166221107,18638587032
如梦酒店（火车站二七广场店）,,037166221855,15617626208
柠檬假日酒店（二七万达广场航院店）,,037188880560,53373177
依美快捷酒店,,13733859282,13213193596
7天连锁酒店（郑州火车站东广场售票厅店）,,037166988063,66988062
新宜家时尚宾馆,,13938593079,
优悦酒店公寓,,037155933665,15639038109
爱心客栈,,037161173067,13203819739
乐居时尚公寓,,18639008680,
芒果假日酒店（二七万达店）,,037155933587,18624923587
罗曼蒂克宾馆,,037166933369,15138965883
双喜凯鑫快捷酒店,,037156703866,17131593939
平安快捷宾馆,,15517185766,
地中海时尚酒店,,037156787977,
聚鑫时尚宾馆,,037186610480,13213197053
静洁公寓,,15188338725,18539921852
中州都会太空舱客栈,,037165833893,15903631981
77情侣主题酒店,,037156683058,18037372969
909同顺公寓,,13783414908,13623848803
桔子快捷公寓（火车站西广场店）,,15137502188,
锦江之星（郑州郑汴路店）,,037160315888-0,
豫缘宾馆,,18624936567,
鸿运宾馆,,15515554611,15517161113
郑州市二七区七天假日时尚酒店,,18530913811,
松果商务酒店（九龙店）,,037162265888,
中菲商务酒店,,037155132666,55133777
星期九假日酒店公寓（大上海城店）,,037186061107,18638503072
永基酒店,,037160310699,13903848695
1314情侣度假屋酒店,,037153701314,18037861314
布叮时尚酒店,,15617838785,18538053919
樱之恋情侣酒店（二七广场店）,,17739759823,15617510531
郑州好人家酒店,,13700865252,
宾悦公寓,,13253569156,
87号客栈,,13203811135,
逸馨宜居公寓,,13838034683,
海之蓝1234店,,18638259312,
1324快捷酒店公寓,,18537399633,
五洲快捷公寓,,13937198056,13140198903
文峰旅馆,,037169883199,
美特美太空舱公寓,,13937197049,13333840253
郑州1220快捷公寓,,15137189615,18538059713
圆梦缘宾馆,,15938795193,
幸福公寓,,13838010059,
神马公寓,,18134414501,15537835507
畅畅时尚主题酒店（郑大新校区店）,,037155285287,15010579180
易成时尚主题酒店（郑大新校区店）,,037155153936,
郑州泊轩酒店,,037163273666,
二七宾馆,,18738182703,
佰思特商务酒店,,037156509666,
星木微酒店（CBD会展中心店）,,037155678669,
金鑫时尚酒店,,15639269574,17698092772
新时代快捷宾馆,,15515676692,
久佳意情侣宾馆（二七广场店）,,15514576211,
致青春时尚宾馆,,18539969295,
唯客情侣酒店,,17638182117,
聚缘快捷公寓,,17752563983,17729794912
非凡酒店（火车站二七广场店）,,13007533818,
伴旅快捷宾馆（二七广场店）,,15737182883,15617772628
家家时尚宾馆（火车站二七广场店）,,18538011358,
小宁宾馆,,13598087463,15538032770
一生缘情侣主题酒店,,15638273801,
鑫鑫快捷酒店,,13137112313,
逸家人青旅（二七广场店）,,15736767339,15617549338
银河湾时尚宾馆（二七广场店）,,15514576211,
聚福酒店（火车站二七广场店）,,18638566572,
月半湾宾馆,,18538725562,15890070973
鑫达快捷宾馆,,18538712853,
丽格时尚太空舱青年公寓客栈,,18595678656,
方向感时尚公寓,,13733820456,
亲亲酒店公寓（火车站二七广场店）,,15136160165,
莱卡情侣酒店,,15003863873,13938239782
汝家宾馆,,15514385677,
凯园商务酒店,,037166358878,15738868872
新时尚快捷酒店,,18538596808,
豪庭时尚快捷宾馆,,15544193001,
爱之堡学生宾馆,,18539917990,
馨雅家庭公寓,,13782757817,
吉祥宾馆,,18737127206,
安阳人家公寓,,13183019871,18134413727
鑫豪宾馆,,18037570933,13007505808
聚缘公寓,,13213228535,15738816011
紫东宾馆,,037161736813,
桔子时尚宾馆（二七广场店）,,18595702086,18595708786
蓝天宾馆,,18530080718,18738458712
小霞宾馆,,13803994079,
二七酒店,,13253518871,
求职青年公寓,,15090527797,
潘安快捷宾馆,,037185308111,
万客来酒店公寓（医学院店）,,037160908133,15981861238
丽丽青年旅社,,18039283366,
希悦时尚公寓,,13598898819,
佳和快捷宾馆,,15617955237,13513896367
爱家时尚酒店,,037155617077,
天鹅湖快捷酒店,,13140469908,
温馨旅馆,,15093199815,
豪泰公寓,,18336391781,15903627522
紫藤庄园,,15939003149,
红高粱酒店,,037166933369,15138965883
平常宾馆,,15237159359,
花都宾馆,,13949013283,13673642796
豫瑞快捷酒店,,037160395666,18837172222
舒心缘宾馆,,18703839139,13523598144
鑫玉家庭宾馆,,037169101030,13526423960
友谊酒店式公寓,,13071071783,
鑫源宾馆,,18039978171,
顺福宾馆,,037166965866,
阳光旅馆（郑州大学北门店）,,18237192187,
九九快捷酒店公寓,,15136115571,
惠洁宾馆,,15036027795,
汉庭时尚主题酒店,,15516927797,
恒源宾馆,,18037873076,
934安馨公寓（火车站店）,,13700788354,
香格里拉酒店式公寓,,13939016081,
青春客栈,,037186016810,13949963010
春天宾馆,,13803867858,
俊杰宾馆,,037162811322,13598095123
乐书阁书香公寓,,15038289909,
顺发宾馆,,15333867034,
怡馨宾馆,,18736050820,
玉龙宾馆,,13203850397,
鸿福公寓（富华花苑店）,,13783617774,
犹龙宾馆,,15324951979,
九天连锁宾馆（医学院店）,,13346949968,
温馨招待所,,18637174287,
吉祥宾馆,,13592548249,
阳光公寓,,13598061752,
蓝堡湾青年客栈（科源路店）,,037156756725,18838232896
聚鑫宾馆,,18638626546,
白云宾馆（郑州郑东新区店）,,037168187665,15324859928
926快捷公寓,,13460628560,
小云宾馆（郑州大学店）,,15837159655,
金鑫酒店公寓,,18203679653,15333851715
聚鑫酒店公寓,,15824829596,15003846288
蓝天宾馆,,037169101017,18237128225
顺发宾馆（万通街店）,,18739933236,
情侣主题宾馆,,13838381137,
罗曼蒂风情时尚酒店,,18768861868,
周阳公寓,,037186562926,18569961763
阳光主题酒店,,037153392677,
兰亭雅致酒店,,037155235123,13043996399
米兰风尚酒店,,037188886717,
喜舍铂莱精品酒店（农业路店）,,037155631888,
翰景园宾馆,,037169788888,
梧桐树酒店（省人民医院店）,,037169177777,69178888
微隐居·自助公寓,,037163373797,18137122679
梦吧时尚主题酒店,,13783525837,
康洁宾馆,,037186138821,18538296227
幸运宾馆,,15516178297,18838251838
元居那山酒店,,037188881716,
如意宾馆,,17739764228,
郑州888快捷公寓,,13213051592,
卡奇概念酒店,,037155882668,
怡家公寓（航院店）,,18137672216,
青鸾假日酒店（高新区瑞达路店）,,037153308989,53308787
亿顺商务酒店,,037155952977,18137812135
祥和宾馆,,037162361029,18037498956
嘉龙假日酒店（万达店）,,037168783966,17603713553
锦豪商务酒店,,037186687555,
柠檬树精品酒店,,037155022888,
艾美时尚酒店（火车站二七广场店）,,037165329918,18638566532
背包客青年客栈（二店）,,15637188431,15639018431
乐源宾馆,,037185906353,15937570194
磨李社区时尚宾馆,,18037151689,
易家宾馆,,13703849570,
乐客时尚酒店（火车站二七广场店）,,037160925835,15838138938
凯宾精品酒店,,037155257050,15378756709
红山楂时尚主题酒店,,037155236635,15037170352
小时代精品酒店（秦岭路地铁站店）,,037155209360,18538772504
鸿达快捷酒店（火车站店）,,13683716633,18135783624
小时代主题客栈,,15039046959,18695837863
如一家快捷宾馆,,15639268550,15515696118
青年快捷酒店,,18538703072,17729744058
美嘉快捷酒店,,13069349296,
登封云翔商务酒店,,037162866605,62722999
橘子郡精品酒店,,037162485555,62482222
自由之翼风尚酒店,,037156500937,56500939
雅居酒店公寓（火车站店）,,037186673133,18538223967
北斗星商务酒店（科技市场店）,,037163523000,56578999
易成商务酒店（二七万达店）,,037163361117,
海馨静悦酒店（大学路店）,,037186035222,86035111
苹果酒店（郑州高铁站店）,,037186539888,
悦巢时尚酒店,,037155685130,18939528387
福都宾馆,,037186212567,13253483100
居家风尚酒店,,037185905333,85907333
自由点时尚酒店,,037160253456,69563456
爱时尚酒店,,15713866652,
乐尚主题酒店（郑大新校区店）,,037163335805,13333835546
美好时光情侣主题酒店（郑大新校区店）,,037156699909,18838096309
万发商务酒店（万邦店）,,037156053000,60214440
美好主题酒店,,17737784998,
印象北岸酒店,,037189995222,89995333
风情主题酒店,,13663812417,18539926636
劲牛宾馆,,037162866873,13373903311
馨苑家居旅馆,,037162608838,15003858717
鸿润宾馆,,037162883390,13526656575
布叮时尚酒店（火车站二七广场店）,,037160933168,13523082546
桔子商务酒店（火车站二七广场店）,,037153303718,15037833512
城市便捷酒店（郑州火车站东广场大同路店）,,037155367678,
悦美时尚酒店,,037155358999,
云景时尚酒店,,037166980000,
博奥商务酒店,,037167651117,55913217
乐澜精品酒店,,037155665559,
万爱优选酒店,,15515899653,
佳和快捷酒店,,13838105075,
梦之缘宾馆,,15515535563,15515525563
富源公寓,,037186525517,13384001233
青年宾馆,,15515566826,15515566078
爱家快捷公寓,,037186129828,18237161286
梦幻公寓,,13849162193,13283819105
如家时尚快捷宾馆（二七广场店）,,15188537589,
吉祥宾馆,,13137715548,
农家旅社,,15837116333,
88快捷酒店,,037166965021,18790291266
开心客栈,,037162567397,18039330190
爱尚公寓,,037162568727,
怡馨宾馆,,13592177828,
少林寺金阳光宾馆,,037162748169,13838006002
天天公寓,,15981821901,
王府公寓酒店,,15737155305,
语馨宾馆,,037161179686,18530845686
蓝天公寓（航空港区店）,,15738356628,
少林寺小龙大酒店,,037162808999,
小时代轻奢风雅酒店,,037168711133,
万达假日酒店,,13838209356,
郑州市管城区如家公寓,,17737150518,
帝豪宾馆,,13071075583,
好再来酒店（火车站二七广场店）,,18339252938,18539997160
时尚公寓,,17703719793,
华博网络宾馆,,13839552056,
迎宾旅馆,,13203850116,
青荷公寓（高新区河南工业大学西门谦祥万和城店）,,037163291685,15538320796
锦江之星（郑州火车站二七广场地铁站店）,,037166932000,
龙湖宜安居宾馆,,18903869549,
众鑫宾馆,,18837120735,
佳美旅社,,13938212509,
花园宾馆,,037169992226,67012222
瑞祥酒店公寓,,15737125281,18037176935
蓝天宾馆,,13523955725,
金源快捷酒店,,15638505318,18738129903
银河宾馆,,037162566719,
金沙快捷酒店,,037186063597,13603843257
金帝旅馆,,037162876582,
郑州长锦时尚酒店,,037155000819,18039970600
地质招待所,,037162602011,626006299
豪莱雅酒店,,037168155999,
椰子主题酒店,,037166683308,66683309
朗客美登酒店（郑州国际会展中心店）,,037155553999,
锦江假日酒店,,13223054659,13526639073
壹家快捷宾馆（医学院店）,,037163399787,
