姓,名,家庭手机,工作手机
中力商务宾馆,,09976885858,
金源快捷宾馆,,09978818992,
天山宾馆,,09972613555,
二团宾馆,,09976310990,15886813196
吉祥宾馆,,09972120520,
鑫达商务宾馆,,09978888809,18095883009
瑞翔商务宾馆,,09976776777,
嘉禾快捷商务宾馆,,09976776789,6711462
华美宾馆,,09972568888,
鑫玉时尚酒店,,09978361888,18160261666
瑞茂商务宾馆,,09978888626,
嘉祥商务宾馆,,09978888852,15599971877
金鑫宾馆（东大街）,,09976711886,
天悦商务宾馆,,09972699991,
金福商务宾馆,,09976691555,13657594396
龙腾商务酒店,,09972689999,2687777
天元商务宾馆,,09976791111,
豪锦商务酒店,,09978398888,
欣伟商务宾馆,,09976869555,6769000
百万家商务宾馆,,09977200111,
金蘭宾馆,,09976716789,6713000
何颐商务宾馆,,09977991111,
金帝商务宾馆,,09978363999,8363777
峨嵋凯旋大酒店,,09972582222,
凯宾假日酒店,,09975133222,
沙雅宾馆,,09978322424,6797777
中天大酒店,,09972138111,
黄金海岸商务宾馆,,09976772888,
朝阳大酒店,,09972222299,
天畅快捷商务宾馆,,09972690222,2690555
蓉都商务宾馆,,09972286622,
大众家庭旅馆,,13150272763,
阿克苏市金如家宾馆,,09972572888,
扬子水都连锁宾馆（5店）,,09972144888,
辉煌大酒店,,09972186666,
阿克苏华茂宾馆,,09972580111,2580222
金泰快捷宾馆,,09972695966,15909978916
雅居快捷宾馆,,13657596870,
金色阳光宾馆,,09977778888,
聚诚商务宾馆,,09972658999,
金色阳光宾馆,,09976195555,6195777
朋来快捷宾馆,,09976713555,
扎巴依青年旅舍,,18095879669,
扬子水都连锁宾馆（塔中路店）,,09974567890,
3和商务宾馆,,09976763666,15609977668
库车川渝大酒店,,09976691111,
7天连锁酒店（阿克苏机场店）,,09976869008,
长风青年旅社,,14799442383,
天源精品宾馆,,09976767111,
名府精品宾馆,,09972620688,
朝阳家庭公寓,,15729982379,
宏盛大酒店,,09978333555,8333556
浮尘青年旅舍,,09977770030,18196898860
如意商务宾馆,,09976365666,
石油宾馆,,09976691567,6690222
拜城迎宾馆,,09976766888,
图木舒克大酒店,,09986308888,
柏悦精品酒店,,09977797777,
龙腾商务宾馆,,09975193999,
远方商务宾馆,,09972560111,2560333
君豪商务宾馆,,09972531666,
富祥商务快捷宾馆,,09976769222,6869222
大欣商务宾馆,,09974562222,18096998799
成宏宾馆,,09978395866,18699722118
尚府翔泰酒店,,13899219792,
新湾商务酒店,,09975555512,5555513
广场家庭公寓,,15770091296,
华鑫大酒店,,09972161888,
沙雅饭店,,09978331199,
丝路浪漫之旅宾馆,,09972655505,
浦东.假日酒店,,09972688888,18999067187
迎宾楼酒店,,09975197333,
域美大酒店,,09976860888,6860999
万福商务宾馆,,09977795555,
阿克苏市如家商务宾馆,,09977777966,
鑫大家庭公寓,,15770091296,
天虹宾馆,,09974595555,
海林商务宾馆,,13239829990,
西域春天大饭店,,09974598888,
新华大酒店,,09972653888,2651111
新环球宾馆,,09972621616,
中山宾馆,,09976760555,
温州宾馆（东大街店）,,09972128888,
渝江大酒店,,09978166888,8166999
阿克苏明华大酒店,,09978809999,6380888
美华快捷宾馆,,09976711116,
怡都商务宾馆,,09972523111,6556555
明珠商务宾馆,,09978888019,8888029
忠民宾馆,,09978321503,
扬子水都连锁宾馆（现代城店）,,09972654321,
宝隆宾馆,,09977888888,
香格拉宾馆,,09977773118,
经贸宾馆,,09977131888,
金桥宾馆,,09977305666,7790000
温州大酒店,,09972160088,2160000
阿克苏辰茂鸿福酒店,,09972126666,2283555
金成商务快捷宾馆,,09976363333,
吉祥家庭宾馆（吉祥花园店）,,18290611799,
