姓,名,家庭手机,工作手机
龙溪宾馆,,02368210677,13724461317
新兴旅馆,,02368281668,
好友公寓,,15923082703,
郡南宾馆,,02360313119,
清如许生态庭院（客房部）,,02368271009,13996148986
成园公寓,,18983704167,17723563438
紫荆苑公寓,,15213265433,
橘园公寓,,17749921915,15823414126
亮度宾馆,,02368869995,17783000666
重庆华瑞精品酒店,,02388025888,88025988
茂辉公寓,,02368864289,
金地126连锁酒店（碚峡路店）,,02386089888,
鑫星农庄,,13637860278,
赖四农家乐,,02368221301,
金刀峡辛家坡休闲农庄,,13452856198,
春碧农庄,,13330339892,
志成大厦怡家公寓,,13368368813,
万氏农莊,,02368222855,
龙华山庄,,02368220362,
灵瑞农家乐,,02368226116,
紫涵山庄,,18102343605,
文峰宾馆,,02368213199,
林悦公寓,,17723563438,18983704167
东山时尚酒店（北碚店）,,02363220788,
西大梅花苑公寓,,13527355941,
布丁酒店（重庆北碚步行街轻轨站店）,,02368295288,68295299
丰乐宾馆,,02368319399,
果果宾馆,,02368271688,18983702571
重庆缙苑宾馆,,02360641112,13983769838
格致商务酒店,,02368221437,
金瑞宾馆,,02360307088,15123998869
金鼎8号宾馆,,15023699800,
于家商务酒店,,02368285718,
文景商务酒店,,02367833338,
瑞美酒店,,02363223666,13072388889
和平宾馆（天奇广场店）,,02368865222,
志成大厦天天时尚公寓,,18983796538,
7天连锁酒店（重庆北碚轻轨总站西南大学店）,,02368278777,18996234805
7天连锁酒店（重庆北碚天奇广场步行街店）,,02368290777,
中方酒店,,02388026888,
顺利公寓,,02368289848,
名仕酒店,,02368274166,
油麦尔大酒店（后亭北碚状元碑地铁站店）,,02388020166,88020266
栖息精品花园酒店,,02366693999,15086623250
泉来酒店,,02368865777,68269666
富驿时尚酒店（北碚西南大学店）,,02386030333,
重庆恋恋时光主题酒店,,02381632488,
蓝调精品酒店（西南大学店）,,02368369909,
寄北精品文化酒店,,02360315678,
Lovely日租房,,15923924500,
哆啦主题酒店（西南大学店）,,02368239977,18996403025
心景酒店,,02386088888,
君雅商务酒店,,15803079691,
祥瑞宾馆（西南大学店）,,02368866948,18996060013
无隅酒店,,02368215868,17723978866
兰苑宾馆,,02368283800,
常青藤公寓,,02360302811,13996242492
鸿运公寓,,13368009493,
新房公寓,,13628267291,
佑庭精品酒店（西南大学店）,,02360306700,
志成大厦时光公寓,,13167933520,
QQ宾馆,,15213326175,
澳康商务酒店,,02368867368,15922701395
海友良品酒店（重庆北碚步行街店）,,02368310933,
志成大厦完美公寓,,13368389878,
重庆坤飞酒店,,02368275777,
铂瑞商务酒店（西南大学店）,,02360643199,
开心公寓,,13399812971,
INTO时尚主题公寓,,15683088725,
西大公寓,,02368222831,18008388737
重庆地科酒店,,02363176828,63176888
多玲公寓,,17502360216,
重庆甜田宾馆,,02368281481,15923064229
唯爱情侣主题公寓,,02368263003,
双元商务酒店,,02368360995,
海豪商务大酒店,,02368295668,13752801858
宜必思酒店（北碚西南大学店）,,02368212666,13677618587
莱雅精品酒店,,02368297333,
童话公寓,,15023607774,
重庆北碚悦榕庄,,02360308888,
旭云公寓,,02368863005,
奥普酒店,,02368223333,68220606
鼎银轩大酒店,,02368231555,68231155
朋乐酒店（后亭状元碑地铁站店）,,02363221166,17308370985
星豪宾馆,,02386029989,
丰怀商务酒店（城南步行街店）,,02360300888,
宝兴宾馆,,02368287177,
爱潮情侣主题酒店,,02368211668,17783068967
佳家宾馆,,02368323721,
佳洲酒店（和欣家园店）,,02368269933,
如果爱 情侣主题公寓,,02386020922,
佳心宾馆,,02368215075,13308385766
冬瓜农家乐,,15215185405,
7天连锁酒店（重庆北碚新区轻轨站店）,,02368241077,68249177
广捷居公寓,,02368288330,
贝克宾馆,,02368205055,13399816190
云登假日酒店,,18983850027,18983850026
两江云顶国际大酒店,,02368318888,
涵怡公寓,,02368266680,13983222109
熙途酒店,,02361380666,
海宇温泉大酒店,,02363179999,
瑶台宾馆,,02368207668,
西弘酒店,,02368209828,63224096
龙凤酒楼,,02368236088,15825907369
嘉悦酒店,,02368267999,
如家快捷酒店（重庆北碚地铁站店）,,02368297555-9,
汇云阁休闲庄,,02368250737,
乡乐客栈,,02360311161,13399800740
琴音海公寓,,15086655105,
淳淳公寓,,18623366262,
缙云宾馆,,02386086138,
兴竹宾馆,,02368296788,
丽景公寓（北碚店）,,02368298688,
秋园酒店（蔡家店）,,02368365988,
志成大厦美美公寓,,13399805192,
志成大厦西西公寓,,15111946417,
工谷商务宾馆,,18523170252,
恒辉旅馆,,02386028688,
圣堡商务宾馆,,02368289158,
618鑫都精品酒店,,02368281000,
缘点宾馆,,02368319222,
泉城苑酒店,,13883884805,
圣堡宾馆（胜利街店）,,02368286820,
旭蓝宾馆,,02368328598,
爱阁酒店,,02368227133,
香海宾馆,,02368328828,
圣堡宾馆（碚峡路店）,,02368202576,
金刀峡古镇迎宾客栈,,02368234912,13996463525
四月天酒店,,02368229911,17784491130
本洪商务酒店,,02368222778,
安娜时尚酒店（重庆北碚西南大学店）,,02368206688,
品格风情主题酒店,,02368228111,
瑞安宾馆,,02360303373,60303375
劲豪酒店,,02363228299,15972217743
逸源商务酒店,,02368263838,
丹妮酒店（北碚西南大学店）,,02368224488,
168公寓,,13983127989,
康桐宾馆,,02368861787,15310324402
蜗居公寓,,02368281177,13708392082
友林宾馆,,02368219860,18725856165
凯瑞宾馆（西南大学店）,,02368861028,
其利酒店,,02368228555,
教工公寓,,02368860776,
祥淑宾馆,,02368869692,
景秀农家乐,,02368226695,
爱屋公寓,,02368255868,13320249978
多伦酒店,,02368360018,68360303
索蔓特酒店（北碚长途汽车站店）,,02368220222,
鹏原宾馆,,02368869975,
金刀岭酒店,,02368235111,
仟艺茶园公寓,,13350366989,
同业公寓,,02386037194,
柯瑞酒店（西南大学店）,,02360308777,
蔡小姐的城主题酒店（西南大学店）,,02360306755,
荣丰宾馆,,02368286809,
珂珂公寓,,15703045318,
尚美公寓,,02368286664,
天天宾馆,,13368338841,
亿丰宾馆茶楼,,02386081818,
满天星酒店,,02368306565,18996113229
海鹏宾馆,,02368203281,
鑫盛家庭公寓,,02368865834,17782317001
碚都宾馆,,02386028085,
川仪大酒店,,02368868888,68864560
力欧主题宾馆,,15223014166,15923011082
金刀峡两江假日酒店,,02368313333,
缙云古秀山庄,,02368221263,
白泉旅馆,,02368208207,
陶乐乡村俱乐部,,02363220888,63228038
丰怀商务酒店（步行街店）,,02368203888,
缙云山卧雪农庄,,13500352726,
香洲宾馆,,02386036166,
铷蔓宾馆,,02368283344,
金刀峡梅庄乡村别墅农家乐,,02368231405,
潘六农庄 重庆酒店第1223名,,02368226898,
山云间旅店,,02360308838,13983222109
海旭花园酒店,,02368359868,
金色年华休闲山庄,,02368322878,
海子湖生态酒店,,15808011688,
重庆游侠宾馆,,02368234784,
志成大厦短租公寓,,13399805670,
雷氏山庄,,02368220705,
林旺公寓,,02310106666,
全福山庄,,02368222031,
佳洲宾馆,,02368217608,
周二哥农家乐,,02368221140,
文栋农家乐,,02368222859,
怡香园农家乐,,02368222153,
舒豪宾馆,,02310106666,
宋姐公寓,,02368213558,
智林酒店（蔡家店）,,02368216878,13368103353
扣扣公寓,,15213326175,
城市便捷酒店（重庆北碚地铁站天奇广场店）,,02368298199,
志鸿宾馆,,02368208207,15723275390
两江工谷商务宾馆,,02368224666,
一线酒店公寓,,15023255351,
花墅民宿,,17723540807,
万里肠蒸,,13658332658,
临家假日商务酒店,,02368240111,
山里人家农家乐,,02368230364,
爱慧农庄,,13399817426,
白云农庄,,02368220711,
金刀峡西河农家乐,,02310106666,
余八宾馆,,02368245559,
缙云公寓,,02386086567,
景秀山庄,,13883074916,
天府旅馆,,02368300777,
红缘宾馆,,02368285779,13399817599
粮司招待所,,02368237486,
远朋公寓,,02368311441,
鸿睿农家乐（嘉华绿色旅社）,,02368235095,
正丰宾馆,,02368245071,
联泰公寓,,02368219198,
茂福旅馆,,02368360676,
顺鑫公寓,,02368317139,
会仙缘山庄,,02368220069,
宝兴旅馆,,02368211455,
眠月公寓,,02386086394,18996483998
华雄旅馆,,02368866450,
金刀峡天红山庄,,02368235056,13500306530
长生乐公寓,,02368207005,
天香苑度假酒店,,02368221666,68346001
龙胜宾馆,,02361830226,
乾门旅社,,02368208245,
重庆缙云山紫云山庄,,02368223191,
天台度假村,,02368246598,
凯亿宾馆,,02386037256,
月宫山庄,,02368221301,13509418958
翠月湖度假村,,02368225555,13883161002
竹园山庄,,02368223782,
云鼎山庄,,02368221443,
雅苑公寓,,02368319622,
诗会农家客栈,,02368235022,
龙凤旅馆,,02368261027,
环和公寓,,13650579608,
北碚宾馆（碚峡路店）,,02368359999,
自立旅馆,,02368287148,
金刀峡峡口人家,,02368235082,
黄山高尔夫酒店,,400055-9477,
金门宾馆,,02368213698,
韩舍山庄客栈,,02368223177,
太月生旅馆,,02386027764,
万德公寓,,02368245167,
熙淋公寓,,02368246177,68241677
金刀峡浸水湾农家乐,,02368235087,15803012752
圣堡宾馆,,02368328088,
佳卓宾馆,,02368288690,
华湖宾馆,,02368234819,
华华农家乐,,15923259810,
佳洲商务酒店,,02368368299,
腾扬农家乐,,02368223553,18602384022
涛涛公寓,,18523884297,
千竹农家乐,,02368222070,
兄弟农家乐,,02368220366,
缙云山良缘山庄,,02368221123,
米诗阁农庄,,13594265319,
云巅山庄（缙云山店）,,13983227810,
金刀峡山尖农家乐,,02360305561,18983797162
眠茹旅馆,,13678482367,
茂源春农家乐,,02368222190,
李家容日租房（重庆北碚分店）,,18203038373,
锦江都城酒店（澄江酒店）,,051086001998,
雅韵客栈,,02368314338,
巴渝鼎尚宾馆,,02368226868,
泽福旅馆,,13509417969,
缙竹园,,02368223232,
紫藤苑,,02368253776,
彩峡公寓,,02368203158,
神怡公寓,,02368205832,
聚邦旅馆,,02368282639,
瑞联公寓,,02368211618,
富华农家乐客栈,,15909384575,
梦仙源,,02368230389,
桂花农庄,,02368222756,
春连公寓,,02368353050,
金湖湾,,02368221888,
欧芳旅馆,,18223083868,
林月宾馆,,02368234845,
重庆新靖苑乡村酒店,,18623546730,
磊鑫公寓,,02368216305,18679328731
远航公寓,,02368212997,
西园宾馆,,02389090228,
听雨阁公寓,,02360305088,
豪丰宾馆（天生新村店）,,02386037166,
浩尚商务宾馆,,02368309688,
柏联酒店,,02368226666,
好客连锁酒店（重庆北碚龙凤桥店）,,02363228666,
林木森驿站,,02363228800,
智泉宾馆（蔡家岗店）,,02368362899,
佳洲商务酒店,,02368211088,
兴竹公寓,,13399805192,
辉灿旅馆,,02363228593,15213081270
杉珊公寓,,13368178133,
梦璃湾公寓,,15213414214,
温馨公寓,,18323792076,
志成大厦贝爱公寓,,13368375548,
缙泉山庄,,02368223123,
上锦居商务酒店,,02368221222,
前岸宾馆,,02368860113,
恩和竹楼农家乐,,15923259810,
爱家公寓,,13996124585,
云间山庄,,15213414214,
佳佳公寓,,13399873636,
江滨楼宾馆,,02368200669,
佳苑公寓,,13399805670,
博爱快捷宾馆,,02368227366,
名座公寓,,15213414214,
天生桥青年公寓,,18084075207,
腾越公寓,,02368228606,
千豪旅馆,,02368210676,
环美乡村酒店,,02368237778,15803013001
宁登大酒店,,02360310999,
香草宾馆,,02368215885,
佳洲酒店,,02368239898,68208668
彩霞公寓,,13072391385,
畔江楼宾馆,,02386029699,13251326392
聚宾旅馆,,13983222109,
七桥商务酒店,,02368236677,
文琦商务酒店,,02368868280,
青龙山庄,,02368221921,
香耘轩农家乐,,02368222198,
雷平农家乐,,02368221130,
渔乐园农家乐,,02368222098,
璐瑶农家乐,,18223079199,
香杉园农家乐,,02368222223,
况氏农家乐,,02368220098,
雪亮农庄,,02368222601,
金马公寓（歇马镇店）,,02368249387,
双双公寓,,18696526364,
心怡公寓,,17708310967,13883532548
兴旺公寓,,13883475846,
西大公寓,,13368389878,
中科院重庆分院专家公寓,,02365936060,
天顺唐氏,,02368221058,
葵莲山庄,,02368223018,
黛湖农家客栈,,02368223767,
雨田农家乐,,02368220706,
国慧农家乐,,02368223356,
龙湖雅苑,,02368222666,
双燕农家乐,,02368223200,
观景农庄,,02368221209,
老兵山庄,,02368222067,
吴氏农家乐,,02368220732,
康竹园农家乐,,02368222179,
林阳楼酒店,,02368225911,
顺禄度假村,,02368221366,
松竹园,,02368221038,
宏美山庄,,02368231058,13650584918
东坡山庄客栈,,02368221731,
豪利公寓,,02368219605,
