姓,名,家庭手机,工作手机
君和国际大酒店,,05524190000,
国源旅社,,13955250280,
易家精品酒店（银泰店）,,05523516999,13909653811
和顺天旅馆,,05523067995,
七七假日酒店（银泰店）,,05522567588,2567288
馨雅公寓,,18697507845,15551816945
乐庭宾馆,,05523052278,
千里缘旅社,,18055293303,
南营房快捷宾馆,,05524125787,
乐9客栈,,13395526010,
尚客优连锁酒店（蚌埠淮河路百货大楼店）,,05523719999,
壹号快捷宾馆,,05524115665,
有家公寓,,18697507845,
永丰旅社,,05523177978,13955236265
鑫友商务快捷宾馆,,05526966789,
山水假日酒店（蚌山店）,,05523013939,
尚客优精选酒店（蚌埠钓鱼台生活城店）,,05523379999,17755280999
琦艺主题酒店,,05523215666,
乐七假日宾馆,,05522892588,18655252620
鸿兴88城市酒店,,05524022885,
顺8时尚快捷宾馆,,05522832888,13956369836
民生宾馆,,05523077288,
玲珑湾商务宾馆,,05522899188,
鑫隆商务宾馆,,05522833668,
舒悦宾馆（通成国贸店）,,05523055422,
康联宾馆,,05523993288,
浅草湾快捷酒店（朝阳路店）,,05524019866,
米兰时尚快捷酒店,,05523178787,
城市之家酒店,,05528869666,
乐8连锁旅店（火车站店）,,05524080118,
汉巢连锁酒店（东风路店）,,05526635555,
蚌埠乐8连锁旅店（张公山店）,,05527288666,
瑞鑫旅社,,05527132716,
家尔美宾馆,,05523055125,
芭堤雅快捷酒店,,05523088888,13085521683
财富大厦酒店式公寓,,05522083533,
东海假日宾馆,,05524915222,
安德宾馆,,05523169777,
尚客优连锁酒店（高铁南站店）,,05527189999,
蜜家主题酒店,,05523028800,
万达揽胜公寓酒店,,05523216688,3727998
东方金河商务宾馆,,05524915888,
贝壳酒店（蚌埠龙子湖火车站交通路店）,,05522116999,
天地秀假日酒店,,05524016666,
中泰快捷酒店,,05524921972,
爱佳宾馆,,05523077075,
新林宾馆,,05523175888,
橘子酒店,,05522883888,
泡沫格调,,05524933222,
阿波罗快捷宾馆,,05523032211,
锦湖快捷宾馆,,05522890288,
金巢宾馆,,05526857777,
皖玉宾馆,,18788846637,15655200071
新百合快捷酒店,,05523539888,
金泰龙宾馆,,05525874444,
聚缘主题宾馆,,05523162777,13004076847
悠然假日酒店（原太阳岛商务酒店）,,05523389777,
时尚东庭商务酒店,,05523081588,
迎河快捷宾馆,,05524126015,
天福宾馆（淮河路店）,,05523088288,3088218
世纪花园宾馆,,05528828666,
永和新概念商务宾馆,,05526856666,
薰衣草网络宾馆,,17760822222,17755267799
郁金香宾馆,,05528088222,
快乐驿站公寓酒店,,05523333330,
花好月圆主题酒店,,13956377758,18855220168
加州宾馆,,05523972118,15385858831
飞碟主题宾馆,,05523175997,18909658589
朋来商务宾馆,,05523133199,
快乐驿栈商务快捷宾馆,,05526857999,
色彩主题酒店,,05523030599,
外滩商务宾馆,,05523021555,13955283173
优乐家,,05522866996,
馨怡快捷宾馆,,05523056678,
青鸟艺术酒店（南山路店）,,05522054111,
黄金假日酒店（蚌埠珠城路店）,,05522083666,
青石宾馆,,05523076199,
优乐家（万达广场店）,,05522866996,
嘉年华印象快捷酒店,,05523821888,
芒果快捷酒店,,05523035858,
安馨100商务酒店（工农路店）,,05524030000,
黄金假日酒店（胜利东路店）,,05523838222,
徽韵商务宾馆,,05524919999,
豪情商务宾馆,,05526619999,
青柠檬快捷宾馆,,05523308999,
尚客优骏怡连锁酒店（蚌埠宝龙广场店））,,05522811555,13965283506
蓝波湾假日酒店（百货大楼店）,,05522820000,2871777
海友良品酒店（蚌埠火车站店）,,05522086998,18055266896
雷克泰主题精品酒店（蚌埠嘉年华店）,,05523178800,18055255628
7天连锁酒店（蚌埠汽车站店）,,05522871555,
城市之家（中荣街店）,,05523195888,
7天连锁酒店（蚌埠火车站店）,,05523180999,
中意快捷环保酒店（淮河文化广场店）,,05523838000,
莫泰酒店（蚌埠淮河路火车站店）,,05523839999,18226681568
朗瑜公寓酒店,,05522833999,18119703222
派酒店（蚌埠火车站店）,,05523089999,
他她情调酒店,,05522088899,
瀚城连锁酒店（百合店）,,05527288266,7181111
花里精品酒店,,05523386688,
锦江之星酒店（蚌埠胜利路店）,,05523838777,
feeling胜境主题酒店,,05523766188,
艾心主题酒店,,05527162015,4127678
25小时情调酒店,,05523763999,
星宫主题酒店,,05522077288,
