姓,名,家庭手机,工作手机
天龙招待所,,02443363667,18241448477
红喜福禄旅店,,13941421869,
枫城招待所,,15841469989,
桃源招待所,,18740102245,
舒适旅馆,,15841431653,
青年旅馆,,02446884098,13904149522
红叶旅游渡假村,,0246501082,13941430002
别离馆,,13841446763,
三江旅店,,13352155615,
嘉德时尚主题宾馆,,02443333377,
阳光招待所,,15084268047,
和缘旅馆,,15084268576,
天利商务旅馆,,13130102030,
迎宾旅馆,,18104041090,
温欣旅店,,02443843788,13941468944
爱情公寓,,18340456111,18340457111
本溪饭店站前宾馆,,02442219599,42219578
福聚源旅店,,0246156168,
山源宾馆,,02443845889,
御龙湾宾馆,,02443981777,
泽缘快捷宾馆,,02443625755,
伊伊宾馆,,02443874337,13842414808
华顺旅店,,13500444554,15841468761
越洪商务快捷旅馆,,02444860558,
凰玉招待所,,02448877388,18341438882
华壹宾馆,,02448273111,
天时宾馆,,02442377888,
天诚旅馆,,02443118437,
百福来客栈,,02448271388,
比家好旅馆,,13504147009,
利达宾馆,,02448915111,13030736111
青苹果休闲旅馆,,02445853886,
佰顺宾馆,,02443983388,
桓仁如家客栈,,02448110555,
Hello kitty主题日租房,,15641439023,
七彩时尚旅馆（二部）,,02445851366,
聚缘阁旅店,,02445852526,
馨馨日租公寓,,13204143931,
熙跃湾宾馆,,02443980555,
太河楼精品商务宾馆,,02442869999,
陈家宾馆,,13500445595,
世佳公寓,,18741463388,15841411441
三江公寓,,18841464949,
迎宾旅店,,02443332662,
日新公寓,,18104949000,
天富丽快捷旅馆,,02442115115,
休闲日租房,,18641493337,18904247866
阿雷日租酒店公寓（永丰店）,,15941402757,
鑫都宾馆,,02446169888,
沈铁招待所,,02442023451,
金廷宾馆,,02446838898,
温鑫浪漫旅馆,,02445558866,
枫景城市宾馆,,02443335000,
华林酒家,,15841451958,
帝豪宾馆,,02448138688,13941498589
花溪沐和福佳园家庭公寓,,15084268815,
比家美家庭公寓,,13841488803,
凯冠豪华短租公寓（高裕店）,,13841482345,
速伍宾馆,,02442817868,
喜气洋洋公寓（永丰店）,,13125531823,
惠泽园日租房,,18241458518,
名扬宾馆,,15041468062,
桓仁香江商务宾馆,,02443980700,
华顺快捷宾馆,,02446872999,13842438297
和祥旅馆,,02442160607,
邦成宾馆,,02444522422,18604148745
天宇宾馆,,13190473578,
明顺旅馆,,02442346066,18641435288
桔子公寓,,18641474515,
枫叶商务酒店,,02443110888,43110999
多啦A梦日租房,,13604148620,
安心日租公寓,,13842439191,
新府宾馆,,02446888988,
情缘旅店,,15241442988,
小田日租房,,18004043232,
温馨日租房,,13942429762,
轻纺招待所,,02443184039,18641496738
佳家公寓,,13384243340,
文昕主题日租房,,13700146770,
鸿都商务宾馆,,02446813666,
鑫顺宾馆,,02447505577,13904245049
皇悦宾馆,,02446818558,13304949005
宜家宾馆,,02443622822,
柏林酒店（榆林华苑店）,,02445852033,
乔星主题宾馆,,02445882345,18641234996
星烁旅店,,13841403909,
红运宾馆,,02442337678,
昊玉昆山宾馆,,02448234666,
小美主题式日租酒店公寓（锦程店）,,18641472364,
小美主题式日租酒店公寓（太子城店）,,18641472364,
新馨旅店,,13942437466,
万佳商务宾馆,,02443313333,
文东日租房,,13304243376,
118商务宾馆,,02442101888,
LOVE爱情公寓（一中店）,,18604140829,
缘之屋公寓,,18104040759,
鸿程商务宾馆,,02444621666,
章樾宾馆,,02447698789,48828899
曈曐商务之家宾馆,,02448827977,15140123789
正大宾馆,,02446815555,13941426003
薰衣草快捷宾馆,,02446855777,
隆盛宾馆,,02448831616,13942495766
奇异时尚主题宾馆,,02444869111,18940471087
小麦地中海精装日租公寓,,13614945898,
云端小筑时尚宾馆,,02448182345,
快乐杰家庭式旅馆,,13390180616,
丽水宾馆,,02448137000,
鸿苑商务宾馆,,02448918789,
世佳商务宾馆,,02448860999,
瑞鑫商务宾馆,,02447690111,
雅客时尚宾馆,,02446877577,
宜家快捷宾馆,,02446505555,
金雅宾馆,,02447695666,
提米小屋日租房,,13841458620,
金利达宾馆,,02448261111,18642403777
璐璐日租房,,13504145734,
温馨公寓,,13942400004,
凯冠豪华日租公寓,,13841482345,
玲珑旅店,,15141400381,
金浴山庄,,02446134348,
君悦大酒店（解放北路店）,,02444877777,
奇奇日租房,,15504141003,
好客居旅社,,02442339089,
兴春园旅店,,13009230691,
贺翔宾馆,,02446888889,
锦江之星（本溪客运站店）,,02442367777,
金山宾馆（北光路店）,,02443282366,43282286
畅兴主题宾馆,,02443182999,
时尚主题宾馆,,02446859000,18940457755
如家快捷酒店（本溪火车站店）,,02442382222,
姜虹旅店,,15941449893,13942456933
福兴温泉酒店,,02446843888,46134388
如家快捷酒店（本溪客运站店）,,02442117777,
欣欣酒店,,02446209881,13514142839
汉庭（本溪火车站店）,,02447158888,
巴里岛国际酒店,,02447139999,
鑫淼山庄,,15134148887,13190475117
益客宾馆,,13188221100,
仁达花园酒店,,02447261111,
