姓,名,家庭手机,工作手机
桥北农庄,,18067936832,
农乐缘民宿,,15356647755,
恋家农庄,,15068356594,
千岛湖林业大酒店,,057164821027,15700194930
爱居酒店,,057164882568,13506819519
芳芳农庄,,15105817153,
洪家客栈,,057164907181,15869024021
千岛湖回家客栈,,13968100682,18072953911
艺美农庄,,057164907199,
璞真园农庄,,15058152387,
锦鑫宾馆（千岛湖店）,,057164881222,64881644
千岛湖天龙宾馆,,057164822688,
鸿润大酒店,,057164899777,
千岛湖兰庭宾馆,,057164826666,18906525779
金都宾馆,,057164816789,
国亮农庄,,13819169783,
千岛湖淘淘快捷宾馆,,057158329188,
东湖宾馆,,057129900088,
浅水湾度假酒店,,057164805999,18658864999
艺巢空间主题酒店（千岛湖店）,,057164826880,
千岛湖德云农庄,,13362165658,
山和人家农庄,,057164879106,18257104818
阳光水岸度假公寓,,057165126888,
千岛湖豪情大酒店（原银裕宾馆店）,,057124819588,
千岛湖新安宾馆,,057164826333,
千岛湖米兰时光度假公寓,,057165051999,17767057877
外高桥酒店,,057164816666,
千岛湖紫墨度假酒店,,057165132255,65033333
98快捷酒店,,057164928845,
大琦小悦民宿,,13819169862,13588338477
千岛湖山湾湾农庄,,057165030226,13606800481
千岛湖紫云宾馆,,057165130088,
听书民宿,,18268863986,
千岛湖思成民宿,,13357171361,
法蓝酒店,,057164821299,13732297028
7天连锁酒店（杭州千岛湖中心湖景区店）,,057165027777,
千岛湖俺家妹农庄,,13750860187,
常春藤湖景酒店,,057165027999,
倾城大酒店,,057164855121,
宜客农家乐,,18106583098,
开元曼居·千岛湖游船码头店,,057164897777,
千岛湖悦湖度假公寓,,057165050008,
汉庭（杭州千岛湖广场店）,,057165025288,
峡谷民宿,,057165089889,
南苑e家连锁酒店（杭州千岛湖新安东路店）,,057165029888,
杭州千岛湖开元度假村,,057165018888,
千岛湖梅地亚君澜度假酒店,,057164988888,
千岛湖怡途湖景酒店,,057165180888,
千岛湖爱丽丝仙境度假别墅酒店,,057165018888,
田元宾馆,,057164882108,13136162522
汾口花园酒店,,057164865888,13857187419
如家快捷酒店（杭州千岛湖广场店）,,057165081118-9,
秀水宾馆,,057164851924,
水月湾农庄,,15058152387,
杭州青庭院落乡村民宿,,15968885995,
半岛时光度假公寓,,057164886888,
观岛农庄,,13750860920,
千岛湖夏家度假别墅,,15157686001,
杭州千岛湖渔水谣酒店,,057158329966,
千岛湖望山楼农庄,,13588327913,
山哈石屋民宿,,057164805166,13968088408
千岛湖e佳人酒店,,057165057878,13968103911
千岛湖观岛湖景公寓,,15925660069,
印湖酒店,,057165031314,
忆尚优民宿,,17746839912,
安宁民宿,,13567158124,
隐栖民宿,,057164996239,18069848918
千岛湖青庐农庄游多多客栈,,13758162435,
千岛湖度假公寓,,17092724583,
驿旅民宿,,18072867719,
千岛湖秀水度假公寓酒店,,057124819666,
千岛湖栖岸民宿,,18757553330,
千岛湖伯成民宿,,13291892445,18268073579
千岛湖忆景度假公寓,,057165126888,15715741690
千岛湖诗羽雅阁民宿,,17742024959,
千岛湖湾中湾民宿,,13750859579,
千岛湖花园度假公寓,,057129908989,18906819616
悦溪民宿,,15757179761,
拜登观邸度假公寓（杭州千岛湖店）,,057164847777,
千岛湖白树公寓,,15958142240,
千岛湖忆乡居民宿,,13735504086,15356184250
果儿熟了民宿,,057164871177,
千岛湖望月楼农庄,,13588259668,
朵拉民宿,,15925637641,
淳美民宿,,15868181463,
千岛湖·玖玖·廊桥溪语,,057164845899,18058745899
千岛湖邂逅时光全湖景度假别墅,,18368864518,
清雅农庄,,13750808511,
香香农庄,,13857153896,
