姓,名,家庭手机,工作手机
招君酒店,,03158519691,13582855424
爱尚宾馆,,03158726188,
致青春宾馆,,03155336979,
如意快捷酒店（唐海店）,,03158838666,8839666
悦百客商务酒店,,03158705678,
雅居宾馆,,13315558778,
金港国际饭店,,03158789999,8786666
燕春海景快捷酒店,,03158851555,
漫步日租房,,13131596400,
水一方快捷酒店,,15931919895,
金都商务酒店,,03157332888,
星期六日租房,,18631503618,
雅轩宾馆,,03158987678,18633310130
都市118连锁酒店（唐海店）,,03155079118,
惠馨园宾馆,,03158710050,13933365550
都市118连锁酒店（大学城店）,,03158980118,
尚客优连锁酒店（曹妃甸三加金融街店）,,03158825888,
我行我宿日租房,,18131581335,
益恒宾馆,,03158729866,
绿洲快捷酒店,,03158751585,
7天连锁酒店（曹妃甸大学城店）,,03155072877,
浪淘沙宾馆,,03158726888,
九洲饭店,,03158803333,
艾美优品酒店,,03155077888,
尚客优精选酒店（唐山曹妃甸工业区店）,,03158827777,
唐山净心居禅意酒店,,03158893777,8840150
君逸时尚客房,,03158752277,13333355766
木槿连锁.财富蓝湾大酒店,,03155075555,
创业旅馆,,15102552213,
曹妃甸区石油宾馆,,03158765165,
合驿酒店,,03155655395,
16号宾馆,,03155070777,
鑫丰宾馆,,18832559190,
升阳商务酒店,,03157333123,
华盛宾馆,,03158782633,
富贵旅馆,,03158752577,
芒果快捷酒店（曹妃甸店）,,03156738918,
聚鑫快捷酒店,,03155658699,
尚百客宾馆,,03158980616,
派酒店（唐山曹妃甸政府店）,,03158758888,
欢欢日租房,,15931934885,15176667475
春暖花开日租房,,18713864013,
619日租房,,15075579619,
家人宾馆,,03158712338,
贵宾来旅馆,,03158753058,15076566319
唐欢精装日租公寓,,18631503618,
7天连锁酒店（唐山曹妃甸南堡开发区店）,,03155073777,
木槿商务连锁湿地酒店,,03156730000,
曹缘宾馆（盛唐府邸店）,,15233327077,
宁园精品度假酒店,,03155073666,
小时光日租房,,18803258059,15100598998
正达宾馆（曹妃甸店）,,03158710229,
丰发时尚酒店,,03158728288,
凯悦主题宾馆,,03158077999,13463525125
聿舍青春show酒店,,03155079666,
格林豪泰快捷酒店（曹妃甸经开区市政大厦店）,,03156736988,
菩提岛,,031556296615,
利人旅馆,,15831505158,
楠楠唐海日租房,,18634005558,
会佳花园饭店（客房部）,,03155076666,
红日宾馆,,15033947782,
金桥宾馆（唐海路店）,,03158786077,8786088
铂瑞日租公寓,,13703155053,
龙之岛酒店,,03158858088,
曹妃岛酒店,,03156738887,
渤海国际会议中心,,03158898866,
海澳大酒店,,03158888888,8758252
瀚悦酒店,,03158850788,
非常空间主题客房,,03158701777,
君悦快捷酒店,,03158857777,
海裕宾馆,,03158500008,
夏日宾馆,,03158795509,
首钢实业京唐大厦,,03158852345,
吉祥宾馆,,03158729977,
禄轩旅馆,,03158516677,
燕都宾馆,,03158787088,
金园宾馆,,03155071888,8716743
瑞江宾馆,,03155656888,
金海湾宾馆,,03158726666,13482948535
摩登假日公寓,,18634005558,
家庭自助烧烤,,13463518655,
东楼宾馆,,03155655395,
新纪元宾馆,,13785544999,
宏兴旅馆,,03158515658,
唐山丰百酒店,,13785540944,
海龙宾馆,,03157336893,
曹妃宾馆,,03158725666,
唐海丰源宾馆,,03158728988,
小伍哥农家院,,15832576109,
民工住宿,,13780506072,13831563766
心悦快捷宾馆,,13636803115,15091105428
海生旅馆,,03158500354,
昌宏浴池宾馆,,03158719789,
红桥宾馆,,03158728906,
0315日租房,,15931539955,
雅洁旅馆,,03156332396,6332296
还是那家小院,,18531529003,
阳光旅馆,,15081654330,
远洋宾馆,,03158729567,
老东家农家院,,15612572101,
晶晶日租房,,03158788331,18632523077
A A日租房,,18632523077,
金鼎大酒店,,03158798888,
唐海日租,,18333875787,
唐海宾馆,,03158786700,
馨港旅馆,,03158795580,
远通商务酒店,,03158816888,15830518535
猪猪短租,,18633332577,
小红豆宾馆,,03158728788,
海东旅馆,,03155656980,
念家旅馆,,03158810889,
凯鑫宾馆,,15133980353,
馨鑫宾馆,,03158727588,
盛世源宾馆,,03158727777,
启诚宾馆,,03158723809,
聚源旅馆,,15131540017,
金帝旅馆,,15833505445,
星龙宾馆,,03158752287,
鹏发旅馆,,03158752978,
恒安宾馆,,18633398501,
鑫玛宾馆,,03158728968,
九江宾馆,,03158728699,
云天宾馆,,03158780506,
馨家旅馆,,03158723818,85173608
春兴旅馆,,03158751508,15081563630
沁园宾馆,,03158759900,
建国酒店,,03158835858,
圣岛酒店,,03158858888,
客来居宾馆,,13582501444,
金城旅馆,,03158711118,
东方旅馆,,03158710397,
鑫源旅馆,,13613159589,
717日租房,,15530895717,
仁和旅馆,,13837843157,
顺达旅馆,,13785511886,
贵宾楼旅馆,,03158716118,
绿岛旅馆,,03158719171,
鸿运宾馆,,03158726678,
建春旅馆,,03158711526,
首钢长白商务会议中心酒店,,03158729299,
油田宾馆,,03158765165,
曹妃甸湿地国际高尔夫俱乐部（住宿部）,,03156731888,
创业大街公寓,,18633310130,
燕京宾馆,,03158723432,
盛家宾馆,,03158706556,
神州大酒店,,03158728999,
仁和旅馆,,03158712911,15227772618
四海宾馆,,03152667069,
明仁旅馆,,03158516558,
万家宾馆,,03158759919,
三阳旅店,,03158753818,
聚宾旅馆,,03158711509,
鑫泰宾馆,,03158713868,
顺鑫宾馆,,03158728866,
舒馨旅馆,,18330530205,
安海宾馆,,03158720632,
