姓,名,家庭手机,工作手机
方信商务酒店,,05705581888,
众合商务酒店,,05705488800,
米兰君庭酒店,,05705669999,18057005988
满天晶商务宾馆,,05705657231,13867012270
嘉豪精品酒店,,05705967777,
常山米罗精品酒店,,05705968094,
柏美商务宾馆,,05705019865,13511425453
诚信宾馆,,05705015008,
江滨宾馆,,05705666058,
常山鹏程商务酒店,,05705081058,
鸿翔宾馆,,05705660766,
泓影酒店,,05705662828,
琴天酒店,,05705117888,
太平洋大酒店,,05705016388,
常山柏丽大酒店,,05705896666,5666668
君豪酒店,,05705444666,
顺安宾馆,,13511427257,
万豪宾馆,,05705665988,13454033888
零点宾馆,,05705668920,
银河假日宾馆,,05705018618,
惠民住宿,,13757046635,
友好精品酒店,,05705019988,
常山国际大酒店,,05705017777,
华府大酒店,,05705665566,5666777
浪漫满屋主题宾馆,,05705011112,13706703370
优诺连锁常山常龙商务酒店,,05705686777,
新都商务宾馆,,05705036888,
东方大酒店（常山店）,,05705669066,5666888
皇朝宾馆,,05705017787,
君澜宾馆,,05705012688,
豪汇商务宾馆,,05705965588,18367017693
布丁酒店·驿佰居常山店（江西方向）,,05705665288,
华弘商务酒店,,05705012777,
凯丽精品酒店,,05705660662,
迷善精品宾馆,,05705277888,
布丁酒店（驿佰居常山店）,,05705665299,
锦江宾馆,,05705892716,
福乐门主题宾馆,,13867019838,
白龙宾馆,,05705021888,
皇冠精品酒店,,05705666988,
茹家商务宾馆,,05705020588,
露林主题宾馆,,05705962888,
半岛宾馆,,05705595777,
富绅宾馆,,15924090424,
忆佳商务宾馆,,05705683777,
醉梅小院,,18067890251,
千秋旅馆,,13857017579,
常青公寓,,13567050833,
紫港宾馆,,05705033855,
阳光宾馆,,05705014888,
东江宾馆,,05705028142,
金都宾馆,,400833-6699,
鸿运宾馆,,05705662886,
东苑宾馆（文峰东路）,,05705028609,
东升宾馆,,05705021984,
东方红宾馆,,05705012292,13735082903
天一堂花园公寓,,15888986208,18606568669
卓雅宾馆,,05705011800,
中兴宾馆,,05705021385,
文峰宾馆,,15157039296,
金侨宾馆,,05705018877,
祥顺宾馆,,05705029788,
帝龙宾馆（定阳南路店）,,05705031116,
新季风酒店,,05705023797,5019777
长城山庄,,05705038888,
永光宾馆,,05705022132,
帝豪商务酒店,,05705065599,
开圆宾馆,,05705018618,400833-6699
柚都宾馆,,05705012777,
雨杉农家,,05705122324,
红旗饭店宾馆,,05705083276,
新明珠宾馆,,05705017266,400833-6699
永恒宾馆,,05705966868,13665709797
紫罗兰假日酒店,,05705579888,
宜家商务宾馆,,05705087188,
林茂宾馆,,05705667016,
58°宾馆,,05705678410,
洛卡宾馆,,05705031188,
银苑宾馆,,05705018222,400833-6699
仙岛宾馆,,05705968808,
天虹宾馆,,05705018088,400833-6699
常山湖中居大酒店,,05705018888,
