姓,名,家庭手机,工作手机
长沙温馨家庭旅馆,,18872957649,
华成商务旅馆,,073188236018,13507464606
万顺家庭旅馆,,13667337045,
悠然国际青年旅舍,,073188629658,13307339404
书院国际青年旅舍,,073185212123,
柠檬求职公寓,,13874828372,
斑马青年旅舍（岳麓山店）,,15580884689,
乐家公寓,,15388074469,
橘洲驿国际青年旅舍,,18670070544,
菩提国际青年旅舍（橘子洲店）,,18684737108,
来源家庭旅馆,,15200914535,
旭朝家庭旅馆,,17775852588,
温馨苑太空舱青年旅社,,073188923163,15399937959
永州家庭旅馆,,13787090756,13786181858
顺天家庭旅馆,,073182125853,13974978985
天新宾馆,,13667337016,
诚信宾馆,,15973124178,
天使妈妈旅馆,,13687329390,15173417388
金旺家庭旅馆（文艺路店）,,15115307076,
薰衣草青年旅舍,,073185670818,
匆匆那年青年旅舍,,18229830300,
四月天青年旅舍,,13016429923,
假日家庭旅馆,,13873160320,
红梅旅馆,,18874288652,
平安旅馆,,13007313773,
湘和家庭旅馆,,15576647118,
无极客房,,13016161131,
兴兴旅馆,,15873158509,
金山家庭旅馆（裕园店）,,18173217832,13975231758
常聚家庭旅馆,,18188994082,
玲玲家庭旅馆（湘雅附一医院店）,,15084793958,
益阳旅馆,,13808436362,
天籁旅馆,,18569032706,
创客国际烟花青年旅舍（橘子洲店）,,18973121616,
长沙理工大学国际学术交流中心,,073185258888,
悦景华庭公寓,,073186932999,
小华天宾馆,,13875865207,
七彩阳光旅馆,,15367715100,
鑫雅宾馆,,073182614879,18153112510
雅阁豪苑聚会别墅,,15974192381,
芙蓉家庭旅馆,,18874907790,15974231860
路向国际青年旅舍,,13875894123,
长虹宾馆,,15616267326,
长沙新潮家庭宾馆,,13786116446,
怡海酒店,,073184469888,
榕树下连锁旅馆（北津学院）,,13517403602,
瑞涛宾馆,,15111393652,
欣缘家庭旅馆,,073188555908,18163657198
盛旺家庭旅馆,,13517488617,
丽君宾馆,,13787219651,
君旺旅馆,,18973152199,
紫金宾馆,,15243669889,
鹏程家庭旅馆（五一新村店）,,15802694874,
环城宾馆,,073182137808,15526401968
馨园家庭旅馆,,13677361587,15308479608
益友大酒店,,073184664708,84664678
家兴宾馆,,073184062396,13142208095
浪漫小屋客房,,073188820767,13207495892
阳光旅馆（五一新村店）,,18670343969,
昌发旅馆,,18229940836,13627429529
文源家庭旅馆,,13203126728,
心语招待所,,15575864895,
爱的旅馆,,15580033681,
和之源宾馆,,073184838998,
兴达家庭宾馆,,15111413519,
好运来旅馆,,18874750685,
景泰宾馆,,13762221613,
易记家庭旅馆,,13017186619,
都市宾馆,,13974826099,
福华家庭旅馆,,15873127657,
沃家商务酒店,,073189736068,89736098
开心住宿,,15874149352,
金强宾馆,,17087340392,
白云客房,,13272480898,
明园招待所,,073184764320,15974153887
四海商务宾馆（高桥店）,,18684998183,
小金川宾馆（暮云店）,,18390915181,
广富家庭宾馆,,15111243381,
鸿巢宾馆,,13627499950,
湘跃旅馆,,18229774328,
田田家庭旅馆,,18773277085,
鸿程宾馆,,073188380234,18267890521
华雅家庭旅馆,,18974225546,
友时宾馆,,13142071314,
星城家庭旅馆,,13548546923,13873163655
温馨家庭旅馆,,15580043566,
明湘酒店（龙塘店）,,073186158199,
雅杰商务宾馆,,073185867088,
乌托邦青年旅舍,,15574464415,
宏福宾馆,,15111108472,
金天宾馆,,13142026165,
平安家庭旅馆,,13787379559,
鸿林大酒店（贺龙体育馆店）,,073185365940,
华悦旅馆,,18390981576,
e佳家庭旅馆,,15802603986,
君红旅馆,,13257319907,18627595749
宏信家庭旅馆,,073182557334,13574155390
好客坊旅馆,,073188397977,
宾归旅馆,,18229856268,15874068269
如意宾馆（红星店）,,13667385716,
乡情商务酒店（郭亮中路店）,,073188052222,
香樟树旅馆,,15974209792,
富盈宾馆,,073182654488,
红玉宾馆,,073185202463,
华帝商务宾馆,,073184083809,13787199659
Flower Bed度假屋,,18229807221,
天怡青年酒店,,073184351666,
旅乐家庭旅馆（湖湘艺术品市场1店）,,073184849006,
神龙客栈（星沙开元西路湘绣城店）,,073186902881,13560273441
萌娃之家,,15367487228,
健福宾馆,,18975138703,18874859658
鑫源家庭旅馆,,15116350258,
中南宾馆,,18229735329,
富家家庭旅馆,,18874102648,
每家商务旅馆,,18874818922,
鑫源旅馆,,18273110449,
名雅旅馆,,18773130818,
红星大酒店（莲湖路店）,,073188065577,
转角宾馆,,18229853821,
博雅旅馆（高铁南站店）,,18374889329,
荣鑫宾馆,,073183926060,15367951159
博雅时尚宾馆,,15367169358,
新宇客房,,073185604568,
雅泉宾馆,,073184680358,18975866910
蓝月亮家庭旅馆,,15200324107,
书香家庭旅馆,,14789480459,
金溪商务客房,,073182937005,
今发旅馆,,15243672158,
旭鑫宾馆,,073185419383,15388099234
保家宾馆,,13677349076,
恒福宾馆,,18711181288,
佳园招待所,,15116126981,
夜恋宾馆,,073189748858,
锦川宾馆,,073186911808,
天恭家庭旅馆,,15802603905,
鸿吉快捷酒店,,073182577576,
步云特价公寓,,073185523839,15364050526
万惠宾馆,,13548671628,
顺意宾馆,,073189784622,
住房出租,,18684791187,
诗爱主题酒店,,073185412288,
幸孕家庭旅馆,,18874186138,
旭云精品酒店（省博物馆店）（原泊涛经典酒店）,,073188590999,
九0家庭旅馆,,18229987198,18973171052
温馨旅馆,,13507452675,
希尔顿客房,,13272010071,
长沙市恒泰商务宾馆,,073182767629,15673258697
温馨客房,,13549679465,
海湾旅馆,,13187317861,
雨花宾馆,,13667329953,
万佳宾馆,,13433965258,18569509219
万顺宾馆,,18569509219,13433965258
汇友商务宾馆（高桥店）,,073188573817,15367962802
雅钦宾馆,,073186866959,15364085888
丹桂家庭宾馆,,073184133958,
星城旅馆,,14789981715,
罗马假日酒店公寓,,073189679683,15387315256
吉翔宾馆,,17773124378,
鑫隆宾馆,,15074821082,
校园宾馆,,15173195026,
情缘客房,,18974915159,
浩鑫宾馆,,13055178358,
宏都宾馆,,073186390028,18874026458
时代宾馆,,13080560186,18627592571
123宾馆,,18173219838,
风尚158酒店（东塘店）,,073188238158,88210618
和雅旅馆,,073188671968,
鑫悦宾馆,,13017391385,
常德家庭旅馆,,13873677958,
圆梦旅馆,,13687156924,
阳光商务酒店（汽车南站店）,,073189606098,18182106898
芳源宾馆,,15802566126,
都市快捷酒店,,073182712998,18684970998
雅客公寓酒店（长沙火车站店）,,073182279095,
福星时尚宾馆,,073184125289,13755183653
佳家商务宾馆,,15717504299,
探路者国际青年旅舍,,18670308270,
步步高家庭旅馆（红星店）,,13055175597,
君华旅馆,,13873206747,
腾达商务宾馆,,073182063377,
崀联宾馆,,073182151535,15526458373
温馨家庭旅馆（西湖楼店）,,18390993031,
长沙天诚宾馆,,18773151213,
鑫悦宾馆,,15675127776,
乐巢宾馆,,073188733580,
有家旅馆,,073186804021,15116285609
步云宾馆,,073189928387,15386452772
德天宾馆,,073182298505,
欣乐宾馆,,18390824868,
宏源宾馆,,18508493909,
1号舱青年旅舍,,15388054216,
和谐旅馆,,15274818833,
荣辉家庭旅馆,,15526459699,18577352935
小华天旅馆,,13549650250,18508463373
新龙门家庭旅馆,,18390870358,
友谊宾馆（星沙汽车站店）,,13975897302,
岳麓山大酒店,,073188629888,
永红客房,,073185527299,
隆鑫家庭旅馆,,18890388830,
宝佳大酒店,,073186906168,
港湾家庭旅馆,,15576638085,
金石家庭旅馆,,073189904749,
长沙银河星宿太空舱青年旅舍（火车站店）,,17773101898,
富鸿宾馆,,073185114698,13908415061
安途拉时尚酒店,,073186966566,15388980812
心情快捷酒店（井湾子店）,,073185057907,
大乔商务宾馆,,073185313930,
沐阳酒店,,073188818668,
威廷酒店公寓（郡原广场店）,,073188611770,
武长宾馆,,073186804739,
骏豪宾馆,,073185587045,
快乐惠连锁酒店（赤岗冲店）,,073184519596,
城市便捷酒店（长沙人民路家润多广场店）（原万豪大酒店）,,073182532996,
华盛宾馆,,073183090778,18890368246
金源宾馆,,073184012808,
梦梦酒店公寓,,073185825551,
三一快捷酒店（汽车南站店）,,073188920816,18707488539
天空大酒店,,073185579898,
萌娃之家住宿,,15387528590,15367487228
海时尚胶囊酒店,,18670095459,
西岸商务宾馆,,13974927996,
嘉百年商务宾馆,,073184876988,
贵和旅馆,,15608419800,18711043768
小蜜蜂太空舱青年旅舍（五一广场店）,,13715280606,13651798883
豪坤家庭旅馆,,15211190135,
文浩旅馆,,18008462303,
坤莎酒店,,073182273701,
尚域酒店公寓,,18673101992,
春园大酒店,,073186390576,18900779591
匆匆那年青年旅舍（黄兴广场步行街店）,,073182293783,17775998570
裕卿宾馆,,073188072666,
鸿景宾馆,,13974958863,
友良宾馆,,17788959593,
