姓,名,家庭手机,工作手机
唯尚精品主题酒店,,037766066088,66088088
华凯网络（华凯宾馆）,,037783989313,
佳缘宾馆,,037766067707,
红旗宾馆北楼,,037762121086,
民生宾馆,,037762967666,60906521
鑫源宾馆,,037762758588,15036283567
易家快捷酒店（邓州店）,,037762361888,
旺盛公寓,,037762751288,
帝都大酒店（人民西路店）,,037783989555,60205788
穰城宾馆,,037762285206,
颐和酒店,,037762617888,
静缘商务宾馆,,037762955888,18638458890
尚一特连锁酒店（景朗店）,,037762772666,
古城商务酒店,,037762966666,
港湾商务快捷酒店,,037762566666,13782015558
丰悦宾馆,,037767022266,13462581999
花洲商务快捷酒店,,037762722777,
贝克酒店,,037760111111,63096666
金海之星商务酒店,,037762956999,
御花园酒店,,037762438888,
龙腾商务酒店,,037767029266,15537751756
汇丰商务酒店,,18338349182,
东方之星商务酒店,,037760205566,
爵士金浩商务酒店,,037783989666,83989777
福兴旅馆,,18638330923,
荣昇祥精品酒店,,037766060999,
中华一品院酒店,,037762866688,
都市易家连锁酒店（邓州花洲书院店）,,037783818777,
尚一特连锁酒店（南一环店）,,037762956777,
半岛蓝山雅致酒店（邓州汽车站店）（原嘉和快捷）,,037762285666,62285555
天成宾馆,,037762120916,
东昇宾馆,,037762128086,13782033128
一品大酒店,,037762933666,
花洲宾馆,,13723021188,
柏宁酒店,,18137230101,
桑尼贝尔精选酒店,,037783838888,
邓州速8酒店,,037762698888,
鸿福商务酒店,,037766044444,
福记旅馆,,15893565399,
汇鑫宾馆,,15670195899,
南桥店宾馆,,13782189818,
吉祥宾馆,,13723028117,
迎宾酒店,,037762733875,15993196298
农贸宾馆,,037762211286,
鹏程宾馆,,13271793818,
锦悦商务酒店,,037762862888,
丰华苑大酒店,,037783986666,
文彩商务酒店,,037762826688,
深和商务酒店,,037762829999,
南都宾馆,,037766080803,
希文宾馆,,037760119666,
金水桶商务酒店,,037762192222,
新西宾馆,,13613871203,
赛菲尔商务酒店,,037762668777,18736522522
邓国宾馆,,037766066556,
三星快捷酒店,,037762789222,
豪门花园酒店,,037762563888,
客源宾馆,,15188488958,
开元商务酒店,,037762327666,
金帝旅馆,,18237756766,
双清池养心生态园,,15238113789,
超群大酒店,,037783986666,
宇客隆生态假日酒店,,037760888222,60956222
金爵快捷酒店,,037760205666,
玉泰大酒店,,037762389666,62969999
万客来旅馆,,13598222722,
秀水湾商务酒店,,037762777777,
钓鱼岛大酒店,,037762111888,
金麒麟酒店,,037760118666,
飞宇商务酒店,,037762720666,
泰昌快捷酒店,,037762386666,
邓州如家快捷酒店,,037762788888,
万豪商务宾馆,,037762788000,
金沙宾馆,,037762167988,
乐通商务酒店,,037762332288,
都市怡家快捷酒店,,037762561111,
新悦商务酒店,,037760206111,
大河商务酒店,,037760110666,60110888
中州商务快捷酒店,,037762307307,62307306
方圆快捷酒店,,037762308888,
宿吧宾馆,,037762611588,
华美致尚花园酒店,,037762112999,62168999
康乐居酒店,,037762929996,15138629595
邓州宾馆,,037760116666,
公园宾馆,,15083340121,
鸿泰宾馆,,037760390537,
光明旅馆,,037766066086,
红旗旅社,,13523653620,
金园旅馆,,15083379871,
红都宾馆,,15837770032,
鑫源宾馆,,18937782720,
兴业旅馆,,13503770617,
桑庄商务宾馆,,15539972329,
比家美精品酒店,,037760597777,
鑫达酒店,,037762483999,
金客来商务宾馆,,037762976000,
裕隆宾馆,,037762567737,
鑫泰大酒店,,037762831777,
光明旅社,,13782090383,
建青宾馆,,037783992178,13333637010
西苑宾馆,,037763093558,
顺利旅馆,,13037692659,13213780773
诚信旅馆,,13569293958,
车站宾馆,,037762125338,
红星旅社,,15565472331,
会宾旅社,,13525160258,
金茂宾馆,,037762123219,
粮油宾馆,,037762120688,
鸿运宾馆,,13693871881,
仙泉宾馆,,037762182968,
鑫豪宾馆,,037783836769,
坤宇宾馆,,037762128555,
朋友亲,,037762623000,
新建旅馆,,15138611709,
颐馨老年公寓,,037760559960,
天翔宾馆,,037762282666,
兴茂宾馆,,037762960817,
书海宾馆,,037762122699,
邦威宾馆,,18337790751,
康达旅社,,15893382668,
新园宾馆,,18939229645,
恒顺宾馆,,15637796392,
好运来宾馆,,037762165031,
和平宾馆,,037766065193,
康盛宾馆,,037762161383,
鸿生商务酒店,,18639339266,
小青快捷酒店,,037762937999,
时尚旅馆,,13937767166,
仲景宾馆,,037762976078,
东华宾馆,,037766064968,
伯特利宾馆,,037760379372,
向阳旅社,,037762125648,
